2011 census qs601ew - economic activity,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
population,All usual residents aged 16 to 74,,,,,,,,,,,,,,,
units,Persons,,,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Area,All categories: Economic activity,Active: Total,Active: Employee: Part-time,Active: Employee: Full-time,Active: Self-employed with employees: Part-time,Active: Self-employed with employees: Full-time,Active: Self-employed without employees: Part-time,Active: Self-employed without employees: Full-time,Active: Unemployed,Active: Full-time student,Inactive: Total,Inactive: Retired,Inactive: Student (including full-time students),Inactive: Looking after home or family,Inactive: Long-term sick or disabled,Inactive: Other
uacounty09:Cardiff,"260,268","174,753","32,468","97,170",750,"3,901","4,622","9,044","11,566","15,232","85,515","27,061","28,383","10,403","13,477","6,191"
"uacounty09:Rhondda, Cynon, Taff","172,047","108,730","23,068","61,225",402,"2,423","2,181","6,027","8,104","5,300","63,317","27,595","9,914","7,007","14,854","3,947"
uacounty09:Merthyr Tydfil,"43,377","27,833","5,913","15,882",111,592,501,"1,286","2,481","1,067","15,544","6,690","2,078","1,678","4,107",991
uacounty09:Caerphilly,"130,950","84,932","17,292","50,160",342,"1,842","1,657","4,061","6,731","2,847","46,018","21,032","5,869","5,645","10,731","2,741"
uacounty09:Blaenau Gwent,"51,809","32,145","6,763","18,147",132,586,522,"1,366","3,557","1,072","19,664","8,709","2,245","2,312","4,995","1,403"
uacounty09:Torfaen,"66,107","43,820","9,535","25,574",177,854,793,"2,032","3,163","1,692","22,287","11,115","2,662","2,897","4,410","1,203"
uacounty09:Monmouthshire,"66,107","45,272","9,352","24,246",293,"1,648","2,001","4,014","2,217","1,501","20,835","11,640","2,838","2,426","2,646","1,285"
uacounty09:Newport,"105,141","71,011","15,531","39,177",318,"1,593","1,615","3,368","5,616","3,793","34,130","15,389","5,591","4,642","6,039","2,469"
ualad09:Darlington,"76,635","53,443","11,555","30,337",234,"1,254","1,289","2,818","4,002","1,954","23,192","12,214","2,742","3,081","3,737","1,418"
ualad09:County Durham,"383,796","247,101","50,595","143,922","1,052","5,717","5,799","12,741","17,013","10,262","136,695","65,444","23,837","14,190","24,887","8,337"
ualad09:Hartlepool,"66,804","43,513","10,092","22,635",212,846,892,"1,855","5,194","1,787","23,291","10,621","3,042","3,265","4,733","1,630"
ualad09:Middlesbrough,"100,551","63,582","15,063","31,301",300,"1,068","1,331","2,472","7,631","4,416","36,969","13,922","7,453","5,569","6,841","3,184"
ualad09:Northumberland,"233,224","158,268","34,368","86,380",993,"5,351","5,151","10,568","10,329","5,128","74,956","43,897","8,108","8,368","10,321","4,262"
ualad09:Redcar and Cleveland,"99,177","63,530","15,322","33,372",285,"1,235","1,436","2,908","6,533","2,439","35,647","19,206","4,142","4,361","5,869","2,069"
ualad09:Stockton-on-Tees,"140,654","96,259","22,070","52,927",410,"2,017","2,119","4,395","8,075","4,246","44,395","20,767","7,277","5,911","6,861","3,579"
ualad09:Gateshead,"148,079","100,184","21,023","58,988",351,"1,887","2,059","4,509","7,419","3,948","47,895","23,531","6,832","5,670","8,844","3,018"
ualad09:Newcastle upon Tyne,"212,864","133,848","25,835","69,811",675,"3,017","3,204","6,236","10,652","14,418","79,016","24,571","29,253","8,868","11,509","4,815"
ualad09:North Tyneside,"147,889","104,242","21,815","61,349",354,"2,074","2,274","4,933","7,304","4,139","43,647","23,497","5,310","5,048","7,354","2,438"
ualad09:South Tyneside,"108,981","72,645","15,480","40,838",289,"1,379","1,287","2,993","7,145","3,234","36,336","17,355","4,611","4,696","7,234","2,440"
ualad09:Sunderland,"205,552","135,467","29,186","75,899",586,"2,529","2,788","5,574","12,016","6,889","70,085","32,215","10,778","8,666","14,084","4,342"
ualad09:Blackburn with Darwen,"104,417","67,033","14,535","35,597",520,"1,703","2,050","3,724","5,575","3,329","37,384","13,248","6,065","7,061","7,378","3,632"
ualad09:Blackpool,"103,813","68,540","14,836","34,230",349,"1,646","2,415","5,550","6,337","3,177","35,273","16,807","3,809","3,943","8,228","2,486"
ualad09:Cheshire East,"270,953","191,253","38,940","106,863","1,205","6,533","7,713","13,605","8,742","7,652","79,700","46,446","11,341","9,591","8,327","3,995"
ualad09:Cheshire West and Chester,"243,155","170,778","36,206","95,642",887,"4,729","5,711","10,529","8,949","8,125","72,377","39,893","10,746","8,620","9,574","3,544"
ualad09:Halton,"92,708","63,411","13,102","37,219",194,"1,056","1,230","2,940","5,151","2,519","29,297","13,332","3,858","3,900","6,451","1,756"
ualad09:Warrington,"149,461","107,765","21,782","63,875",472,"2,389","2,886","5,870","5,961","4,530","41,696","22,189","5,441","4,917","6,063","3,086"
ualad09:Allerdale,"70,978","48,904","11,615","25,912",353,"1,771","1,543","3,639","2,553","1,518","22,074","13,422","2,128","2,274","3,215","1,035"
ualad09:Barrow-in-Furness,"51,103","33,897","8,470","18,723",171,647,841,"1,496","2,365","1,184","17,206","9,168","1,613","1,813","3,720",892
ualad09:Carlisle,"79,531","57,210","13,295","31,161",318,"1,659","1,514","3,820","2,847","2,596","22,321","12,331","2,778","2,314","3,711","1,187"
ualad09:Copeland,"52,702","35,335","7,984","20,525",160,847,753,"1,915","2,235",916,"17,367","9,657","1,596","1,922","2,872","1,320"
ualad09:Eden,"38,735","28,413","6,191","13,651",254,"1,517","1,434","3,480",822,"1,064","10,322","6,822","1,070",923,"1,067",440
ualad09:South Lakeland,"75,831","53,396","12,015","26,863",456,"2,423","2,699","5,524","1,524","1,892","22,435","15,457","2,307","1,769","1,962",940
ualad09:Bolton,"200,723","134,933","27,798","74,631",839,"3,394","4,086","8,029","9,913","6,243","65,790","29,514","10,318","9,504","11,574","4,880"
ualad09:Bury,"134,687","94,680","19,118","53,953",533,"2,539","3,129","6,019","5,769","3,620","40,007","19,558","6,074","5,168","6,596","2,611"
ualad09:Manchester,"382,932","243,224","41,535","128,930","1,099","4,060","6,794","11,675","21,880","27,251","139,708","29,179","53,999","18,697","25,161","12,672"
ualad09:Oldham,"159,765","106,398","22,171","58,410",659,"2,581","3,047","6,147","8,661","4,722","53,367","22,426","8,135","9,038","9,209","4,559"
ualad09:Rochdale,"152,742","101,003","20,101","55,604",629,"2,436","2,982","6,069","9,047","4,135","51,739","20,853","8,025","7,838","10,446","4,577"
ualad09:Salford,"173,117","118,130","21,676","67,966",414,"2,114","2,616","6,228","9,041","8,075","54,987","20,950","10,093","7,021","11,915","5,008"
ualad09:Stockport,"205,310","146,296","29,946","83,049",752,"4,049","4,888","9,975","8,002","5,635","59,014","31,395","8,674","7,139","8,527","3,279"
ualad09:Tameside,"161,459","111,016","21,377","65,546",470,"2,200","2,757","6,595","8,052","4,019","50,443","23,682","6,865","6,443","9,970","3,483"
ualad09:Trafford,"162,806","118,064","22,799","68,201",657,"3,416","4,132","7,649","6,136","5,074","44,742","21,729","7,200","6,426","6,499","2,888"
ualad09:Wigan,"236,495","162,781","32,880","94,703",640,"3,324","4,016","9,465","11,483","6,270","73,714","38,211","8,293","8,302","14,652","4,256"
ualad09:Burnley,"63,376","41,879","9,129","23,187",209,857,"1,275","2,250","3,342","1,630","21,497","9,745","2,749","2,876","4,433","1,694"
ualad09:Chorley,"79,951","56,645","11,542","33,167",282,"1,642","1,678","3,698","2,588","2,048","23,306","12,899","2,590","2,279","3,262","2,276"
ualad09:Fylde,"54,544","36,447","7,374","20,222",259,"1,291","1,387","2,752","1,687","1,475","18,097","11,262","1,785","1,699","2,161","1,190"
ualad09:Hyndburn,"58,356","39,118","7,902","22,029",204,881,"1,260","2,387","2,688","1,767","19,238","8,803","2,513","2,600","3,912","1,410"
ualad09:Lancaster,"103,296","67,262","14,852","34,812",346,"1,784","2,302","4,402","3,362","5,402","36,034","15,718","11,219","2,915","4,431","1,751"
ualad09:Pendle,"64,440","42,765","9,036","23,179",299,"1,229","1,573","2,649","3,012","1,788","21,675","9,753","2,650","3,700","3,921","1,651"
ualad09:Preston,"104,085","70,509","14,188","38,229",354,"1,528","1,720","3,331","4,575","6,584","33,576","12,147","8,538","4,579","5,594","2,718"
ualad09:Ribble Valley,"41,285","29,672","6,023","16,105",215,"1,466","1,233","2,570",852,"1,208","11,613","7,431","1,504",979,"1,128",571
ualad09:Rossendale,"50,075","35,186","6,794","20,067",191,"1,025","1,238","2,549","2,090","1,232","14,889","7,372","2,148","1,809","2,715",845
ualad09:South Ribble,"80,458","58,577","11,969","35,168",238,"1,389","1,552","3,500","2,421","2,340","21,881","13,286","2,677","2,136","2,803",979
ualad09:West Lancashire,"81,601","55,680","11,504","29,658",377,"1,928","1,768","3,734","3,180","3,531","25,921","13,888","4,668","2,673","3,515","1,177"
ualad09:Wyre,"77,663","51,450","11,298","26,923",342,"1,945","1,974","4,094","2,464","2,410","26,213","16,467","3,010","2,247","3,443","1,046"
ualad09:Knowsley,"106,155","69,617","15,173","38,065",208,"1,083","1,386","3,541","6,926","3,235","36,538","14,415","5,127","4,822","9,333","2,841"
ualad09:Liverpool,"356,876","226,270","44,816","116,778",865,"4,092","4,825","10,894","23,980","20,020","130,606","41,070","36,781","13,683","28,453","10,619"
ualad09:Sefton,"198,197","133,012","29,799","71,019",638,"3,430","3,995","8,204","9,708","6,219","65,185","34,329","8,676","6,705","11,612","3,863"
ualad09:St. Helens,"129,584","86,121","18,169","49,968",330,"1,679","1,766","4,246","6,640","3,323","43,463","22,144","5,294","4,971","8,638","2,416"
ualad09:Wirral,"230,851","153,240","34,513","83,696",725,"3,839","4,424","8,346","11,939","5,758","77,611","38,761","10,491","9,046","14,724","4,589"
ualad09:East Riding of Yorkshire,"245,594","168,860","37,856","90,761","1,087","6,040","5,863","11,844","8,795","6,614","76,734","47,790","9,149","7,849","7,720","4,226"
"ualad09:Kingston upon Hull, City of","190,610","128,130","28,041","68,035",418,"1,808","2,352","5,236","15,296","6,944","62,480","23,025","13,243","9,482","11,524","5,206"
ualad09:North East Lincolnshire,"115,823","79,227","19,086","42,039",306,"1,581","1,763","3,834","7,486","3,132","36,596","18,018","4,825","5,635","5,612","2,506"
ualad09:North Lincolnshire,"122,329","84,668","18,768","48,278",413,"2,031","2,163","4,262","5,869","2,884","37,661","20,296","4,569","5,433","5,151","2,212"
ualad09:York,"149,789","104,945","22,487","57,032",453,"2,391","3,252","6,232","4,582","8,516","44,844","20,688","14,387","4,107","3,678","1,984"
ualad09:Craven,"40,056","28,744","6,139","14,540",219,"1,345","1,358","3,103","1,003","1,037","11,312","7,525","1,300","1,030",966,491
ualad09:Hambleton,"65,255","47,068","9,843","25,377",394,"2,173","1,846","4,326","1,670","1,439","18,187","11,809","1,960","2,043","1,483",892
ualad09:Harrogate,"114,038","84,662","16,998","46,509",638,"3,489","3,757","7,320","2,931","3,020","29,376","17,693","3,789","3,823","2,586","1,485"
ualad09:Richmondshire,"38,652","29,017","5,217","17,121",186,"1,208","1,043","2,391","1,116",735,"9,635","5,761",937,"1,396",839,702
ualad09:Ryedale,"37,581","26,644","5,773","12,760",266,"1,381","1,437","3,168","1,029",830,"10,937","7,005","1,282","1,175",945,530
ualad09:Scarborough,"79,393","52,245","12,834","24,346",397,"2,092","2,107","4,706","3,371","2,392","27,148","16,117","3,141","2,785","3,708","1,397"
ualad09:Selby,"61,831","45,720","9,293","26,298",285,"1,479","1,468","3,167","2,154","1,576","16,111","9,710","1,883","2,182","1,586",750
ualad09:Barnsley,"170,405","113,306","24,807","62,841",515,"2,639","2,863","7,086","8,738","3,817","57,099","28,008","6,225","7,435","11,925","3,506"
ualad09:Doncaster,"220,877","147,770","33,112","80,998",734,"3,305","3,941","8,216","12,697","4,767","73,107","34,110","8,765","10,746","12,958","6,528"
ualad09:Rotherham,"187,959","125,899","28,830","68,860",598,"2,839","3,244","7,313","9,821","4,394","62,060","31,117","7,405","8,864","10,614","4,060"
ualad09:Sheffield,"411,004","270,239","56,868","140,933","1,216","5,503","7,835","15,467","19,626","22,791","140,765","52,941","44,212","16,682","18,418","8,512"
ualad09:Bradford,"366,217","243,727","52,795","125,745","1,725","6,199","8,721","14,828","21,224","12,490","122,490","43,961","23,311","24,487","18,176","12,555"
ualad09:Calderdale,"148,766","104,893","21,923","57,617",585,"2,837","3,650","6,999","7,394","3,888","43,873","22,405","6,156","5,844","6,510","2,958"
ualad09:Kirklees,"307,194","209,514","44,638","112,199","1,413","5,679","7,070","13,332","14,465","10,718","97,680","44,027","17,593","15,227","13,504","7,329"
ualad09:Leeds,"560,849","389,929","73,507","217,528","1,789","8,318","10,731","21,460","26,786","29,810","170,920","69,446","46,047","20,435","22,498","12,494"
ualad09:Wakefield,"240,997","164,768","35,763","95,559",719,"3,494","3,960","8,531","11,702","5,040","76,229","38,721","8,474","9,554","14,092","5,388"
ualad09:Derby,"179,291","123,691","26,310","68,979",486,"2,027","3,127","6,017","9,297","7,448","55,600","22,925","11,237","8,595","8,574","4,269"
ualad09:Leicester,"242,232","156,425","33,341","80,780",751,"2,757","3,699","6,814","14,982","13,301","85,807","22,435","27,604","15,035","12,397","8,336"
ualad09:Nottingham,"232,072","142,327","27,605","72,252",573,"2,147","3,575","6,709","14,775","14,691","89,745","21,144","37,733","10,854","13,161","6,853"
ualad09:Rutland,"27,052","18,758","3,847","10,314",155,710,976,"1,507",643,606,"8,294","4,579","1,568",878,463,806
ualad09:Amber Valley,"90,558","63,280","13,374","36,229",261,"1,597","2,085","4,240","3,503","1,991","27,278","15,715","3,109","3,417","3,680","1,357"
ualad09:Bolsover,"55,945","37,442","7,986","21,542",144,820,938,"2,148","2,612","1,252","18,503","9,463","1,962","2,435","3,626","1,017"
ualad09:Chesterfield,"76,409","51,909","12,272","28,593",235,993,"1,481","2,969","3,557","1,809","24,500","12,894","2,782","2,916","4,554","1,354"
ualad09:Derbyshire Dales,"51,978","36,541","8,270","18,153",336,"1,593","1,922","3,727","1,394","1,146","15,437","9,903","1,699","1,581","1,322",932
ualad09:Erewash,"82,609","59,044","12,446","34,268",233,"1,269","1,631","3,462","3,742","1,993","23,565","12,894","2,970","3,107","3,304","1,290"
ualad09:High Peak,"67,389","48,560","10,316","26,377",252,"1,418","1,899","3,911","2,576","1,811","18,829","10,561","2,893","1,998","2,473",904
ualad09:North East Derbyshire,"73,460","49,919","11,679","27,073",259,"1,416","1,616","3,525","2,697","1,654","23,541","14,159","2,486","2,575","3,285","1,036"
ualad09:South Derbyshire,"69,450","50,358","10,279","29,738",267,"1,307","1,601","3,217","2,125","1,824","19,092","10,286","2,521","2,749","2,443","1,093"
ualad09:Blaby,"68,558","50,661","10,733","29,207",239,"1,318","1,667","3,537","1,963","1,997","17,897","10,721","2,495","1,914","1,565","1,202"
ualad09:Charnwood,"124,967","84,609","17,209","47,592",401,"2,133","2,657","5,244","3,864","5,509","40,358","17,092","14,278","3,930","3,437","1,621"
ualad09:Harborough,"61,913","45,791","9,419","25,343",330,"1,839","2,048","3,763","1,517","1,532","16,122","9,569","2,415","1,871","1,232","1,035"
ualad09:Hinckley and Bosworth,"77,716","56,538","11,408","33,087",317,"1,543","1,943","3,961","2,448","1,831","21,178","12,924","2,615","2,510","2,205",924
ualad09:Melton,"36,955","27,422","5,636","15,481",155,924,"1,068","2,094","1,067",997,"9,533","5,831","1,231","1,247",779,445
ualad09:North West Leicestershire,"68,556","48,999","9,845","28,778",236,"1,253","1,573","3,309","2,361","1,644","19,557","11,025","2,611","2,595","2,350",976
ualad09:Oadby and Wigston,"40,797","28,119","6,146","15,570",166,811,864,"1,669","1,314","1,579","12,678","6,102","3,555","1,296","1,098",627
ualad09:Boston,"47,306","33,031","7,480","18,683",181,892,907,"1,927","1,969",992,"14,275","7,842","1,447","1,838","2,083","1,065"
ualad09:East Lindsey,"99,928","60,716","14,264","29,753",477,"2,460","2,698","5,223","3,966","1,875","39,212","24,038","3,234","4,356","5,795","1,789"
ualad09:Lincoln,"71,577","49,523","9,926","26,504",158,796,"1,111","2,486","3,533","5,009","22,054","8,015","6,287","2,880","3,278","1,594"
ualad09:North Kesteven,"78,616","55,065","11,437","32,060",302,"1,485","1,878","3,759","2,290","1,854","23,551","14,890","2,536","2,942","2,280",903
ualad09:South Holland,"63,920","44,276","8,432","25,724",262,"1,323","1,493","3,298","2,532","1,212","19,644","11,891","1,846","2,549","2,308","1,050"
ualad09:South Kesteven,"97,319","70,273","14,579","40,051",363,"1,901","2,651","4,954","3,248","2,526","27,046","16,064","3,113","3,586","2,840","1,443"
ualad09:West Lindsey,"65,531","44,768","9,855","24,183",256,"1,497","1,747","3,196","2,497","1,537","20,763","12,366","2,367","2,598","2,492",940
ualad09:Corby,"45,049","33,166","6,145","20,899",95,476,565,"1,506","2,222","1,258","11,883","5,566","1,504","1,759","2,237",817
ualad09:Daventry,"57,379","41,546","7,904","23,617",242,"1,452","1,705","3,376","1,731","1,519","15,833","8,777","1,978","2,079","1,456","1,543"
ualad09:East Northamptonshire,"63,006","45,821","8,602","26,972",250,"1,251","1,567","3,577","2,136","1,466","17,185","9,549","2,504","2,517","1,808",807
ualad09:Kettering,"67,920","50,012","9,967","29,305",222,"1,223","1,539","3,268","2,728","1,760","17,908","9,729","2,101","2,616","2,408","1,054"
ualad09:Northampton,"155,682","115,479","21,026","68,363",417,"2,254","2,872","6,955","7,223","6,369","40,203","17,458","7,871","6,026","5,837","3,011"
ualad09:South Northamptonshire,"62,321","47,449","9,004","27,039",294,"1,629","2,068","4,283","1,476","1,656","14,872","9,161","1,847","2,109","1,045",710
ualad09:Wellingborough,"54,817","39,247","7,449","23,367",153,891,"1,033","2,363","2,562","1,429","15,570","8,059","1,844","2,360","2,109","1,198"
ualad09:Ashfield,"88,037","59,970","12,976","34,795",236,"1,087","1,458","3,379","4,140","1,899","28,067","14,545","2,921","3,986","4,912","1,703"
ualad09:Bassetlaw,"83,305","56,556","12,752","31,585",327,"1,515","1,644","3,461","3,294","1,978","26,749","14,204","2,914","3,162","4,219","2,250"
ualad09:Broxtowe,"81,573","56,838","11,855","33,191",236,"1,279","1,615","3,153","3,156","2,353","24,735","13,440","4,574","2,724","2,833","1,164"
ualad09:Gedling,"83,284","59,493","12,940","33,171",297,"1,565","1,908","3,986","3,391","2,235","23,791","13,774","3,006","2,717","3,032","1,262"
ualad09:Mansfield,"77,155","52,392","11,627","29,832",226,"1,062","1,287","2,927","3,547","1,884","24,763","12,120","2,661","3,436","4,996","1,550"
ualad09:Newark and Sherwood,"84,145","57,971","12,686","31,947",344,"1,804","2,061","4,030","2,995","2,104","26,174","14,352","3,157","3,423","3,590","1,652"
ualad09:Rushcliffe,"80,755","58,045","11,753","32,677",374,"1,950","2,380","3,999","2,222","2,690","22,710","12,820","4,465","2,435","1,758","1,232"
"ualad09:Herefordshire, County of","133,442","95,114","20,345","48,094",682,"3,656","4,683","10,130","4,353","3,171","38,328","22,149","4,845","4,636","4,600","2,098"
ualad09:Shropshire,"223,892","158,983","34,760","83,106","1,126","6,130","6,852","14,427","7,350","5,232","64,909","37,833","8,764","7,529","7,237","3,546"
ualad09:Stoke-on-Trent,"182,808","119,743","24,732","67,097",528,"2,127","2,823","5,962","9,715","6,759","63,065","26,108","10,260","8,553","13,223","4,921"
ualad09:Telford and Wrekin,"122,279","84,947","16,530","50,567",293,"1,724","2,134","4,437","5,806","3,456","37,332","16,798","6,213","5,923","6,001","2,397"
ualad09:Cannock Chase,"72,274","51,306","11,009","28,840",211,"1,063","1,255","3,737","3,311","1,880","20,968","10,735","2,604","3,007","3,415","1,207"
ualad09:East Staffordshire,"83,059","58,578","12,135","33,829",302,"1,448","1,806","3,624","3,171","2,263","24,481","12,497","3,077","3,691","3,103","2,113"
ualad09:Lichfield,"74,757","51,862","10,890","28,837",326,"1,782","1,925","3,776","2,531","1,795","22,895","13,883","2,793","2,603","2,276","1,340"
ualad09:Newcastle-under-Lyme,"92,335","61,568","12,736","34,876",244,"1,525","1,705","3,513","3,378","3,591","30,767","14,830","7,063","2,983","4,341","1,550"
ualad09:South Staffordshire,"80,718","56,418","12,224","30,995",382,"1,964","1,889","4,217","2,670","2,077","24,300","14,754","3,158","2,560","2,228","1,600"
ualad09:Stafford,"97,297","68,274","14,101","38,948",353,"2,052","2,149","4,320","3,028","3,323","29,023","16,246","4,921","2,888","3,024","1,944"
ualad09:Staffordshire Moorlands,"72,085","49,988","10,527","27,432",349,"1,690","1,784","4,348","2,031","1,827","22,097","13,745","2,379","2,093","2,926",954
ualad09:Tamworth,"56,833","41,188","8,566","24,514",123,653,922,"2,342","2,541","1,527","15,645","8,104","2,012","2,366","2,344",819
ualad09:North Warwickshire,"46,170","33,151","6,732","18,982",176,989,"1,040","2,491","1,662","1,079","13,019","7,636","1,534","1,543","1,632",674
ualad09:Nuneaton and Bedworth,"92,090","65,173","13,588","38,428",218,"1,156","1,490","3,412","4,363","2,518","26,917","14,372","3,280","3,616","4,058","1,591"
ualad09:Rugby,"72,759","53,457","10,096","32,415",229,"1,198","1,635","3,445","2,613","1,826","19,302","10,723","2,836","2,557","2,068","1,118"
ualad09:Stratford-on-Avon,"87,728","63,253","12,651","33,817",465,"2,403","3,468","6,040","2,154","2,255","24,475","15,155","2,987","3,056","2,029","1,248"
ualad09:Warwick,"102,883","73,309","13,456","43,062",397,"1,918","2,873","4,858","3,118","3,627","29,574","13,319","9,243","3,011","2,626","1,375"
ualad09:Birmingham,"760,252","488,221","96,186","251,668","2,970","9,718","15,221","24,916","54,114","33,428","272,031","81,213","74,102","48,771","39,917","28,028"
ualad09:Coventry,"231,871","153,745","29,800","84,624",549,"2,574","3,659","7,558","12,532","12,449","78,126","27,790","24,219","10,049","10,487","5,581"
ualad09:Dudley,"226,726","155,530","33,987","86,654",618,"3,051","4,219","9,191","12,064","5,746","71,196","36,619","9,636","10,355","10,060","4,526"
ualad09:Sandwell,"219,508","146,653","29,779","81,339",653,"2,508","3,272","6,787","16,049","6,266","72,855","28,582","11,728","12,859","12,679","7,007"
ualad09:Solihull,"148,360","105,108","21,701","59,212",599,"2,944","3,363","6,767","6,304","4,218","43,252","24,019","6,496","5,506","4,949","2,282"
ualad09:Walsall,"191,974","126,805","26,934","67,743",672,"2,891","3,168","7,260","13,006","5,131","65,169","28,865","9,544","11,220","9,974","5,566"
ualad09:Wolverhampton,"179,983","120,402","24,364","63,981",525,"2,269","2,680","5,910","14,127","6,546","59,581","23,763","11,036","9,479","9,765","5,538"
ualad09:Bromsgrove,"67,807","48,664","10,393","26,705",331,"1,765","1,953","3,720","2,070","1,727","19,143","11,031","2,836","1,909","1,714","1,653"
ualad09:Malvern Hills,"53,512","36,261","7,704","18,038",292,"1,511","2,128","3,676","1,690","1,222","17,251","10,292","2,583","1,877","1,692",807
ualad09:Redditch,"62,523","46,220","8,991","27,383",156,870,"1,317","2,747","2,877","1,879","16,303","8,106","2,394","2,440","2,374",989
ualad09:Worcester,"73,382","53,966","11,000","30,777",170,956,"1,561","3,068","3,071","3,363","19,416","8,918","4,046","2,713","2,497","1,242"
ualad09:Wychavon,"85,481","61,260","12,816","32,863",413,"2,246","2,769","5,352","2,675","2,126","24,221","14,864","2,854","2,897","2,278","1,328"
ualad09:Wyre Forest,"72,331","49,712","10,994","27,045",270,"1,318","1,806","3,627","3,041","1,611","22,619","13,356","2,413","2,638","2,972","1,240"
ualad09:Bedford,"113,764","81,782","15,841","45,943",431,"2,107","2,815","5,473","5,060","4,112","31,982","14,517","6,231","4,918","3,749","2,567"
ualad09:Central Bedfordshire,"186,658","139,525","26,069","81,304",678,"3,678","4,981","11,135","6,443","5,237","47,133","25,111","7,768","7,346","4,409","2,499"
ualad09:Luton,"145,208","100,272","18,407","53,271",635,"2,136","2,948","6,479","8,337","8,059","44,936","14,336","10,703","9,660","5,496","4,741"
ualad09:Peterborough,"132,318","95,646","18,654","56,704",438,"1,946","2,627","5,001","6,691","3,585","36,672","15,323","5,104","7,270","5,484","3,491"
ualad09:Southend-on-Sea,"125,007","88,324","17,949","47,972",451,"2,168","3,348","6,834","6,209","3,393","36,683","17,655","4,769","6,298","5,311","2,650"
ualad09:Thurrock,"114,124","84,464","16,370","48,620",347,"1,750","2,091","5,973","6,190","3,123","29,660","13,377","3,987","5,903","4,037","2,356"
ualad09:Cambridge,"98,283","62,886","10,001","37,350",227,"1,254","2,300","3,510","2,641","5,603","35,397","7,001","21,463","2,949","2,437","1,547"
ualad09:East Cambridgeshire,"60,714","45,920","8,811","26,726",246,"1,397","1,884","3,700","1,747","1,409","14,794","8,224","1,784","2,531","1,438",817
ualad09:Fenland,"69,258","47,829","9,701","27,304",226,"1,200","1,403","3,579","2,931","1,485","21,429","11,869","2,146","2,954","3,100","1,360"
ualad09:Huntingdonshire,"125,346","93,481","17,780","56,515",440,"2,272","3,044","6,156","3,957","3,317","31,865","17,677","4,002","4,746","3,112","2,328"
ualad09:South Cambridgeshire,"107,779","82,079","15,597","48,499",443,"2,362","3,712","5,995","2,499","2,972","25,700","14,045","4,295","3,875","2,133","1,352"
ualad09:Basildon,"125,795","89,570","17,855","50,693",371,"2,087","2,703","6,956","5,846","3,059","36,225","17,497","4,297","7,204","4,953","2,274"
ualad09:Braintree,"106,718","78,715","15,747","43,859",411,"2,159","3,109","6,731","4,014","2,685","28,003","15,027","3,153","4,890","3,347","1,586"
ualad09:Brentwood,"52,959","38,149","7,142","21,677",242,"1,280","1,705","3,237","1,667","1,199","14,810","7,884","2,330","2,564","1,215",817
ualad09:Castle Point,"64,626","44,080","9,525","23,519",217,"1,231","1,505","4,225","2,289","1,569","20,546","12,525","1,852","3,086","2,036","1,047"
ualad09:Chelmsford,"123,693","91,339","18,138","52,442",433,"2,303","3,346","6,693","4,223","3,761","32,354","17,484","4,840","5,230","2,810","1,990"
ualad09:Colchester,"128,562","91,385","18,471","50,589",414,"2,176","3,147","6,417","4,456","5,715","37,177","16,901","8,950","5,226","4,135","1,965"
ualad09:Epping Forest,"90,622","65,304","12,023","34,722",582,"2,840","3,155","6,614","3,259","2,109","25,318","12,746","4,055","4,459","2,378","1,680"
ualad09:Harlow,"58,669","43,847","8,643","25,261",142,733,"1,181","3,050","3,043","1,794","14,822","6,625","2,102","2,778","2,188","1,129"
ualad09:Maldon,"45,406","31,856","6,640","16,765",232,"1,143","1,558","3,175","1,381",962,"13,550","8,148","1,353","2,122","1,293",634
ualad09:Rochford,"60,425","42,804","9,179","23,556",228,"1,176","1,625","3,739","1,836","1,465","17,621","10,715","1,846","2,756","1,395",909
ualad09:Tendring,"97,050","59,908","14,148","29,346",340,"1,813","2,525","5,113","4,533","2,090","37,142","22,402","3,223","4,469","5,131","1,917"
ualad09:Uttlesford,"57,086","42,473","8,306","22,883",305,"1,726","2,245","4,138","1,527","1,343","14,613","7,685","2,371","2,778","1,006",773
ualad09:Broxbourne,"67,599","49,426","9,790","27,083",296,"1,328","1,720","4,537","2,825","1,847","18,173","8,930","2,927","3,221","1,861","1,234"
ualad09:Dacorum,"104,410","77,800","14,422","44,421",371,"2,037","3,356","6,441","3,829","2,923","26,610","12,906","4,003","4,730","2,788","2,183"
ualad09:East Hertfordshire,"100,093","75,434","14,070","43,787",404,"2,386","3,279","6,252","2,849","2,407","24,659","12,485","4,401","4,404","2,066","1,303"
ualad09:Hertsmere,"71,511","52,435","9,622","28,167",337,"1,903","2,847","4,913","2,650","1,996","19,076","8,029","4,378","3,369","1,980","1,320"
ualad09:North Hertfordshire,"91,510","68,564","12,782","40,147",384,"1,805","2,861","4,990","3,145","2,450","22,946","12,149","3,429","3,959","2,179","1,230"
ualad09:St Albans,"99,863","74,553","13,476","42,999",434,"2,416","3,806","5,910","2,715","2,797","25,310","12,321","4,614","4,817","2,078","1,480"
