2011 census qs601ew - economic activity,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
population,All usual residents aged 16 to 74,,,,,,,,,,,,,,,
units,Persons,,,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Area,All categories: Economic activity,Active: Total,Active: Employee: Part-time,Active: Employee: Full-time,Active: Self-employed with employees: Part-time,Active: Self-employed with employees: Full-time,Active: Self-employed without employees: Part-time,Active: Self-employed without employees: Full-time,Active: Unemployed,Active: Full-time student,Inactive: Total,Inactive: Retired,Inactive: Student (including full-time students),Inactive: Looking after home or family,Inactive: Long-term sick or disabled,Inactive: Other
"uacounty09:Kingston upon Hull, City of","190,610","128,130","28,041","68,035",418,"1,808","2,352","5,236","15,296","6,944","62,480","23,025","13,243","9,482","11,524","5,206"
uacounty09:North East Lincolnshire,"115,823","79,227","19,086","42,039",306,"1,581","1,763","3,834","7,486","3,132","36,596","18,018","4,825","5,635","5,612","2,506"
uacounty09:North Lincolnshire,"122,329","84,668","18,768","48,278",413,"2,031","2,163","4,262","5,869","2,884","37,661","20,296","4,569","5,433","5,151","2,212"
uacounty09:York,"149,789","104,945","22,487","57,032",453,"2,391","3,252","6,232","4,582","8,516","44,844","20,688","14,387","4,107","3,678","1,984"
uacounty09:North Yorkshire,"436,806","314,100","66,097","166,951","2,385","13,167","13,016","28,181","13,274","11,029","122,706","75,620","14,292","14,434","12,113","6,247"
uacounty09:Barnsley,"170,405","113,306","24,807","62,841",515,"2,639","2,863","7,086","8,738","3,817","57,099","28,008","6,225","7,435","11,925","3,506"
uacounty09:Doncaster,"220,877","147,770","33,112","80,998",734,"3,305","3,941","8,216","12,697","4,767","73,107","34,110","8,765","10,746","12,958","6,528"
uacounty09:Rotherham,"187,959","125,899","28,830","68,860",598,"2,839","3,244","7,313","9,821","4,394","62,060","31,117","7,405","8,864","10,614","4,060"
uacounty09:Sheffield,"411,004","270,239","56,868","140,933","1,216","5,503","7,835","15,467","19,626","22,791","140,765","52,941","44,212","16,682","18,418","8,512"
uacounty09:Bradford,"366,217","243,727","52,795","125,745","1,725","6,199","8,721","14,828","21,224","12,490","122,490","43,961","23,311","24,487","18,176","12,555"
uacounty09:Calderdale,"148,766","104,893","21,923","57,617",585,"2,837","3,650","6,999","7,394","3,888","43,873","22,405","6,156","5,844","6,510","2,958"
uacounty09:Kirklees,"307,194","209,514","44,638","112,199","1,413","5,679","7,070","13,332","14,465","10,718","97,680","44,027","17,593","15,227","13,504","7,329"
uacounty09:Leeds,"560,849","389,929","73,507","217,528","1,789","8,318","10,731","21,460","26,786","29,810","170,920","69,446","46,047","20,435","22,498","12,494"
uacounty09:Wakefield,"240,997","164,768","35,763","95,559",719,"3,494","3,960","8,531","11,702","5,040","76,229","38,721","8,474","9,554","14,092","5,388"
uacounty09:Derby,"179,291","123,691","26,310","68,979",486,"2,027","3,127","6,017","9,297","7,448","55,600","22,925","11,237","8,595","8,574","4,269"
uacounty09:Leicester,"242,232","156,425","33,341","80,780",751,"2,757","3,699","6,814","14,982","13,301","85,807","22,435","27,604","15,035","12,397","8,336"
uacounty09:Nottingham,"232,072","142,327","27,605","72,252",573,"2,147","3,575","6,709","14,775","14,691","89,745","21,144","37,733","10,854","13,161","6,853"
uacounty09:Rutland,"27,052","18,758","3,847","10,314",155,710,976,"1,507",643,606,"8,294","4,579","1,568",878,463,806
uacounty09:Derbyshire,"567,798","397,053","86,622","221,973","1,987","10,413","13,173","27,199","22,206","13,480","170,745","95,875","20,422","20,778","24,687","8,983"
uacounty09:Leicestershire,"479,462","342,139","70,396","195,058","1,844","9,821","11,820","23,577","14,534","15,089","137,323","73,264","29,200","15,363","12,666","6,830"
uacounty09:Lincolnshire,"524,197","357,652","75,973","196,958","1,999","10,354","12,485","24,843","20,035","15,005","166,545","95,106","20,830","20,749","21,076","8,784"
uacounty09:Northamptonshire,"506,174","372,720","70,097","219,562","1,673","9,176","11,349","25,328","20,078","15,457","133,454","68,299","19,649","19,466","16,900","9,140"
uacounty09:Nottinghamshire,"578,254","401,265","86,589","227,198","2,040","10,262","12,353","24,935","22,745","15,143","176,989","95,255","23,698","21,883","25,340","10,813"
"uacounty09:Herefordshire, County of","133,442","95,114","20,345","48,094",682,"3,656","4,683","10,130","4,353","3,171","38,328","22,149","4,845","4,636","4,600","2,098"
uacounty09:Shropshire,"223,892","158,983","34,760","83,106","1,126","6,130","6,852","14,427","7,350","5,232","64,909","37,833","8,764","7,529","7,237","3,546"
uacounty09:Stoke-on-Trent,"182,808","119,743","24,732","67,097",528,"2,127","2,823","5,962","9,715","6,759","63,065","26,108","10,260","8,553","13,223","4,921"
uacounty09:Telford and Wrekin,"122,279","84,947","16,530","50,567",293,"1,724","2,134","4,437","5,806","3,456","37,332","16,798","6,213","5,923","6,001","2,397"
uacounty09:Staffordshire,"629,358","439,182","92,188","248,271","2,290","12,177","13,435","29,877","22,661","18,283","190,176","104,794","28,007","22,191","23,657","11,527"
uacounty09:Warwickshire,"401,630","288,343","56,523","166,704","1,485","7,664","10,506","20,246","13,910","11,305","113,287","61,205","19,880","13,783","12,413","6,006"
uacounty09:Birmingham,"760,252","488,221","96,186","251,668","2,970","9,718","15,221","24,916","54,114","33,428","272,031","81,213","74,102","48,771","39,917","28,028"
uacounty09:Coventry,"231,871","153,745","29,800","84,624",549,"2,574","3,659","7,558","12,532","12,449","78,126","27,790","24,219","10,049","10,487","5,581"
uacounty09:Dudley,"226,726","155,530","33,987","86,654",618,"3,051","4,219","9,191","12,064","5,746","71,196","36,619","9,636","10,355","10,060","4,526"
uacounty09:Sandwell,"219,508","146,653","29,779","81,339",653,"2,508","3,272","6,787","16,049","6,266","72,855","28,582","11,728","12,859","12,679","7,007"
uacounty09:Solihull,"148,360","105,108","21,701","59,212",599,"2,944","3,363","6,767","6,304","4,218","43,252","24,019","6,496","5,506","4,949","2,282"
uacounty09:Walsall,"191,974","126,805","26,934","67,743",672,"2,891","3,168","7,260","13,006","5,131","65,169","28,865","9,544","11,220","9,974","5,566"
uacounty09:Wolverhampton,"179,983","120,402","24,364","63,981",525,"2,269","2,680","5,910","14,127","6,546","59,581","23,763","11,036","9,479","9,765","5,538"
uacounty09:Worcestershire,"415,036","296,083","61,898","162,811","1,632","8,666","11,534","22,190","15,424","11,928","118,953","66,567","17,126","14,474","13,527","7,259"
uacounty09:Bedford,"113,764","81,782","15,841","45,943",431,"2,107","2,815","5,473","5,060","4,112","31,982","14,517","6,231","4,918","3,749","2,567"
uacounty09:Central Bedfordshire,"186,658","139,525","26,069","81,304",678,"3,678","4,981","11,135","6,443","5,237","47,133","25,111","7,768","7,346","4,409","2,499"
