2011 census ks608ew to ks610ew - occupation by sex,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 15 April 2013],,,,,,,,,,
,,,,,,,,,,
population,All usual residents aged 16 to 74 in employment the week before the census,,,,,,,,,
units,Persons,,,,,,,,,
date,2011,,,,,,,,,
,,,,,,,,,,
Area,All categories: Occupation,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
ualad09:Hambleton,"45,255","5,921","7,766","6,102","4,813","6,624","3,808","2,908","2,598","4,715"
ualad09:Harrogate,"81,402","11,721","14,866","11,670","8,708","9,525","7,347","5,986","3,876","7,703"
ualad09:Richmondshire,"27,795","3,374","3,270","6,794","2,343","3,926","2,163","1,487","1,471","2,967"
ualad09:Ryedale,"25,504","3,179","3,595","2,344","2,353","4,849","2,358","1,608","2,115","3,103"
ualad09:Scarborough,"48,359","5,773","6,173","4,170","4,170","7,656","5,190","4,493","4,018","6,716"
ualad09:Selby,"43,286","5,336","6,669","5,128","4,932","5,473","3,821","3,323","3,984","4,620"
ualad09:Barnsley,"103,579","9,372","12,836","10,260","10,450","14,242","10,781","10,870","11,291","13,477"
ualad09:Doncaster,"133,815","12,078","15,111","13,199","13,530","17,283","13,875","13,922","14,079","20,738"
ualad09:Rotherham,"114,871","10,285","14,407","11,387","12,652","15,018","11,983","12,670","12,205","14,264"
ualad09:Sheffield,"244,318","20,481","47,803","27,794","27,279","26,275","23,217","23,925","18,199","29,345"
ualad09:Bradford,"218,937","20,571","32,021","23,720","25,835","25,708","22,306","19,561","21,370","27,845"
ualad09:Calderdale,"96,645","10,327","16,340","12,120","11,282","11,737","9,455","7,151","8,552","9,681"
ualad09:Kirklees,"192,397","20,521","29,941","22,423","20,707","23,698","17,826","16,711","18,843","21,727"
ualad09:Leeds,"355,225","33,735","65,784","46,626","42,777","36,027","32,353","33,516","23,312","41,095"
ualad09:Wakefield,"151,828","13,859","18,471","16,178","16,765","18,414","14,824","13,378","16,322","23,617"
ualad09:Derby,"112,422","9,700","18,421","12,570","11,887","12,221","11,246","10,570","10,860","14,947"
ualad09:Leicester,"137,494","9,556","19,628","12,808","13,883","12,636","13,388","14,859","17,406","23,330"
ualad09:Nottingham,"123,218","9,055","19,437","13,232","11,942","11,831","12,616","13,540","10,765","20,800"
ualad09:Rutland,"18,037","2,752","3,203","2,857","1,552","2,214","1,459","1,078","1,092","1,830"
ualad09:Amber Valley,"59,381","6,419","8,767","6,534","6,370","8,167","5,339","4,376","6,516","6,893"
ualad09:Bolsover,"34,511","3,310","3,759","3,324","3,549","4,609","3,794","2,825","3,933","5,408"
ualad09:Chesterfield,"47,901","4,381","6,948","5,135","5,462","5,743","5,335","4,553","4,348","5,996"
ualad09:Derbyshire Dales,"35,005","4,903","6,705","3,542","3,354","5,284","2,843","2,024","2,575","3,775"
ualad09:Erewash,"54,851","5,493","7,470","6,218","6,309","7,537","4,898","4,942","5,396","6,588"
ualad09:High Peak,"45,618","5,177","8,123","5,330","4,607","5,744","4,578","3,206","4,094","4,759"
ualad09:North East Derbyshire,"46,858","5,178","6,719","5,128","5,760","6,364","4,535","3,914","4,182","5,078"
ualad09:South Derbyshire,"47,886","5,804","7,715","5,671","5,218","5,955","4,224","3,422","4,677","5,200"
ualad09:Blaby,"48,276","5,384","7,700","6,275","6,141","6,286","4,233","4,130","3,498","4,629"
ualad09:Charnwood,"79,572","8,669","14,282","9,726","9,110","9,719","7,289","6,178","6,169","8,430"
ualad09:Harborough,"44,079","6,735","8,434","5,856","4,995","5,227","3,449","2,864","2,464","4,055"
ualad09:Hinckley and Bosworth,"53,774","6,390","8,305","6,536","6,548","6,814","4,795","3,868","4,498","6,020"
ualad09:Melton,"26,184","3,248","3,935","3,190","2,583","3,563","2,564","1,640","2,530","2,931"
ualad09:North West Leicestershire,"46,291","5,383","6,910","5,300","5,115","5,859","4,246","3,275","4,724","5,479"
ualad09:Oadby and Wigston,"26,399","2,717","4,547","3,179","3,580","2,864","2,357","2,462","2,022","2,671"
ualad09:Boston,"30,807","2,410","3,077","2,128","2,655","3,957","2,975","2,556","5,194","5,855"
ualad09:East Lindsey,"56,311","6,757","6,522","5,301","5,240","8,834","6,594","4,707","4,927","7,429"
ualad09:Lincoln,"44,599","3,304","6,005","4,838","4,210","4,929","4,779","5,356","4,462","6,716"
ualad09:North Kesteven,"52,428","6,382","7,451","7,661","5,920","6,575","5,208","3,905","4,315","5,011"
ualad09:South Holland,"41,490","4,437","4,034","3,605","4,158","5,932","3,793","3,129","6,280","6,122"
ualad09:South Kesteven,"66,532","8,212","10,107","8,022","7,200","8,375","6,342","5,379","5,619","7,276"
ualad09:West Lindsey,"41,968","4,997","6,610","4,669","4,436","5,819","4,425","3,055","3,523","4,434"
ualad09:Corby,"30,688","2,367","2,768","2,630","2,894","3,326","2,529","2,725","4,984","6,465"
ualad09:Daventry,"39,536","5,700","6,612","4,982","4,621","4,587","3,231","2,329","2,761","4,713"
ualad09:East Northamptonshire,"43,417","5,443","6,524","5,331","4,916","5,703","4,071","3,064","3,634","4,731"
ualad09:Kettering,"46,918","5,278","7,093","5,319","5,016","6,023","4,588","3,589","4,384","5,628"
ualad09:Northampton,"106,792","10,358","15,699","12,527","13,360","10,949","10,292","9,269","8,394","15,944"
ualad09:South Northamptonshire,"45,740","6,875","8,034","6,284","5,620","5,702","3,583","2,898","2,679","4,065"
ualad09:Wellingborough,"36,363","3,787","4,589","4,034","4,331","4,340","3,317","2,988","3,622","5,355"
ualad09:Ashfield,"55,336","4,889","5,883","5,423","6,354","7,930","5,728","5,224","6,168","7,737"
ualad09:Bassetlaw,"52,814","5,540","6,780","5,093","5,188","6,984","5,653","4,223","5,981","7,372"
ualad09:Broxtowe,"53,185","5,334","10,903","6,540","6,266","5,961","4,208","4,523","3,981","5,469"
ualad09:Gedling,"55,598","5,972","9,295","6,956","7,160","6,912","5,150","5,178","3,746","5,229"
ualad09:Mansfield,"48,361","4,384","5,349","4,941","5,086","6,443","5,287","4,619","4,882","7,370"
ualad09:Newark and Sherwood,"54,555","6,491","7,940","6,032","5,504","7,075","5,437","4,275","4,928","6,873"
ualad09:Rushcliffe,"55,346","7,869","14,585","7,928","6,135","4,861","3,838","3,651","2,365","4,114"
"ualad09:Herefordshire, County of","90,237","10,441","13,066","9,286","8,783","14,578","8,910","6,633","7,668","10,872"
ualad09:Shropshire,"150,748","17,708","23,906","16,971","15,010","22,984","15,180","10,837","11,171","16,981"
ualad09:Stoke-on-Trent,"108,109","8,030","11,322","9,674","10,705","15,525","11,934","11,796","11,843","17,280"
ualad09:Telford and Wrekin,"78,372","7,471","10,919","8,841","9,051","9,288","7,307","6,775","8,431","10,289"
ualad09:Cannock Chase,"47,476","4,464","5,264","5,092","5,455","7,216","4,674","4,244","5,275","5,792"
ualad09:East Staffordshire,"54,921","5,707","8,008","5,589","5,630","6,747","4,667","4,293","6,205","8,075"
ualad09:Lichfield,"49,016","6,852","9,043","6,158","5,720","5,756","3,804","3,479","3,227","4,977"
ualad09:Newcastle-under-Lyme,"57,366","5,380","9,036","6,056","6,085","7,423","5,614","5,348","4,926","7,498"
ualad09:South Staffordshire,"53,328","6,967","8,832","6,679","6,905","7,076","4,321","4,111","3,574","4,863"
ualad09:Stafford,"64,494","7,695","12,284","8,511","7,275","7,062","5,477","5,026","4,245","6,919"
ualad09:Staffordshire Moorlands,"47,591","5,265","7,008","5,205","4,937","7,420","4,694","3,495","4,367","5,200"
ualad09:Tamworth,"38,281","3,614","4,417","4,216","4,817","4,602","3,131","3,799","3,992","5,693"
ualad09:North Warwickshire,"31,258","3,549","4,060","3,431","3,818","4,044","2,688","2,244","3,137","4,287"
ualad09:Nuneaton and Bedworth,"60,205","5,102","7,712","6,600","7,104","7,287","5,975","5,194","6,145","9,086"
ualad09:Rugby,"50,485","5,736","8,914","6,103","5,621","5,300","4,019","3,420","3,973","7,399"
ualad09:Stratford-on-Avon,"60,765","9,491","11,245","7,947","6,589","7,484","4,953","4,391","2,962","5,703"
ualad09:Warwick,"69,608","8,905","17,365","9,869","7,464","6,145","5,472","4,939","3,168","6,281"
ualad09:Birmingham,"423,691","35,160","77,424","46,762","49,752","41,640","42,626","38,152","36,206","55,969"
ualad09:Coventry,"137,560","10,323","22,093","14,801","16,137","14,037","13,502","13,239","11,964","21,464"
ualad09:Dudley,"141,998","13,478","19,883","15,304","18,440","19,393","13,555","13,294","13,375","15,276"
ualad09:Sandwell,"128,630","9,515","14,312","12,186","15,511","16,116","13,053","12,618","15,989","19,330"
ualad09:Solihull,"97,941","12,312","19,446","12,723","13,260","9,681","8,093","7,649","5,895","8,882"
ualad09:Walsall,"112,270","10,174","14,172","11,072","13,100","15,368","11,095","10,480","12,165","14,644"
ualad09:Wolverhampton,"104,284","8,560","14,253","10,304","11,795","12,332","10,704","9,577","11,410","15,349"
ualad09:Bromsgrove,"46,251","6,502","9,737","6,057","5,542","5,209","4,127","2,853","2,420","3,804"
ualad09:Malvern Hills,"34,361","4,733","7,006","4,021","3,436","4,802","3,153","2,287","1,902","3,021"
ualad09:Redditch,"42,922","4,183","5,625","4,935","4,907","5,366","4,003","3,704","4,768","5,431"
ualad09:Worcester,"50,101","4,878","9,078","6,085","5,463","5,195","4,591","4,859","3,968","5,984"
ualad09:Wychavon,"58,268","8,077","9,410","6,963","6,446","7,526","5,088","4,289","4,402","6,067"
ualad09:Wyre Forest,"46,339","5,320","6,262","5,154","4,837","6,486","4,825","3,893","4,244","5,318"
ualad09:Bedford,"75,810","8,273","13,687","9,331","8,489","8,362","7,054","6,005","5,243","9,366"
ualad09:Central Bedfordshire,"132,061","16,698","22,151","18,600","16,229","16,582","11,493","9,392","9,004","11,912"
ualad09:Luton,"89,201","7,104","12,054","8,746","10,129","9,926","9,092","8,124","9,433","14,593"
ualad09:Peterborough,"88,044","7,855","11,643","10,002","9,870","8,947","8,122","8,153","9,173","14,279"
ualad09:Southend-on-Sea,"81,339","8,686","13,056","10,779","11,828","9,143","7,767","6,781","5,160","8,139"
ualad09:Thurrock,"77,420","7,245","8,731","8,486","11,476","9,645","6,392","7,731","7,988","9,726"
ualad09:Cambridge,"59,437","5,105","22,615","6,696","4,608","3,929","4,322","3,867","2,049","6,246"
ualad09:East Cambridgeshire,"43,919","5,462","8,086","5,175","4,903","5,721","4,398","2,977","3,311","3,886"
ualad09:Fenland,"44,514","4,098","4,195","4,342","4,507","6,318","4,723","3,421","6,421","6,489"
ualad09:Huntingdonshire,"88,991","11,009","14,993","12,421","10,753","10,245","7,878","6,505","6,714","8,473"
ualad09:South Cambridgeshire,"79,139","9,819","21,202","10,352","8,507","8,286","6,510","4,660","3,652","6,151"
ualad09:Basildon,"83,006","8,475","11,395","10,282","12,414","10,068","7,319","6,967","6,779","9,307"
ualad09:Braintree,"74,200","8,949","10,018","9,818","9,142","10,067","7,335","5,613","5,661","7,597"
ualad09:Brentwood,"36,251","5,097","7,448","5,946","5,188","3,630","2,896","1,955","1,585","2,506"
ualad09:Castle Point,"41,443","4,340","4,576","4,894","6,520","6,165","3,840","3,580","3,684","3,844"
ualad09:Chelmsford,"86,451","10,585","16,438","12,942","11,866","8,925","6,922","6,370","4,723","7,680"
ualad09:Colchester,"85,587","9,612","14,949","12,398","9,784","9,461","8,804","7,301","4,966","8,312"
ualad09:Epping Forest,"61,609","9,051","10,107","9,039","9,269","7,167","4,845","3,681","3,839","4,611"
ualad09:Harlow,"40,401","3,598","5,000","4,515","5,176","5,001","4,153","3,787","3,726","5,445"
ualad09:Maldon,"30,292","4,100","4,530","3,931","3,775","4,474","2,593","1,954","2,230","2,705"
ualad09:Rochford,"40,662","4,784","5,924","5,665","6,728","5,380","3,289","3,144","2,535","3,213"
ualad09:Tendring,"54,857","5,846","5,985","5,465","6,333","7,729","7,403","4,939","4,684","6,473"
ualad09:Uttlesford,"40,772","6,301","7,521","6,094","4,590","4,786","3,423","2,480","2,238","3,339"
ualad09:Broxbourne,"46,222","5,069","5,608","5,598","6,990","6,320","4,031","3,897","3,886","4,823"
ualad09:Dacorum,"73,437","9,630","13,742","11,076","8,780","7,816","6,262","5,537","3,843","6,751"
ualad09:East Hertfordshire,"72,225","10,639","14,636","11,160","8,968","7,589","5,740","4,345","3,573","5,575"
ualad09:Hertsmere,"49,428","6,790","9,603","7,224","6,694","4,767","4,461","3,486","2,628","3,775"
ualad09:North Hertfordshire,"64,990","8,310","14,418","9,522","7,209","6,420","5,372","4,514","3,819","5,406"
ualad09:St Albans,"71,378","10,983","20,382","11,911","7,465","5,042","5,054","4,149","2,262","4,130"
ualad09:Stevenage,"42,738","3,903","6,827","5,302","5,049","5,187","4,184","4,254","3,179","4,853"
ualad09:Three Rivers,"43,999","6,612","9,317","6,639","5,574","4,319","3,642","2,634","2,096","3,166"
ualad09:Watford,"47,634","5,038","9,467","6,925","5,610","4,775","4,234","3,991","2,770","4,824"
ualad09:Welwyn Hatfield,"52,981","6,009","9,960","7,182","6,297","5,224","4,601","5,336","2,829","5,543"
ualad09:Breckland,"61,301","6,381","6,642","6,679","6,259","9,208","6,477","4,630","6,597","8,428"
ualad09:Broadland,"61,541","6,900","8,808","7,477","7,745","8,752","6,200","5,690","4,074","5,895"
ualad09:Great Yarmouth,"41,264","3,939","4,159","3,702","4,324","5,797","4,948","4,196","4,090","6,109"
ualad09:King`s Lynn and West Norfolk,"67,268","7,047","8,130","7,219","6,720","9,987","6,979","5,295","7,243","8,648"
ualad09:North Norfolk,"43,183","5,228","5,182","4,092","3,988","7,633","5,021","3,424","3,333","5,282"
ualad09:Norwich,"62,424","4,811","12,181","7,422","5,944","6,321","5,901","6,878","4,157","8,809"
ualad09:South Norfolk,"60,333","6,975","10,579","7,170","6,861","8,375","5,627","4,607","4,173","5,966"
ualad09:Babergh,"42,250","5,176","6,458","5,333","4,611","6,118","3,945","3,149","3,132","4,328"
ualad09:Forest Heath,"31,540","3,151","3,229","5,386","3,134","4,307","3,735","2,051","2,793","3,754"
ualad09:Ipswich,"65,479","5,197","9,236","7,132","7,332","7,722","6,625","6,794","6,093","9,348"
ualad09:Mid Suffolk,"48,570","6,123","7,379","6,414","5,395","6,973","4,379","3,323","3,747","4,837"
ualad09:St Edmundsbury,"56,483","6,351","8,292","7,503","5,971","7,095","5,700","4,246","4,713","6,612"
ualad09:Suffolk Coastal,"58,257","6,902","10,172","7,357","7,112","7,185","5,398","4,138","3,782","6,211"
ualad09:Waveney,"49,181","4,759","5,702","4,991","4,912","7,728","5,900","4,501","4,641","6,047"
ualad09:Camden,"108,966","15,366","34,721","23,711","9,192","4,665","6,117","5,923","2,390","6,881"
ualad09:City of London,"4,747",845,"1,894","1,097",335,114,128,109,52,173
ualad09:Hackney,"118,556","11,427","29,638","25,881","10,939","7,544","8,860","8,167","3,983","12,117"
ualad09:Hammersmith and Fulham,"99,618","14,537","26,933","22,021","9,597","5,423","6,501","5,430","2,517","6,659"
ualad09:Haringey,"124,296","12,571","29,694","21,564","11,841","10,908","9,561","8,543","4,868","14,746"
ualad09:Islington,"106,765","12,270","33,384","23,561","9,682","5,426","6,140","6,065","2,892","7,345"
ualad09:Kensington and Chelsea,"81,387","18,949","19,025","20,284","6,300","2,892","4,919","3,472","1,476","4,070"
ualad09:Lambeth,"166,494","18,152","42,838","33,620","16,818","10,691","12,381","10,128","5,009","16,857"
ualad09:Lewisham,"136,057","13,137","30,809","22,475","16,031","11,032","12,823","10,372","5,550","13,828"
ualad09:Newham,"132,454","9,595","19,666","13,139","13,537","13,799","12,151","16,914","9,055","24,598"
ualad09:Southwark,"147,388","15,565","38,033","25,652","14,538","9,629","12,185","9,666","5,043","17,077"
ualad09:Tower Hamlets,"120,873","13,279","31,026","24,655","11,926","7,246","7,199","9,518","4,488","11,536"
ualad09:Wandsworth,"178,582","25,675","51,734","39,143","17,899","9,291","10,838","9,133","4,317","10,552"
ualad09:Westminster,"111,179","22,143","29,593","25,137","9,684","4,255","6,036","5,303","2,183","6,845"
ualad09:Barking and Dagenham,"75,217","5,094","10,024","6,891","9,864","9,137","8,431","7,213","7,138","11,425"
ualad09:Barnet,"170,658","23,035","42,157","25,491","19,743","14,030","14,116","11,647","6,962","13,477"
ualad09:Bexley,"110,159","10,269","16,225","13,957","19,352","13,475","9,844","9,176","7,712","10,149"
ualad09:Brent,"147,461","14,130","26,814","18,590","16,144","15,599","12,019","14,074","10,162","19,929"
ualad09:Bromley,"151,368","19,784","32,394","24,488","23,079","13,956","11,546","10,194","6,297","9,630"
ualad09:Croydon,"172,987","17,832","33,894","23,715","25,436","16,524","16,350","15,062","9,045","15,129"
ualad09:Ealing,"164,820","17,905","34,624","23,416","17,687","16,331","12,293","13,026","10,132","19,406"
ualad09:Enfield,"137,622","14,836","26,102","17,202","17,936","14,348","13,093","11,575","8,296","14,234"
ualad09:Greenwich,"117,821","11,295","24,081","16,684","13,759","10,589","11,396","9,324","6,508","14,185"
ualad09:Harrow,"113,900","13,368","26,446","14,492","15,464","10,061","8,358","10,248","5,862","9,601"
ualad09:Havering,"112,846","11,019","15,960","14,716","19,862","14,734","9,509","9,282","8,353","9,411"
ualad09:Hillingdon,"130,290","13,353","22,237","16,961","17,313","13,565","11,542","11,242","9,716","14,361"
ualad09:Hounslow,"127,032","13,071","23,472","17,382","14,694","11,217","10,631","11,266","8,691","16,608"
ualad09:Kingston upon Thames,"81,957","10,882","20,651","13,336","9,397","6,278","6,185","6,569","2,737","5,922"
ualad09:Merton,"104,822","12,572","25,598","15,995","12,300","9,416","8,113","7,563","4,594","8,671"
ualad09:Redbridge,"124,692","13,875","28,543","16,575","17,382","10,287","9,200","10,810","7,458","10,562"
ualad09:Richmond upon Thames,"99,204","17,333","29,443","20,379","9,473","5,249","6,133","4,501","2,225","4,468"
ualad09:Sutton,"97,658","10,518","18,731","13,612","14,327","11,201","8,987","7,407","5,417","7,458"
ualad09:Waltham Forest,"121,021","10,590","21,634","15,236","14,957","13,762","10,438","10,300","7,995","16,109"
ualad09:Bracknell Forest,"61,914","8,081","11,578","9,382","7,540","6,545","5,792","4,618","2,784","5,594"
ualad09:Brighton and Hove,"139,823","16,294","31,769","23,382","13,470","12,068","12,925","12,910","5,046","11,959"
ualad09:Isle of Wight,"59,299","6,769","8,644","6,347","5,712","9,102","7,183","5,151","3,467","6,924"
ualad09:Medway,"126,689","11,924","16,404","15,265","16,223","16,564","12,171","11,670","10,870","15,598"
ualad09:Milton Keynes,"127,783","13,871","23,219","17,189","16,037","11,298","10,035","11,910","8,484","15,740"
ualad09:Portsmouth,"96,619","8,915","15,310","12,311","10,331","11,164","9,268","10,124","6,642","12,554"
ualad09:Reading,"79,852","7,155","19,571","10,793","8,018","7,162","6,814","7,225","4,042","9,072"
ualad09:Slough,"67,300","5,512","10,511","7,390","7,430","6,663","6,268","6,322","6,721","10,483"
ualad09:Southampton,"112,608","8,705","19,206","12,661","11,778","12,826","10,940","11,547","9,521","15,424"
ualad09:West Berkshire,"81,679","10,688","16,533","11,596","9,536","9,129","7,166","5,953","4,198","6,880"
ualad09:Windsor and Maidenhead,"73,951","12,111","16,413","13,022","7,920","6,356","5,583","4,367","2,874","5,305"
ualad09:Wokingham,"81,377","11,531","20,883","13,298","9,495","6,765","6,132","5,431","2,864","4,978"
ualad09:Aylesbury Vale,"90,724","12,437","16,995","13,195","10,384","10,369","8,094","6,567","4,978","7,705"
ualad09:Chiltern,"44,785","7,804","10,340","7,059","4,968","3,999","3,651","2,577","1,542","2,845"
ualad09:South Bucks,"33,117","6,241","6,914","5,216","4,047","3,105","2,325","1,749","1,395","2,125"
ualad09:Wycombe,"86,350","12,404","16,744","12,987","9,603","9,244","7,103","6,745","4,692","6,828"
ualad09:Eastbourne,"44,449","4,455","7,365","5,163","4,607","5,364","5,486","4,412","2,497","5,100"
ualad09:Hastings,"40,671","3,954","5,682","4,520","4,891","5,406","5,388","3,703","2,785","4,342"
ualad09:Lewes,"45,532","5,294","8,202","6,162","4,843","5,863","4,975","3,446","2,630","4,117"
ualad09:Rother,"37,583","4,945","6,069","4,372","4,294","5,751","4,278","2,592","1,934","3,348"
ualad09:Wealden,"71,084","9,961","12,168","9,574","8,112","10,005","7,137","4,898","3,320","5,909"
ualad09:Basingstoke and Deane,"90,122","10,816","17,515","12,987","11,067","9,371","7,412","7,040","5,188","8,726"
ualad09:East Hampshire,"58,457","8,353","11,334","8,244","6,504","7,108","5,639","3,654","2,803","4,818"
ualad09:Eastleigh,"65,768","7,241","11,807","9,005","8,492","7,978","5,857","5,591","3,979","5,818"
ualad09:Fareham,"56,445","6,904","10,357","8,704","7,169","6,202","4,825","4,675","2,906","4,703"
ualad09:Gosport,"40,063","3,779","4,860","5,801","4,633","5,074","4,356","3,581","2,947","5,032"
ualad09:Hart,"48,047","7,371","10,655","8,096","5,645","4,595","3,586","3,177","1,836","3,086"
ualad09:Havant,"55,555","5,595","8,036","6,163","6,341","7,638","5,565","5,438","4,538","6,241"
ualad09:New Forest,"82,993","10,174","13,273","10,249","9,799","11,447","8,674","5,978","5,212","8,187"
ualad09:Rushmoor,"51,087","5,077","7,495","8,260","6,011","5,745","5,041","4,405","3,186","5,867"
ualad09:Test Valley,"59,611","7,942","10,859","7,868","7,445","6,593","5,098","4,511","3,702","5,593"
ualad09:Winchester,"57,318","8,238","14,540","8,176","5,891","5,488","4,388","3,704","2,006","4,887"
ualad09:Ashford,"57,546","7,025","9,056","6,704","6,261","7,600","5,283","5,185","4,179","6,253"
ualad09:Canterbury,"65,620","6,964","13,470","7,768","6,449","7,446","6,692","6,144","3,317","7,370"
ualad09:Dartford,"49,611","5,124","7,220","6,153","7,269","6,242","4,415","4,526","3,710","4,952"
ualad09:Dover,"50,396","4,949","7,228","5,911","5,596","6,197","6,463","4,347","3,970","5,735"
ualad09:Gravesham,"47,639","4,812","6,190","5,315","5,898","6,083","4,281","4,609","4,120","6,331"
ualad09:Maidstone,"78,090","9,474","12,799","10,976","9,750","9,332","6,609","5,957","4,943","8,250"
ualad09:Sevenoaks,"56,015","8,044","10,758","8,142","7,124","6,545","4,505","3,740","2,850","4,307"
ualad09:Shepway,"48,280","5,292","6,400","6,200","5,121","6,149","5,707","4,679","3,344","5,388"
ualad09:Swale,"62,810","6,558","8,026","7,336","7,482","8,477","6,064","4,853","5,944","8,070"
ualad09:Thanet,"55,200","5,489","7,794","5,669","5,717","7,174","7,447","5,352","3,970","6,588"
ualad09:Tonbridge and Malling,"59,993","7,768","10,283","8,380","7,652","6,798","5,229","4,530","3,544","5,809"
ualad09:Tunbridge Wells,"57,234","8,005","11,764","8,487","6,302","6,209","4,756","4,320","2,393","4,998"
ualad09:Cherwell,"74,829","8,708","12,468","9,811","8,423","8,799","6,300","6,568","5,850","7,902"
ualad09:Oxford,"69,807","5,791","23,478","8,106","5,805","4,912","5,713","4,659","3,215","8,128"
ualad09:South Oxfordshire,"70,087","10,095","15,018","10,215","7,444","7,969","5,674","4,186","3,394","6,092"
ualad09:Vale of White Horse,"63,181","8,057","14,651","8,954","6,904","6,923","5,030","3,943","3,362","5,357"
ualad09:West Oxfordshire,"56,515","7,384","10,416","8,344","6,036","7,307","4,998","3,666","3,381","4,983"
ualad09:Elmbridge,"64,730","12,074","15,800","11,443","6,968","4,760","4,868","3,435","1,947","3,435"
ualad09:Epsom and Ewell,"38,005","4,923","8,696","5,898","5,055","3,588","3,275","2,539","1,527","2,504"
ualad09:Guildford,"70,021","9,551","17,168","11,221","7,200","6,623","5,452","4,881","2,488","5,437"
ualad09:Mole Valley,"42,422","6,422","9,518","6,613","5,045","4,505","3,678","2,326","1,495","2,820"
ualad09:Reigate and Banstead,"71,236","9,835","14,701","11,262","9,125","6,869","6,728","4,531","3,093","5,092"
ualad09:Runnymede,"40,651","5,464","7,676","5,848","5,034","4,255","3,649","3,023","1,990","3,712"
ualad09:Spelthorne,"50,161","5,868","8,175","7,420","7,607","5,200","4,448","3,714","3,215","4,514"
ualad09:Surrey Heath,"44,968","6,957","9,137","7,253","5,440","4,315","3,808","2,994","1,864","3,200"
ualad09:Tandridge,"41,813","6,527","7,870","6,536","5,367","4,700","4,050","2,432","1,715","2,616"
ualad09:Waverley,"59,178","9,368","14,132","8,980","6,161","6,134","4,920","3,541","1,887","4,055"
ualad09:Woking,"51,341","6,879","11,765","7,692","6,010","4,594","4,342","3,760","2,456","3,843"
ualad09:Adur,"29,356","3,153","4,232","3,644","3,419","4,053","3,412","2,800","1,952","2,691"
ualad09:Arun,"67,443","7,843","8,944","7,456","7,698","9,014","8,231","5,511","4,696","8,050"
ualad09:Chichester,"53,285","7,586","9,983","6,957","5,219","6,862","5,170","3,711","2,477","5,320"
ualad09:Crawley,"55,466","5,035","6,807","6,653","6,853","5,203","6,665","5,886","4,384","7,980"
ualad09:Horsham,"66,299","9,358","12,684","9,836","7,854","7,385","6,421","4,561","2,861","5,339"
ualad09:Mid Sussex,"72,229","9,618","14,062","10,997","8,784","7,413","7,698","4,905","3,091","5,661"
ualad09:Worthing,"50,611","5,437","8,604","6,735","6,159","5,668","5,968","4,665","2,785","4,590"
ualad09:Bath and North East Somerset,"84,858","9,698","18,637","10,587","9,295","9,473","7,249","6,850","4,380","8,689"
ualad09:Bournemouth,"89,186","9,926","14,625","11,366","9,541","10,134","9,200","9,288","5,005","10,101"
"ualad09:Bristol, City of","209,995","18,103","47,493","28,688","23,299","20,104","17,934","18,315","12,107","23,952"
ualad09:Cornwall,"244,527","27,985","33,767","25,455","23,320","41,511","25,798","20,094","17,369","29,228"
ualad09:Isles of Scilly,"1,311",261,121,118,110,258,143,56,71,173
ualad09:North Somerset,"97,563","11,897","16,808","12,908","11,305","11,026","9,592","8,534","6,114","9,379"
ualad09:Plymouth,"117,466","9,508","16,170","14,638","13,201","15,317","12,914","12,497","8,647","14,574"
ualad09:Poole,"71,709","8,343","11,824","8,611","8,468","9,427","6,648","6,518","4,711","7,159"
ualad09:South Gloucestershire,"136,531","14,169","23,682","16,740","19,070","16,781","11,637","12,497","8,650","13,305"
ualad09:Swindon,"109,499","10,444","17,031","13,782","13,094","11,704","8,890","10,481","9,633","14,440"
ualad09:Torbay,"56,912","6,758","7,004","5,799","5,814","8,077","7,282","5,379","3,721","7,078"
ualad09:Wiltshire,"239,216","29,672","39,957","34,876","26,074","29,613","21,914","17,595","15,323","24,192"
ualad09:East Devon,"59,908","7,280","9,181","7,317","6,136","9,190","6,415","4,822","3,176","6,391"
ualad09:Exeter,"57,139","4,777","10,975","6,645","6,483","5,828","5,559","6,367","3,357","7,148"
ualad09:Mid Devon,"38,508","4,245","5,685","3,906","3,912","6,574","3,751","3,049","3,115","4,271"
ualad09:North Devon,"44,754","5,219","5,886","4,559","4,019","7,773","4,533","3,747","3,295","5,723"
ualad09:South Hams,"39,999","5,559","7,530","4,858","3,713","6,396","3,665","2,659","1,875","3,744"
ualad09:Teignbridge,"58,962","7,177","9,643","6,666","6,063","8,364","6,334","5,000","3,756","5,959"
ualad09:Torridge,"29,402","3,047","3,353","2,410","2,614","6,360","3,468","2,256","2,343","3,551"
ualad09:West Devon,"25,241","3,043","4,337","2,640","2,329","4,375","2,515","1,629","1,637","2,736"
ualad09:Christchurch,"20,301","2,499","3,360","2,338","2,448","2,736","2,060","1,827","1,085","1,948"
ualad09:East Dorset,"40,050","5,647","6,872","4,945","4,969","5,389","3,666","3,027","2,070","3,465"
ualad09:North Dorset,"33,432","3,773","4,859","4,429","3,209","5,504","3,166","2,144","2,414","3,934"
ualad09:Purbeck,"21,419","2,643","2,957","2,668","2,325","3,371","2,173","1,549","1,361","2,372"
