2011 census ks608ew to ks610ew - occupation by sex,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 15 April 2013],,,,,,,,,,
,,,,,,,,,,
population,All usual residents aged 16 to 74 in employment the week before the census,,,,,,,,,
units,Persons,,,,,,,,,
date,2011,,,,,,,,,
,,,,,,,,,,
Area,All categories: Occupation,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
uacounty09:Rutland,"18,037","2,752","3,203","2,857","1,552","2,214","1,459","1,078","1,092","1,830"
uacounty09:Derbyshire,"372,011","40,665","56,206","40,882","40,629","49,403","35,546","29,262","35,721","43,697"
uacounty09:Leicestershire,"324,575","38,526","54,113","40,062","38,072","40,332","28,933","24,417","25,905","34,215"
uacounty09:Lincolnshire,"334,135","36,499","43,806","36,224","33,819","44,421","34,116","28,087","34,320","42,843"
uacounty09:Northamptonshire,"349,454","39,808","51,319","41,107","40,758","40,630","31,611","26,862","30,458","46,901"
uacounty09:Nottinghamshire,"375,195","40,479","60,735","42,913","41,693","46,166","35,301","31,693","32,051","44,164"
"uacounty09:Herefordshire, County of","90,237","10,441","13,066","9,286","8,783","14,578","8,910","6,633","7,668","10,872"
uacounty09:Shropshire,"150,748","17,708","23,906","16,971","15,010","22,984","15,180","10,837","11,171","16,981"
uacounty09:Stoke-on-Trent,"108,109","8,030","11,322","9,674","10,705","15,525","11,934","11,796","11,843","17,280"
uacounty09:Telford and Wrekin,"78,372","7,471","10,919","8,841","9,051","9,288","7,307","6,775","8,431","10,289"
uacounty09:Staffordshire,"412,473","45,944","63,892","47,506","46,824","53,302","36,382","33,795","35,811","49,017"
uacounty09:Warwickshire,"272,321","32,783","49,296","33,950","30,596","30,260","23,107","20,188","19,385","32,756"
uacounty09:Birmingham,"423,691","35,160","77,424","46,762","49,752","41,640","42,626","38,152","36,206","55,969"
uacounty09:Coventry,"137,560","10,323","22,093","14,801","16,137","14,037","13,502","13,239","11,964","21,464"
uacounty09:Dudley,"141,998","13,478","19,883","15,304","18,440","19,393","13,555","13,294","13,375","15,276"
uacounty09:Sandwell,"128,630","9,515","14,312","12,186","15,511","16,116","13,053","12,618","15,989","19,330"
uacounty09:Solihull,"97,941","12,312","19,446","12,723","13,260","9,681","8,093","7,649","5,895","8,882"
uacounty09:Walsall,"112,270","10,174","14,172","11,072","13,100","15,368","11,095","10,480","12,165","14,644"
uacounty09:Wolverhampton,"104,284","8,560","14,253","10,304","11,795","12,332","10,704","9,577","11,410","15,349"
uacounty09:Worcestershire,"278,242","33,693","47,118","33,215","30,631","34,584","25,787","21,885","21,704","29,625"
uacounty09:Bedford,"75,810","8,273","13,687","9,331","8,489","8,362","7,054","6,005","5,243","9,366"
uacounty09:Central Bedfordshire,"132,061","16,698","22,151","18,600","16,229","16,582","11,493","9,392","9,004","11,912"
uacounty09:Luton,"89,201","7,104","12,054","8,746","10,129","9,926","9,092","8,124","9,433","14,593"
uacounty09:Peterborough,"88,044","7,855","11,643","10,002","9,870","8,947","8,122","8,153","9,173","14,279"
uacounty09:Southend-on-Sea,"81,339","8,686","13,056","10,779","11,828","9,143","7,767","6,781","5,160","8,139"
uacounty09:Thurrock,"77,420","7,245","8,731","8,486","11,476","9,645","6,392","7,731","7,988","9,726"
uacounty09:Cambridgeshire,"316,000","35,493","71,091","38,986","33,278","34,499","27,831","21,430","22,147","31,245"
uacounty09:Essex,"675,531","80,738","103,891","90,989","90,785","82,853","62,822","51,771","46,650","65,032"
uacounty09:Hertfordshire,"565,032","72,983","113,960","82,539","68,636","57,459","47,581","42,143","30,885","48,846"
uacounty09:Norfolk,"397,314","41,281","55,681","43,761","41,841","56,073","41,153","34,720","33,667","49,137"
uacounty09:Suffolk,"351,760","37,659","50,468","44,116","38,467","47,128","35,682","28,202","28,901","41,137"
uacounty09:Camden,"108,966","15,366","34,721","23,711","9,192","4,665","6,117","5,923","2,390","6,881"
uacounty09:City of London,"4,747",845,"1,894","1,097",335,114,128,109,52,173
uacounty09:Hackney,"118,556","11,427","29,638","25,881","10,939","7,544","8,860","8,167","3,983","12,117"
uacounty09:Hammersmith and Fulham,"99,618","14,537","26,933","22,021","9,597","5,423","6,501","5,430","2,517","6,659"
uacounty09:Haringey,"124,296","12,571","29,694","21,564","11,841","10,908","9,561","8,543","4,868","14,746"
uacounty09:Islington,"106,765","12,270","33,384","23,561","9,682","5,426","6,140","6,065","2,892","7,345"
uacounty09:Kensington and Chelsea,"81,387","18,949","19,025","20,284","6,300","2,892","4,919","3,472","1,476","4,070"
uacounty09:Lambeth,"166,494","18,152","42,838","33,620","16,818","10,691","12,381","10,128","5,009","16,857"
uacounty09:Lewisham,"136,057","13,137","30,809","22,475","16,031","11,032","12,823","10,372","5,550","13,828"
uacounty09:Newham,"132,454","9,595","19,666","13,139","13,537","13,799","12,151","16,914","9,055","24,598"
uacounty09:Southwark,"147,388","15,565","38,033","25,652","14,538","9,629","12,185","9,666","5,043","17,077"
uacounty09:Tower Hamlets,"120,873","13,279","31,026","24,655","11,926","7,246","7,199","9,518","4,488","11,536"
uacounty09:Wandsworth,"178,582","25,675","51,734","39,143","17,899","9,291","10,838","9,133","4,317","10,552"
uacounty09:Westminster,"111,179","22,143","29,593","25,137","9,684","4,255","6,036","5,303","2,183","6,845"
uacounty09:Barking and Dagenham,"75,217","5,094","10,024","6,891","9,864","9,137","8,431","7,213","7,138","11,425"
uacounty09:Barnet,"170,658","23,035","42,157","25,491","19,743","14,030","14,116","11,647","6,962","13,477"
uacounty09:Bexley,"110,159","10,269","16,225","13,957","19,352","13,475","9,844","9,176","7,712","10,149"
uacounty09:Brent,"147,461","14,130","26,814","18,590","16,144","15,599","12,019","14,074","10,162","19,929"
uacounty09:Bromley,"151,368","19,784","32,394","24,488","23,079","13,956","11,546","10,194","6,297","9,630"
uacounty09:Croydon,"172,987","17,832","33,894","23,715","25,436","16,524","16,350","15,062","9,045","15,129"
uacounty09:Ealing,"164,820","17,905","34,624","23,416","17,687","16,331","12,293","13,026","10,132","19,406"
uacounty09:Enfield,"137,622","14,836","26,102","17,202","17,936","14,348","13,093","11,575","8,296","14,234"
uacounty09:Greenwich,"117,821","11,295","24,081","16,684","13,759","10,589","11,396","9,324","6,508","14,185"
uacounty09:Harrow,"113,900","13,368","26,446","14,492","15,464","10,061","8,358","10,248","5,862","9,601"
uacounty09:Havering,"112,846","11,019","15,960","14,716","19,862","14,734","9,509","9,282","8,353","9,411"
uacounty09:Hillingdon,"130,290","13,353","22,237","16,961","17,313","13,565","11,542","11,242","9,716","14,361"
uacounty09:Hounslow,"127,032","13,071","23,472","17,382","14,694","11,217","10,631","11,266","8,691","16,608"
uacounty09:Kingston upon Thames,"81,957","10,882","20,651","13,336","9,397","6,278","6,185","6,569","2,737","5,922"
uacounty09:Merton,"104,822","12,572","25,598","15,995","12,300","9,416","8,113","7,563","4,594","8,671"
uacounty09:Redbridge,"124,692","13,875","28,543","16,575","17,382","10,287","9,200","10,810","7,458","10,562"
uacounty09:Richmond upon Thames,"99,204","17,333","29,443","20,379","9,473","5,249","6,133","4,501","2,225","4,468"
