2011 census qs407ew - number of rooms,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,
,,,,,,,,,,
population,All occupied household spaces,,,,,,,,,
units,Household spaces,,,,,,,,,
date,2011,,,,,,,,,
,,,,,,,,,,
Area,All categories: Number of rooms,1 room,2 rooms,3 rooms,4 rooms,5 rooms,6 rooms,7 rooms,8 rooms,9 or more rooms
uacounty09:Lincolnshire,"306,971",698,"4,203","18,306","53,195","73,212","64,703","38,068","26,001","28,585"
uacounty09:Northamptonshire,"287,730","1,029","5,516","21,429","48,312","73,872","56,721","32,869","23,582","24,400"
uacounty09:Nottinghamshire,"334,303",694,"4,214","19,921","51,329","94,458","78,429","38,176","24,042","23,040"
"uacounty09:Herefordshire, County of","78,319",300,"1,563","5,703","12,125","16,469","15,150","10,233","7,480","9,296"
uacounty09:Shropshire,"129,674",324,"2,145","8,156","20,311","27,388","27,106","17,054","12,366","14,824"
uacounty09:Stoke-on-Trent,"107,575",323,"1,817","9,150","24,436","36,965","21,664","7,202","3,555","2,463"
uacounty09:Telford and Wrekin,"66,608",130,858,"4,364","11,288","18,215","13,511","7,428","5,485","5,329"
uacounty09:Staffordshire,"355,263",850,"4,647","24,997","55,632","89,818","77,908","43,720","29,483","28,208"
uacounty09:Warwickshire,"231,005",740,"4,046","16,956","39,825","56,516","48,429","26,240","18,142","20,111"
uacounty09:Birmingham,"410,736","3,964","13,641","49,013","70,666","111,567","87,703","37,844","19,854","16,484"
uacounty09:Coventry,"128,592","1,295","3,667","10,866","23,531","42,501","28,028","10,020","4,875","3,809"
uacounty09:Dudley,"129,867",334,"1,994","10,865","21,275","38,042","31,529","14,228","7,264","4,336"
uacounty09:Sandwell,"121,498",459,"2,272","12,945","21,224","39,329","29,273","9,291","4,212","2,493"
uacounty09:Solihull,"86,056",192,"1,104","6,865","12,499","20,239","17,366","11,091","8,278","8,422"
uacounty09:Walsall,"107,822",298,"1,605","9,120","18,104","32,329","25,377","10,929","5,896","4,164"
uacounty09:Wolverhampton,"102,177",600,"2,005","11,665","17,387","27,458","24,528","10,208","5,004","3,322"
uacounty09:Worcestershire,"239,717",848,"4,464","19,456","36,541","55,002","48,771","30,247","21,564","22,824"
uacounty09:Bedford,"63,812",462,"1,685","6,246","9,655","14,533","12,898","7,164","5,091","6,078"
uacounty09:Central Bedfordshire,"104,399",212,"1,642","7,854","17,854","25,340","21,419","12,582","8,628","8,868"
uacounty09:Luton,"74,293","1,131","2,980","8,302","13,223","20,947","16,673","6,095","3,044","1,898"
