2011 census qs407ew - number of rooms,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,
,,,,,,,,,,
population,All occupied household spaces,,,,,,,,,
units,Household spaces,,,,,,,,,
date,2011,,,,,,,,,
,,,,,,,,,,
Area,All categories: Number of rooms,1 room,2 rooms,3 rooms,4 rooms,5 rooms,6 rooms,7 rooms,8 rooms,9 or more rooms
ualad09:Barnsley,"100,734",225,"1,147","6,821","22,128","33,055","21,032","8,491","4,612","3,223"
ualad09:Doncaster,"126,487",361,"1,386","8,335","20,059","40,400","31,471","12,461","6,679","5,335"
ualad09:Rotherham,"108,293",247,"1,192","7,995","19,526","34,074","25,666","10,403","5,415","3,775"
ualad09:Sheffield,"229,928","2,071","6,538","24,136","46,196","67,134","44,334","19,625","10,883","9,011"
ualad09:Bradford,"199,296","1,308","5,563","20,573","40,053","52,673","37,119","19,308","11,992","10,707"
ualad09:Calderdale,"88,621",283,"2,106","10,046","21,421","21,731","15,514","7,930","4,934","4,656"
ualad09:Kirklees,"173,525",976,"4,958","18,805","37,940","43,051","32,038","16,447","10,255","9,055"
ualad09:Leeds,"320,596","2,996","10,944","36,195","71,466","81,506","57,321","28,997","16,608","14,563"
ualad09:Wakefield,"140,414",437,"2,021","10,269","31,837","43,144","27,906","12,626","6,862","5,312"
ualad09:Derby,"102,271",509,"2,181","9,783","17,175","29,319","22,735","10,127","5,737","4,705"
ualad09:Leicester,"123,125","1,667","5,766","15,919","19,259","36,044","26,793","9,170","4,834","3,673"
ualad09:Nottingham,"126,131","1,379","5,343","16,618","25,204","39,364","22,826","8,259","4,004","3,134"
ualad09:Rutland,"15,002",17,169,769,"1,889","3,065","2,910","1,883","1,735","2,565"
ualad09:Amber Valley,"52,596",47,463,"3,051","9,388","15,043","12,093","5,747","3,468","3,296"
ualad09:Bolsover,"32,801",28,300,"1,348","6,628","10,966","7,700","3,003","1,540","1,288"
ualad09:Chesterfield,"46,796",128,877,"4,294","10,061","13,519","9,586","4,350","2,367","1,614"
ualad09:Derbyshire Dales,"30,744",52,412,"1,997","4,756","6,797","6,321","3,954","2,930","3,525"
ualad09:Erewash,"48,692",84,548,"3,322","7,733","15,849","11,504","4,903","2,771","1,978"
ualad09:High Peak,"38,946",110,687,"2,997","7,633","9,503","7,635","4,537","3,005","2,839"
ualad09:North East Derbyshire,"43,070",39,349,"2,291","8,307","13,239","8,863","4,599","2,804","2,579"
ualad09:South Derbyshire,"38,992",74,452,"1,920","6,400","10,082","8,359","4,835","3,477","3,393"
ualad09:Blaby,"38,686",54,380,"1,823","5,070","10,474","9,252","5,372","3,501","2,760"
ualad09:Charnwood,"66,516",265,"1,159","5,120","9,708","17,730","14,469","7,675","5,234","5,156"
ualad09:Harborough,"34,898",63,458,"1,818","4,841","7,012","6,519","4,712","4,077","5,398"
ualad09:Hinckley and Bosworth,"45,377",72,571,"2,351","7,391","12,245","10,095","5,336","3,713","3,603"
ualad09:Melton,"21,490",50,340,"1,041","2,826","5,036","4,789","2,787","2,037","2,584"
ualad09:North West Leicestershire,"39,128",46,395,"2,029","5,293","10,556","9,012","4,879","3,467","3,451"
ualad09:Oadby and Wigston,"21,339",32,246,972,"3,389","6,138","4,961","2,586","1,568","1,447"
ualad09:Boston,"27,291",111,630,"2,038","4,736","7,148","5,918","3,083","1,909","1,718"
ualad09:East Lindsey,"60,890",127,897,"3,547","12,452","14,380","12,143","7,414","4,662","5,268"
ualad09:Lincoln,"39,825",182,"1,007","5,010","8,146","9,834","8,376","3,656","2,104","1,510"
ualad09:North Kesteven,"45,972",46,339,"1,485","7,230","11,520","9,634","6,131","4,537","5,050"
ualad09:South Holland,"37,264",83,407,"1,829","5,972","8,662","8,219","5,258","3,387","3,447"
ualad09:South Kesteven,"57,344",131,686,"2,814","8,906","12,603","12,168","7,492","5,637","6,907"
ualad09:West Lindsey,"38,385",18,237,"1,583","5,753","9,065","8,245","5,034","3,765","4,685"
ualad09:Corby,"25,215",71,372,"1,779","3,984","8,055","5,919","2,653","1,394",988
ualad09:Daventry,"31,647",69,431,"1,575","4,573","6,670","5,794","4,404","3,530","4,601"
ualad09:East Northamptonshire,"35,662",54,408,"1,868","5,228","8,951","7,407","4,507","3,416","3,823"
ualad09:Kettering,"39,701",102,650,"2,994","7,031","10,215","8,276","4,481","3,074","2,878"
ualad09:Northampton,"88,731",608,"2,685","9,338","17,742","23,212","15,945","8,580","5,793","4,828"
ualad09:South Northamptonshire,"34,717",51,368,"1,315","4,776","7,409","6,583","4,912","4,117","5,186"
ualad09:Wellingborough,"32,057",74,602,"2,560","4,978","9,360","6,797","3,332","2,258","2,096"
ualad09:Ashfield,"50,931",93,587,"3,010","8,488","16,953","13,071","4,774","2,354","1,601"
ualad09:Bassetlaw,"47,667",114,688,"2,711","6,960","13,032","11,073","5,455","3,825","3,809"
ualad09:Broxtowe,"46,820",60,640,"2,975","7,449","13,765","11,129","5,429","3,097","2,276"
ualad09:Gedling,"49,349",111,719,"2,842","7,675","14,568","11,643","5,608","3,316","2,867"
ualad09:Mansfield,"44,928",106,570,"3,458","7,205","14,127","11,252","4,319","2,249","1,642"
ualad09:Newark and Sherwood,"48,773",87,564,"2,554","7,102","12,662","11,036","5,867","3,998","4,903"
ualad09:Rushcliffe,"45,835",123,446,"2,371","6,450","9,351","9,225","6,724","5,203","5,942"
"ualad09:Herefordshire, County of","78,319",300,"1,563","5,703","12,125","16,469","15,150","10,233","7,480","9,296"
ualad09:Shropshire,"129,674",324,"2,145","8,156","20,311","27,388","27,106","17,054","12,366","14,824"
ualad09:Stoke-on-Trent,"107,575",323,"1,817","9,150","24,436","36,965","21,664","7,202","3,555","2,463"
ualad09:Telford and Wrekin,"66,608",130,858,"4,364","11,288","18,215","13,511","7,428","5,485","5,329"
ualad09:Cannock Chase,"40,664",82,608,"3,952","6,686","11,376","8,623","4,495","2,832","2,010"
ualad09:East Staffordshire,"47,251",164,918,"3,312","7,381","11,389","10,889","5,464","3,811","3,923"
ualad09:Lichfield,"41,224",77,371,"2,434","6,069","9,596","8,413","5,394","4,083","4,787"
ualad09:Newcastle-under-Lyme,"52,574",94,654,"4,282","9,004","14,879","11,948","5,408","3,321","2,984"
ualad09:South Staffordshire,"44,458",77,466,"2,309","7,020","9,908","9,462","6,328","4,481","4,407"
ualad09:Stafford,"55,703",259,770,"3,932","8,006","11,552","12,480","7,704","5,458","5,542"
ualad09:Staffordshire Moorlands,"41,772",56,412,"2,200","6,658","11,221","9,423","5,443","3,336","3,023"
ualad09:Tamworth,"31,617",41,448,"2,576","4,808","9,897","6,670","3,484","2,161","1,532"
ualad09:North Warwickshire,"25,812",45,262,"1,634","3,923","7,137","6,165","2,973","1,880","1,793"
ualad09:Nuneaton and Bedworth,"52,711",193,837,"3,624","8,692","16,491","12,758","5,110","2,923","2,083"
ualad09:Rugby,"41,875",149,790,"3,213","6,557","10,245","9,133","4,882","3,395","3,511"
ualad09:Stratford-on-Avon,"51,928",103,681,"3,147","9,089","10,393","9,338","6,683","5,291","7,203"
ualad09:Warwick,"58,679",250,"1,476","5,338","11,564","12,250","11,035","6,592","4,653","5,521"
ualad09:Birmingham,"410,736","3,964","13,641","49,013","70,666","111,567","87,703","37,844","19,854","16,484"
ualad09:Coventry,"128,592","1,295","3,667","10,866","23,531","42,501","28,028","10,020","4,875","3,809"
ualad09:Dudley,"129,867",334,"1,994","10,865","21,275","38,042","31,529","14,228","7,264","4,336"
ualad09:Sandwell,"121,498",459,"2,272","12,945","21,224","39,329","29,273","9,291","4,212","2,493"
ualad09:Solihull,"86,056",192,"1,104","6,865","12,499","20,239","17,366","11,091","8,278","8,422"
ualad09:Walsall,"107,822",298,"1,605","9,120","18,104","32,329","25,377","10,929","5,896","4,164"
ualad09:Wolverhampton,"102,177",600,"2,005","11,665","17,387","27,458","24,528","10,208","5,004","3,322"
ualad09:Bromsgrove,"38,290",42,438,"2,396","4,744","7,925","8,142","5,818","4,186","4,599"
ualad09:Malvern Hills,"32,212",65,457,"2,293","4,856","6,158","6,222","4,381","3,387","4,393"
ualad09:Redditch,"34,722",194,848,"3,592","5,248","9,566","6,823","3,827","2,502","2,122"
ualad09:Worcester,"42,042",263,"1,248","4,258","6,940","10,724","8,743","4,551","2,924","2,391"
ualad09:Wychavon,"49,466",147,751,"3,398","7,379","9,906","9,063","6,719","5,489","6,614"
ualad09:Wyre Forest,"42,985",137,722,"3,519","7,374","10,723","9,778","4,951","3,076","2,705"
ualad09:Bedford,"63,812",462,"1,685","6,246","9,655","14,533","12,898","7,164","5,091","6,078"
ualad09:Central Bedfordshire,"104,399",212,"1,642","7,854","17,854","25,340","21,419","12,582","8,628","8,868"
ualad09:Luton,"74,293","1,131","2,980","8,302","13,223","20,947","16,673","6,095","3,044","1,898"
ualad09:Peterborough,"74,023",453,"1,841","7,775","12,373","19,651","15,089","7,449","4,843","4,549"
ualad09:Southend-on-Sea,"74,678",801,"2,776","9,972","15,648","16,292","14,033","7,786","4,273","3,097"
ualad09:Thurrock,"62,353",253,"1,477","7,128","11,981","20,213","12,281","4,851","2,440","1,729"
ualad09:Cambridge,"46,714",970,"2,873","6,404","8,566","10,040","8,631","4,111","2,476","2,643"
ualad09:East Cambridgeshire,"34,614",74,492,"2,189","5,926","7,736","6,670","4,205","3,324","3,998"
ualad09:Fenland,"40,620",95,752,"3,018","7,463","10,450","8,420","4,539","2,916","2,967"
ualad09:Huntingdonshire,"69,333",167,"1,072","4,753","10,423","15,880","12,751","8,954","7,189","8,144"
ualad09:South Cambridgeshire,"59,960",161,887,"3,498","9,511","11,816","10,683","7,992","6,668","8,744"
ualad09:Basildon,"72,746",247,"1,841","7,625","13,311","20,706","13,672","7,339","4,354","3,651"
ualad09:Braintree,"61,043",187,996,"4,666","11,418","14,630","11,913","6,739","4,979","5,515"
ualad09:Brentwood,"30,646",120,786,"2,850","5,465","6,282","5,444","3,892","2,748","3,059"
ualad09:Castle Point,"36,440",65,488,"2,910","6,570","10,284","7,321","4,317","2,607","1,878"
ualad09:Chelmsford,"69,667",284,"1,671","6,399","10,691","15,080","13,990","9,143","6,177","6,232"
ualad09:Colchester,"71,634",490,"1,909","6,920","13,016","16,951","13,653","7,851","5,316","5,528"
ualad09:Epping Forest,"51,991",201,"1,179","5,411","9,661","12,176","9,320","5,636","3,811","4,596"
ualad09:Harlow,"34,620",202,"1,134","4,496","8,943","9,516","5,919","2,421","1,158",831
ualad09:Maldon,"25,817",40,371,"1,771","3,681","5,693","4,772","3,279","2,746","3,464"
ualad09:Rochford,"33,564",76,475,"2,419","5,018","8,600","7,301","4,658","2,746","2,271"
ualad09:Tendring,"62,105",232,"1,264","4,996","13,987","16,813","11,602","6,097","3,666","3,448"
ualad09:Uttlesford,"31,316",82,511,"1,933","4,498","5,817","5,361","4,043","3,441","5,630"
ualad09:Broxbourne,"37,658",174,"1,134","4,277","7,368","10,637","6,856","3,320","2,081","1,811"
ualad09:Dacorum,"59,938",174,"1,461","6,716","10,733","13,208","11,444","6,869","4,417","4,916"
ualad09:East Hertfordshire,"56,577",185,"1,565","5,530","10,017","11,556","9,903","6,755","4,937","6,129"
ualad09:Hertsmere,"39,778",190,966,"4,419","8,137","9,299","7,233","3,974","2,598","2,962"
ualad09:North Hertfordshire,"53,426",189,"1,229","5,601","9,135","12,278","10,426","5,631","4,091","4,846"
ualad09:St Albans,"56,140",293,"1,487","5,134","9,559","10,513","10,341","7,123","5,366","6,324"
ualad09:Stevenage,"34,898",182,"1,167","4,341","5,670","8,889","7,929","3,790","1,752","1,178"
ualad09:Three Rivers,"35,108",149,733,"3,385","6,187","7,548","6,739","3,836","2,741","3,790"
ualad09:Watford,"36,681",471,"2,130","5,352","7,009","8,017","7,326","3,157","1,795","1,424"
ualad09:Welwyn Hatfield,"43,613",208,"1,193","5,235","7,388","10,593","8,231","4,560","2,952","3,253"
ualad09:Breckland,"54,519",109,789,"3,092","9,251","14,476","10,550","6,368","4,519","5,365"
ualad09:Broadland,"53,336",55,335,"2,324","7,846","13,315","11,970","7,264","4,911","5,316"
ualad09:Great Yarmouth,"42,079",223,793,"3,743","8,197","11,674","8,619","4,097","2,477","2,256"
ualad09:King`s Lynn and West Norfolk,"62,977",181,"1,091","3,841","11,090","16,188","12,861","7,343","4,929","5,453"
ualad09:North Norfolk,"46,046",68,575,"2,758","8,568","10,969","9,658","5,417","3,683","4,350"
ualad09:Norwich,"60,319",442,"2,077","8,173","12,777","15,883","12,117","4,546","2,337","1,967"
ualad09:South Norfolk,"52,809",60,554,"2,448","8,062","12,118","10,761","7,158","5,272","6,376"
ualad09:Babergh,"37,522",61,480,"2,002","5,950","9,192","7,302","4,724","3,596","4,215"
ualad09:Forest Heath,"25,376",102,522,"2,028","6,173","6,706","4,473","2,450","1,546","1,376"
ualad09:Ipswich,"57,298",434,"2,040","6,698","9,161","15,951","14,011","4,802","2,305","1,896"
ualad09:Mid Suffolk,"40,306",46,450,"2,082","6,296","8,955","7,539","5,096","4,201","5,641"
ualad09:St Edmundsbury,"45,802",176,783,"3,263","7,373","11,852","9,290","5,216","3,703","4,146"
ualad09:Suffolk Coastal,"53,558",124,806,"3,120","8,403","11,736","10,413","7,140","5,340","6,476"
ualad09:Waveney,"50,883",119,827,"3,673","8,092","14,101","11,894","5,574","3,383","3,220"
ualad09:Camden,"97,534","6,116","12,241","23,651","24,696","15,362","6,636","3,151","2,299","3,382"
ualad09:City of London,"4,385",373,870,"1,357","1,086",366,175,86,38,34
ualad09:Hackney,"101,690","4,367","10,394","25,619","27,376","18,542","7,620","3,483","2,238","2,051"
ualad09:Hammersmith and Fulham,"80,590","3,651","7,336","19,981","20,696","13,113","7,365","3,805","2,304","2,339"
ualad09:Haringey,"101,955","4,393","8,230","21,306","25,680","18,187","11,183","5,688","3,733","3,555"
ualad09:Islington,"93,556","3,320","10,921","26,028","25,333","14,722","6,130","3,100","2,063","1,939"
ualad09:Kensington and Chelsea,"78,536","5,249","9,181","18,429","20,428","10,842","5,297","3,023","2,195","3,892"
ualad09:Lambeth,"130,017","4,043","10,779","29,451","36,545","24,163","12,038","5,809","3,665","3,524"
ualad09:Lewisham,"116,091","2,453","8,243","22,907","31,264","23,961","15,023","6,222","3,292","2,726"
ualad09:Newham,"101,519","2,201","7,405","21,103","24,740","24,801","13,165","4,696","2,131","1,277"
ualad09:Southwark,"120,422","3,373","10,624","31,167","34,008","22,174","9,709","4,287","2,582","2,498"
ualad09:Tower Hamlets,"101,257","2,761","11,303","27,608","31,026","18,024","6,546","2,180","1,022",787
ualad09:Wandsworth,"130,493","2,473","9,125","27,297","36,229","23,918","14,341","7,635","4,419","5,056"
ualad09:Westminster,"105,772","5,661","14,088","28,089","28,759","15,556","5,908","2,793","1,863","3,055"
ualad09:Barking and Dagenham,"69,681",629,"2,993","10,605","19,594","21,598","9,815","2,655","1,165",627
ualad09:Barnet,"135,916","3,047","6,846","17,983","32,470","24,959","21,046","12,762","8,281","8,522"
ualad09:Bexley,"92,604",441,"2,100","8,680","18,218","24,572","21,106","9,605","5,115","2,767"
ualad09:Brent,"110,286","4,209","7,971","20,095","26,158","20,102","16,593","7,706","4,311","3,141"
ualad09:Bromley,"130,862",893,"3,699","14,910","25,559","27,014","25,055","15,017","9,484","9,231"
ualad09:Croydon,"145,010","2,217","7,186","20,815","30,437","30,065","26,503","13,286","7,844","6,657"
ualad09:Ealing,"124,082","3,028","7,535","20,763","28,313","26,224","20,181","8,910","4,779","4,349"
ualad09:Enfield,"119,916","2,013","5,393","17,283","27,303","29,700","20,691","9,117","4,696","3,720"
ualad09:Greenwich,"101,045","1,387","5,686","17,856","25,058","24,788","15,262","5,913","2,831","2,264"
ualad09:Harrow,"84,268",992,"3,032","9,791","15,936","18,375","17,736","8,874","5,200","4,332"
ualad09:Havering,"97,199",391,"2,013","9,198","17,674","29,259","21,060","9,357","4,669","3,578"
ualad09:Hillingdon,"100,214","1,150","3,889","12,176","22,505","24,815","19,570","8,415","4,369","3,325"
ualad09:Hounslow,"94,902","1,804","5,463","15,822","23,361","21,472","15,041","6,240","3,173","2,526"
ualad09:Kingston upon Thames,"63,639",895,"2,894","7,808","13,928","12,498","11,918","6,685","3,697","3,316"
ualad09:Merton,"78,757",865,"3,873","11,362","17,384","17,768","14,892","6,218","3,144","3,251"
ualad09:Redbridge,"99,105","1,149","4,523","12,686","18,844","21,215","19,640","10,392","6,124","4,532"
ualad09:Richmond upon Thames,"79,835",890,"3,525","10,854","18,326","15,082","12,217","7,745","5,222","5,974"
ualad09:Sutton,"78,174",721,"2,790","10,466","18,520","16,618","13,890","7,051","4,280","3,838"
ualad09:Waltham Forest,"96,861","1,836","5,436","16,462","23,666","22,447","15,692","6,585","3,045","1,692"
ualad09:Bracknell Forest,"45,878",289,"1,066","4,529","8,511","9,057","8,855","5,434","3,927","4,210"
ualad09:Brighton and Hove,"121,540","3,140","8,599","22,948","29,960","23,102","16,927","8,519","4,581","3,764"
ualad09:Isle of Wight,"61,085",255,"1,537","5,321","12,223","15,215","12,513","6,559","3,808","3,654"
ualad09:Medway,"106,209",622,"2,740","8,775","16,846","31,420","25,779","10,797","5,283","3,947"
ualad09:Milton Keynes,"98,584",561,"3,205","10,320","17,760","25,158","16,914","9,736","7,165","7,765"
ualad09:Portsmouth,"85,473",842,"3,439","10,801","16,085","20,105","18,000","9,959","3,783","2,459"
ualad09:Reading,"62,869",837,"3,376","8,291","12,033","14,576","12,175","5,479","3,035","3,067"
ualad09:Slough,"50,766",802,"2,963","8,546","11,399","12,751","7,933","3,421","1,803","1,148"
ualad09:Southampton,"98,254","1,708","5,035","15,780","21,111","21,177","18,521","8,535","3,794","2,593"
ualad09:West Berkshire,"62,340",184,"1,325","4,927","9,809","12,994","11,751","7,520","5,796","8,034"
ualad09:Windsor and Maidenhead,"58,349",323,"1,347","5,676","9,611","12,240","10,079","6,776","5,032","7,265"
ualad09:Wokingham,"60,332",118,852,"3,732","8,046","11,291","10,899","8,827","7,609","8,958"
ualad09:Aylesbury Vale,"69,406",390,"1,393","5,564","11,907","14,718","12,712","8,311","6,242","8,169"
ualad09:Chiltern,"36,946",81,495,"2,129","5,438","6,356","6,438","4,740","4,328","6,941"
ualad09:South Bucks,"26,514",51,351,"2,124","4,063","4,803","4,437","2,890","2,400","5,395"
ualad09:Wycombe,"67,861",333,"1,942","6,613","10,166","14,721","13,737","7,944","5,657","6,748"
ualad09:Eastbourne,"45,012",677,"1,928","6,109","10,692","10,594","7,419","3,784","2,093","1,716"
ualad09:Hastings,"41,159",400,"1,707","6,390","9,523","9,661","6,364","3,387","2,025","1,702"
ualad09:Lewes,"42,181",215,964,"3,824","8,269","10,963","7,784","4,353","2,757","3,052"
ualad09:Rother,"40,877",196,795,"3,363","8,538","9,155","7,352","4,495","3,078","3,905"
ualad09:Wealden,"62,676",133,924,"3,925","10,382","14,150","11,163","7,686","6,041","8,272"
ualad09:Basingstoke and Deane,"69,315",302,"1,491","6,073","11,018","16,452","13,206","7,842","5,888","7,043"
ualad09:East Hampshire,"47,258",180,"1,022","3,386","7,040","9,646","8,345","6,001","4,799","6,839"
ualad09:Eastleigh,"52,177",157,966,"4,184","9,541","11,908","11,065","6,313","4,142","3,901"
ualad09:Fareham,"46,579",166,610,"3,079","6,068","11,034","10,444","6,706","4,316","4,156"
ualad09:Gosport,"35,430",121,808,"4,052","6,413","8,657","8,409","3,937","1,760","1,273"
ualad09:Hart,"35,510",76,552,"1,941","5,010","6,664","5,921","4,914","4,474","5,958"
ualad09:Havant,"51,311",178,"1,209","4,460","9,268","13,589","10,654","5,825","3,341","2,787"
ualad09:New Forest,"76,839",254,"1,404","5,250","12,789","18,540","15,966","9,720","6,453","6,463"
ualad09:Rushmoor,"36,344",186,"1,271","3,891","7,152","8,873","7,717","3,744","2,006","1,504"
ualad09:Test Valley,"47,626",127,661,"3,443","6,773","11,112","9,104","5,916","4,576","5,914"
ualad09:Winchester,"46,865",168,"1,003","3,983","7,588","8,449","8,106","5,957","4,628","6,983"
ualad09:Ashford,"47,787",101,814,"3,261","8,231","11,790","9,377","5,484","4,031","4,698"
ualad09:Canterbury,"60,771",294,"1,698","5,686","11,279","14,767","11,731","6,611","4,411","4,294"
ualad09:Dartford,"40,081",190,"1,335","5,025","7,799","10,417","8,287","3,664","1,917","1,447"
ualad09:Dover,"48,310",195,"1,134","3,988","9,767","13,196","9,651","4,608","2,865","2,906"
ualad09:Gravesham,"40,431",179,"1,058","4,499","6,281","11,530","8,960","4,067","2,155","1,702"
ualad09:Maidstone,"63,447",330,"1,517","5,246","11,284","14,617","12,869","7,699","4,774","5,111"
ualad09:Sevenoaks,"47,020",120,735,"3,857","7,087","10,715","8,663","5,503","4,163","6,177"
ualad09:Shepway,"47,379",372,"1,606","4,821","9,916","11,150","8,317","4,776","3,117","3,304"
ualad09:Swale,"55,585",167,"1,221","4,457","9,297","16,532","12,040","5,607","3,221","3,043"
ualad09:Thanet,"59,513",321,"1,948","7,435","12,838","14,853","10,463","5,443","3,142","3,070"
ualad09:Tonbridge and Malling,"48,140",103,767,"3,576","7,399","11,273","10,236","6,097","3,983","4,706"
ualad09:Tunbridge Wells,"47,174",377,"1,822","5,280","8,017","9,557","7,879","5,123","3,643","5,476"
ualad09:Cherwell,"56,728",223,"1,383","4,428","8,878","14,006","11,242","6,814","4,582","5,172"
ualad09:Oxford,"55,375",872,"2,840","7,126","11,021","11,982","10,740","5,383","2,824","2,587"
ualad09:South Oxfordshire,"54,104",147,875,"3,514","8,757","11,294","10,292","7,003","5,238","6,984"
ualad09:Vale of White Horse,"49,407",129,"1,044","3,626","7,167","10,082","9,498","6,562","5,000","6,299"
ualad09:West Oxfordshire,"43,241",108,840,"2,685","7,236","9,626","8,673","5,524","3,890","4,659"
ualad09:Elmbridge,"52,922",229,"1,316","4,692","8,968","9,047","8,755","6,094","4,872","8,949"
ualad09:Epsom and Ewell,"29,784",117,659,"2,551","5,156","5,987","6,187","4,014","2,622","2,491"
ualad09:Guildford,"53,973",325,"1,492","5,103","8,853","10,626","10,296","6,465","4,602","6,211"
ualad09:Mole Valley,"35,828",218,"1,162","3,542","5,586","6,327","5,899","4,450","3,461","5,183"
ualad09:Reigate and Banstead,"55,423",249,"1,273","5,238","10,235","10,845","10,708","6,532","4,459","5,884"
ualad09:Runnymede,"32,714",231,"1,137","3,785","5,920","6,911","6,151","3,612","2,405","2,562"
ualad09:Spelthorne,"39,512",321,"1,302","4,096","7,805","10,003","8,005","4,198","2,199","1,583"
ualad09:Surrey Heath,"33,546",67,640,"2,416","4,361","6,192","5,829","4,450","3,867","5,724"
ualad09:Tandridge,"33,342",83,719,"2,753","5,805","6,139","5,864","4,137","3,119","4,723"
ualad09:Waverley,"49,280",188,924,"4,162","7,514","9,055","8,552","6,188","4,990","7,707"
ualad09:Woking,"39,467",230,"1,315","4,459","6,857","8,208","6,509","4,033","3,229","4,627"
ualad09:Adur,"26,957",105,596,"2,699","5,742","7,920","5,644","2,444","1,089",718
ualad09:Arun,"66,706",492,"1,830","6,477","13,515","17,289","12,149","6,774","4,180","4,000"
ualad09:Chichester,"49,848",195,"1,004","4,090","8,829","11,009","9,310","5,667","4,119","5,625"
ualad09:Crawley,"42,727",286,"1,250","5,179","7,702","11,269","9,056","4,251","2,203","1,531"
ualad09:Horsham,"54,923",306,"1,256","4,676","8,833","10,988","10,038","6,730","5,212","6,884"
ualad09:Mid Sussex,"57,409",198,"1,458","5,147","9,328","12,488","10,614","7,305","5,036","5,835"
ualad09:Worthing,"47,044",685,"2,004","5,978","10,421","10,444","8,549","4,613","2,421","1,929"
ualad09:Bath and North East Somerset,"73,515",496,"2,090","7,362","11,970","15,646","14,666","8,972","5,845","6,468"
ualad09:Bournemouth,"82,374","2,092","5,006","12,103","21,508","14,428","12,575","7,163","4,032","3,467"
"ualad09:Bristol, City of","182,747","2,614","9,587","24,733","33,949","45,556","36,776","14,893","7,608","7,031"
ualad09:Cornwall,"230,389","1,075","5,384","17,822","42,847","57,636","44,933","26,556","17,223","16,913"
ualad09:Isles of Scilly,989,20,74,109,179,186,188,98,66,69
ualad09:North Somerset,"88,227",426,"1,887","7,295","16,047","18,072","16,886","11,503","7,979","8,132"
ualad09:Plymouth,"109,307",738,"3,731","13,680","22,669","27,203","22,014","10,143","5,046","4,083"
ualad09:Poole,"63,530",308,"1,244","6,339","13,917","15,694","11,712","6,676","4,110","3,530"
ualad09:South Gloucestershire,"107,538",275,"1,890","7,346","16,244","26,466","24,417","13,869","9,077","7,954"
ualad09:Swindon,"88,360",420,"2,466","8,736","16,412","22,540","17,650","9,323","5,862","4,951"
ualad09:Torbay,"59,010",593,"2,194","6,559","13,063","14,240","10,605","5,491","3,302","2,963"
ualad09:Wiltshire,"194,194",548,"3,334","12,081","32,860","42,363","38,169","24,310","18,095","22,434"
ualad09:East Devon,"59,071",153,856,"3,821","11,167","13,603","11,320","7,204","5,030","5,917"
ualad09:Exeter,"49,242",496,"1,950","5,969","9,851","11,781","9,470","4,930","2,540","2,255"
ualad09:Mid Devon,"32,758",99,579,"2,111","5,644","7,556","5,984","3,930","3,038","3,817"
ualad09:North Devon,"40,001",183,811,"3,391","6,892","9,545","7,731","4,689","3,069","3,690"
ualad09:South Hams,"36,858",107,612,"2,796","6,451","8,530","6,830","4,606","3,252","3,674"
ualad09:Teignbridge,"54,003",138,"1,234","4,268","10,608","12,783","10,008","6,181","4,157","4,626"
ualad09:Torridge,"27,986",71,483,"1,607","4,968","6,731","5,646","3,452","2,311","2,717"
ualad09:West Devon,"22,725",49,314,"1,527","3,712","4,982","4,188","2,857","2,237","2,859"
ualad09:Christchurch,"21,475",88,640,"1,791","4,381","5,595","4,530","2,321","1,254",875
ualad09:East Dorset,"37,564",89,463,"1,803","6,589","8,921","7,067","4,950","3,629","4,053"
ualad09:North Dorset,"28,670",76,549,"1,959","4,711","6,473","5,481","3,600","2,647","3,174"
ualad09:Purbeck,"19,583",43,327,"1,356","3,882","5,023","3,903","2,275","1,387","1,387"
ualad09:West Dorset,"44,386",124,647,"3,625","7,674","10,129","8,437","5,455","3,869","4,426"
ualad09:Weymouth and Portland,"28,535",128,762,"2,925","5,824","6,704","5,915","3,248","1,703","1,326"
ualad09:Cheltenham,"50,929",451,"1,903","5,830","10,230","10,745","9,246","5,445","3,420","3,659"
ualad09:Cotswold,"36,236",67,515,"2,513","5,593","7,717","6,772","4,505","3,458","5,096"
ualad09:Forest of Dean,"34,167",58,526,"2,062","5,204","8,217","7,064","4,529","3,111","3,396"
ualad09:Gloucester,"50,363",313,"1,619","4,758","9,253","12,714","10,184","5,671","3,311","2,540"
ualad09:Stroud,"47,794",121,782,"3,672","7,675","10,188","9,363","6,073","4,485","5,435"
ualad09:Tewkesbury,"35,126",82,565,"2,327","5,993","7,877","7,141","4,464","3,164","3,513"
ualad09:Mendip,"46,157",169,941,"3,623","7,666","10,138","9,029","5,868","3,981","4,742"
ualad09:Sedgemoor,"48,801",160,829,"3,433","7,969","11,054","10,097","6,239","4,251","4,769"
ualad09:South Somerset,"69,501",166,"1,278","4,934","11,598","16,577","13,950","8,459","6,063","6,476"
ualad09:Taunton Deane,"46,907",217,"1,050","4,032","8,234","10,211","9,364","5,497","3,917","4,385"
ualad09:West Somerset,"15,623",73,226,"1,111","2,873","3,592","3,091","1,869","1,248","1,540"
ualad09:Anglesey,"30,594",44,286,"1,522","4,677","7,771","6,938","4,060","2,595","2,701"
ualad09:Gwynedd,"52,473",187,799,"3,035","8,738","12,846","11,792","6,540","4,174","4,362"
ualad09:Conwy,"51,177",155,797,"4,294","10,061","11,511","10,568","5,933","3,824","4,034"
ualad09:Denbighshire,"40,546",103,615,"2,709","7,992","9,672","8,306","4,745","3,157","3,247"
