2011 census qs405ew - tenure - households,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,
,,,,,,,,,,,,,,
population,All households,,,,,,,,,,,,,
units,Households,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Area,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household,Private rented: Other,Living rent free
ualad09:Rochdale,"87,552","54,149","24,334","29,815",340,"20,247","13,671","6,576","11,556","10,511",51,864,130,"1,260"
ualad09:Salford,"103,556","52,126","22,603","29,523",508,"29,819","18,461","11,358","19,420","18,224",81,872,243,"1,683"
ualad09:Stockport,"121,979","89,316","42,761","46,555",987,"16,620","10,577","6,043","13,852","12,631",80,"1,001",140,"1,204"
ualad09:Tameside,"94,953","60,558","26,688","33,870",309,"20,438","4,953","15,485","12,573","11,345",63,960,205,"1,075"
ualad09:Trafford,"94,484","65,440","30,322","35,118",570,"15,485","4,373","11,112","12,001","11,173",52,656,120,988
ualad09:Wigan,"136,386","92,559","42,446","50,113",331,"25,803","22,152","3,651","15,875","14,550",61,"1,139",125,"1,818"
ualad09:Burnley,"37,550","24,408","11,815","12,593",79,"5,281","1,418","3,863","7,267","6,664",34,493,76,515
ualad09:Chorley,"44,919","33,783","15,906","17,877",283,"5,843","1,376","4,467","4,587","4,066",32,414,75,423
ualad09:Fylde,"34,885","25,622","14,214","11,408",135,"2,607",499,"2,108","6,066","5,411",127,417,111,455
ualad09:Hyndburn,"34,341","23,238","11,464","11,774",84,"4,389","1,367","3,022","6,235","5,711",13,463,48,395
ualad09:Lancaster,"57,822","39,999","20,890","19,109",367,"5,762","3,629","2,133","10,929","9,915",87,796,131,765
ualad09:Pendle,"37,348","25,580","13,435","12,145",73,"4,333","2,104","2,229","6,760","6,192",29,486,53,602
ualad09:Preston,"57,567","34,909","16,355","18,554",397,"11,061","2,259","8,802","10,365","9,540",84,598,143,835
ualad09:Ribble Valley,"24,045","18,423","10,086","8,337",145,"1,836",365,"1,471","3,278","2,830",109,274,65,363
ualad09:Rossendale,"29,058","20,250","9,160","11,090",87,"4,244","1,416","2,828","4,106","3,683",20,361,42,371
ualad09:South Ribble,"46,102","36,337","17,189","19,148",215,"4,845",353,"4,492","4,308","3,845",43,369,51,397
ualad09:West Lancashire,"45,381","33,122","16,272","16,850",271,"6,656","5,711",945,"4,744","4,263",48,371,62,588
ualad09:Wyre,"47,281","36,676","20,423","16,253",246,"3,401",522,"2,879","6,397","5,791",71,475,60,561
ualad09:Knowsley,"61,323","37,896","16,032","21,864",314,"16,333","7,479","8,854","5,980","5,488",17,405,70,800
ualad09:Liverpool,"206,515","96,947","43,803","53,144","1,096","57,485","9,868","47,617","48,290","44,912",194,"1,879","1,305","2,697"
ualad09:Sefton,"117,930","83,137","42,334","40,803",664,"17,063","4,911","12,152","15,804","14,552",86,"1,019",147,"1,262"
ualad09:St. Helens,"75,736","50,952","25,215","25,737",427,"15,597","4,590","11,007","7,736","7,056",35,535,110,"1,024"
ualad09:Wirral,"140,583","94,843","46,806","48,037",713,"21,329","7,266","14,063","22,275","20,636",82,"1,351",206,"1,423"
ualad09:East Riding of Yorkshire,"143,032","107,706","56,140","51,566",433,"13,028","10,453","2,575","19,648","17,760",298,"1,336",254,"2,217"
"ualad09:Kingston upon Hull, City of","112,596","55,785","22,355","33,430",505,"31,634","23,838","7,796","22,984","21,414",63,"1,125",382,"1,688"
ualad09:North East Lincolnshire,"69,707","46,070","21,497","24,573",213,"10,091","3,293","6,798","12,627","11,594",106,792,135,706
ualad09:North Lincolnshire,"70,684","49,137","23,355","25,782",179,"10,895","4,852","6,043","9,477","8,493",169,692,123,996
ualad09:York,"83,552","55,227","28,351","26,876",631,"11,679","7,381","4,298","14,980","13,687",245,753,295,"1,035"
ualad09:Craven,"24,583","17,973","10,396","7,577",116,"2,212",558,"1,654","3,782","3,360",89,261,72,500
ualad09:Hambleton,"38,117","26,508","15,135","11,373",156,"4,923",372,"4,551","5,770","4,622",546,340,262,760
ualad09:Harrogate,"67,169","47,738","25,118","22,620",395,"6,138","3,608","2,530","11,771","10,394",438,638,301,"1,127"
ualad09:Richmondshire,"20,207","12,910","7,295","5,615",104,"2,183","1,451",732,"4,519","2,877",810,240,592,491
ualad09:Ryedale,"22,524","15,124","9,329","5,795",83,"2,896",213,"2,683","3,773","3,321",163,216,73,648
ualad09:Scarborough,"49,435","32,520","19,323","13,197",302,"6,134","1,163","4,971","9,640","8,812",108,559,161,839
ualad09:Selby,"34,559","25,911","11,929","13,982",201,"4,161","2,902","1,259","3,796","3,400",78,269,49,490
ualad09:Barnsley,"100,734","64,807","30,778","34,029",445,"21,032","17,831","3,201","12,856","11,812",76,837,131,"1,594"
ualad09:Doncaster,"126,487","82,760","39,253","43,507",418,"22,403","19,173","3,230","18,774","17,084",159,"1,371",160,"2,132"
ualad09:Rotherham,"108,293","70,610","33,031","37,579",309,"23,289","19,436","3,853","12,262","11,153",74,880,155,"1,823"
ualad09:Sheffield,"229,928","134,127","62,329","71,798",881,"56,917","40,725","16,192","35,760","32,605",213,"2,081",861,"2,243"
ualad09:Bradford,"199,296","129,550","58,487","71,063","1,165","29,513","11,729","17,784","36,070","33,135",162,"2,273",500,"2,998"
ualad09:Calderdale,"88,621","58,981","27,671","31,310",397,"13,494","4,753","8,741","14,545","13,114",98,"1,141",192,"1,204"
ualad09:Kirklees,"173,525","116,361","55,569","60,792",612,"26,525","20,886","5,639","26,941","24,523",156,"1,971",291,"3,086"
ualad09:Leeds,"320,596","186,467","83,385","103,082","1,442","70,377","54,122","16,255","57,456","53,599",265,"2,901",691,"4,854"
ualad09:Wakefield,"140,414","89,291","40,766","48,525",650,"33,129","24,136","8,993","16,017","14,383",122,"1,281",231,"1,327"
ualad09:Derby,"102,271","62,765","30,239","32,526",864,"20,250","12,458","7,792","17,193","15,943",75,982,193,"1,199"
ualad09:Leicester,"123,125","61,170","28,018","33,152",774,"31,270","21,048","10,222","27,999","26,207",198,"1,173",421,"1,912"
ualad09:Nottingham,"126,131","56,867","25,152","31,715",786,"37,486","26,176","11,310","29,098","27,300",136,"1,303",359,"1,894"
ualad09:Rutland,"15,002","10,556","5,889","4,667",160,"1,685",369,"1,316","2,333","1,741",301,122,169,268
ualad09:Amber Valley,"52,596","38,974","20,106","18,868",216,"6,484","2,708","3,776","6,200","5,618",51,441,90,722
ualad09:Bolsover,"32,801","21,963","10,691","11,272",92,"5,965","4,922","1,043","4,276","3,871",27,344,34,505
ualad09:Chesterfield,"46,796","29,547","15,065","14,482",156,"10,832","9,385","1,447","5,813","5,291",38,411,73,448
ualad09:Derbyshire Dales,"30,744","22,269","13,513","8,756",229,"3,736","1,330","2,406","3,860","3,423",86,276,75,650
ualad09:Erewash,"48,692","35,290","16,506","18,784",242,"6,335","1,978","4,357","6,265","5,762",31,398,74,560
ualad09:High Peak,"38,946","28,059","13,693","14,366",229,"4,945","3,836","1,109","5,231","4,706",37,414,74,482
ualad09:North East Derbyshire,"43,070","30,531","16,471","14,060",168,"8,781","7,817",964,"3,183","2,800",33,292,58,407
ualad09:South Derbyshire,"38,992","29,416","13,237","16,179",131,"3,877","2,984",893,"5,087","4,603",91,344,49,481
ualad09:Blaby,"38,686","31,309","14,745","16,564",247,"2,948",721,"2,227","3,876","3,471",38,325,42,306
ualad09:Charnwood,"66,516","47,961","23,729","24,232",539,"7,851","5,306","2,545","9,396","8,590",102,590,114,769
ualad09:Harborough,"34,898","27,238","13,389","13,849",414,"2,923",481,"2,442","3,922","3,540",57,274,51,401
ualad09:Hinckley and Bosworth,"45,377","34,826","16,859","17,967",267,"4,685","3,238","1,447","5,156","4,657",65,364,70,443
ualad09:Melton,"21,490","15,498","7,728","7,770",198,"2,402","1,814",588,"3,054","2,738",76,183,57,338
ualad09:North West Leicestershire,"39,128","28,360","13,581","14,779",302,"5,598","4,181","1,417","4,411","3,997",35,336,43,457
ualad09:Oadby and Wigston,"21,339","17,239","9,069","8,170",161,"1,610","1,147",463,"2,117","1,922",17,153,25,212
ualad09:Boston,"27,291","17,430","9,243","8,187",230,"4,965","1,671","3,294","4,291","3,908",85,220,78,375
ualad09:East Lindsey,"60,890","42,137","25,826","16,311",482,"6,705","1,605","5,100","10,554","9,334",377,657,186,"1,012"
ualad09:Lincoln,"39,825","21,932","9,717","12,215",220,"8,729","7,381","1,348","8,345","7,709",48,524,64,599
ualad09:North Kesteven,"45,972","34,187","17,115","17,072",221,"4,694","3,693","1,001","6,184","4,906",602,400,276,686
ualad09:South Holland,"37,264","27,035","14,623","12,412",260,"4,728","3,828",900,"4,714","4,173",159,308,74,527
ualad09:South Kesteven,"57,344","39,809","19,258","20,551",502,"7,701","5,949","1,752","8,389","7,653",133,496,107,943
ualad09:West Lindsey,"38,385","27,859","14,672","13,187",365,"4,246",911,"3,335","5,253","4,594",216,336,107,662
ualad09:Corby,"25,215","15,669","5,917","9,752",94,"5,278","4,463",815,"3,839","3,582",17,210,30,335
ualad09:Daventry,"31,647","22,688","10,533","12,155",271,"4,412","1,282","3,130","3,832","3,471",63,243,55,444
ualad09:East Northamptonshire,"35,662","25,837","11,419","14,418",175,"4,737",805,"3,932","4,471","4,032",96,304,39,442
ualad09:Kettering,"39,701","27,562","12,070","15,492",342,"5,187","3,506","1,681","6,048","5,533",53,418,44,562
ualad09:Northampton,"88,731","55,622","22,307","33,315","1,134","15,113","11,319","3,794","15,817","14,657",72,951,137,"1,045"
ualad09:South Northamptonshire,"34,717","26,485","12,029","14,456",357,"3,505",901,"2,604","3,840","3,439",84,246,71,530
ualad09:Wellingborough,"32,057","21,286","9,584","11,702",315,"5,676","1,720","3,956","4,360","3,965",37,300,58,420
ualad09:Ashfield,"50,931","35,261","16,952","18,309",235,"8,258","6,460","1,798","6,504","5,908",31,501,64,673
ualad09:Bassetlaw,"47,667","33,115","16,295","16,820",172,"7,579","6,152","1,427","5,975","5,362",111,411,91,826
ualad09:Broxtowe,"46,820","34,270","17,351","16,919",168,"5,218","4,192","1,026","6,594","5,902",143,435,114,570
ualad09:Gedling,"49,349","37,138","18,603","18,535",271,"4,926","1,961","2,965","6,488","5,850",46,517,75,526
ualad09:Mansfield,"44,928","29,908","14,658","15,250",169,"8,199","6,208","1,991","6,115","5,616",23,425,51,537
ualad09:Newark and Sherwood,"48,773","34,455","17,399","17,056",253,"7,050","5,087","1,963","6,278","5,648",87,462,81,737
ualad09:Rushcliffe,"45,835","35,142","17,973","17,169",333,"3,854","1,056","2,798","6,082","5,595",45,357,85,424
"ualad09:Herefordshire, County of","78,319","53,014","30,867","22,147",770,"10,903","2,692","8,211","12,147","10,680",468,738,261,"1,485"
ualad09:Shropshire,"129,674","89,688","49,998","39,690",830,"17,448","6,458","10,990","19,421","17,013",777,"1,203",428,"2,287"
ualad09:Stoke-on-Trent,"107,575","63,928","30,628","33,300",419,"25,999","19,712","6,287","15,440","14,176",84,938,242,"1,789"
ualad09:Telford and Wrekin,"66,608","42,417","18,106","24,311",292,"13,106","5,409","7,697","9,979","9,055",164,602,158,814
ualad09:Cannock Chase,"40,664","28,106","12,388","15,718",248,"6,880","5,291","1,589","4,938","4,509",37,351,41,492
ualad09:East Staffordshire,"47,251","32,879","16,574","16,305",260,"6,367","1,984","4,383","7,152","6,519",94,452,87,593
ualad09:Lichfield,"41,224","31,155","15,948","15,207",242,"5,446",648,"4,798","3,932","3,475",101,275,81,449
ualad09:Newcastle-under-Lyme,"52,574","36,332","18,495","17,837",226,"9,840","3,399","6,441","5,511","4,932",49,410,120,665
ualad09:South Staffordshire,"44,458","33,669","17,809","15,860",249,"6,193",646,"5,547","3,772","3,371",76,265,60,575
ualad09:Stafford,"55,703","39,880","20,259","19,621",279,"7,618","2,420","5,198","7,206","6,239",193,466,308,720
ualad09:Staffordshire Moorlands,"41,772","33,288","18,413","14,875",127,"3,699","1,343","2,356","4,103","3,595",46,399,63,555
ualad09:Tamworth,"31,617","21,575","8,790","12,785",158,"6,108","4,482","1,626","3,476","3,157",14,272,33,300
ualad09:North Warwickshire,"25,812","18,686","9,007","9,679",176,"3,719","2,687","1,032","2,913","2,635",34,198,46,318
ualad09:Nuneaton and Bedworth,"52,711","37,617","17,545","20,072",270,"7,633","5,785","1,848","6,683","6,041",52,522,68,508
ualad09:Rugby,"41,875","29,086","13,772","15,314",403,"5,993","3,860","2,133","5,903","5,281",174,311,137,490
ualad09:Stratford-on-Avon,"51,928","37,304","20,315","16,989",561,"6,713",594,"6,119","6,596","5,885",191,375,145,754
ualad09:Warwick,"58,679","39,111","19,157","19,954",510,"7,866","5,337","2,529","10,513","9,786",134,475,118,679
ualad09:Birmingham,"410,736","226,616","106,416","120,200","3,940","99,592","63,458","36,134","73,405","68,647",366,"3,398",994,"7,183"
ualad09:Coventry,"128,592","77,880","37,644","40,236",750,"21,914","6,988","14,926","26,503","24,461",118,"1,371",553,"1,545"
ualad09:Dudley,"129,867","89,304","45,383","43,921",707,"25,719","21,874","3,845","12,004","10,938",105,818,143,"2,133"
ualad09:Sandwell,"121,498","69,135","32,253","36,882",701,"33,439","27,587","5,852","15,674","14,583",88,822,181,"2,549"
ualad09:Solihull,"86,056","63,559","32,227","31,332",527,"12,834","10,199","2,635","8,502","7,795",63,559,85,634
ualad09:Walsall,"107,822","67,265","33,516","33,749",601,"25,967","10,774","15,193","12,569","11,533",65,770,201,"1,420"
ualad09:Wolverhampton,"102,177","57,812","29,416","28,396",419,"28,648","22,796","5,852","13,455","12,517",79,666,193,"1,843"
ualad09:Bromsgrove,"38,290","30,436","15,554","14,882",248,"3,819","1,139","2,680","3,370","3,035",58,237,40,417
ualad09:Malvern Hills,"32,212","23,146","13,680","9,466",263,"4,547",558,"3,989","3,720","3,339",67,263,51,536
ualad09:Redditch,"34,722","22,796","9,204","13,592",134,"7,351","5,703","1,648","4,059","3,700",31,299,29,382
ualad09:Worcester,"42,042","27,077","12,181","14,896",436,"6,438","2,356","4,082","7,645","7,093",40,432,80,446
ualad09:Wychavon,"49,466","35,973","19,158","16,815",225,"7,166",771,"6,395","5,419","4,843",138,352,86,683
ualad09:Wyre Forest,"42,985","30,360","16,196","14,164",259,"6,205","2,885","3,320","5,660","5,155",46,409,50,501
ualad09:Bedford,"63,812","41,937","20,018","21,919",665,"10,252","1,155","9,097","10,110","9,310",114,514,172,848
ualad09:Central Bedfordshire,"104,399","75,743","33,039","42,704",874,"13,981","5,464","8,517","12,612","10,973",459,756,424,"1,189"
ualad09:Luton,"74,293","44,696","18,619","26,077",288,"11,715","7,973","3,742","16,816","15,802",70,726,218,778
ualad09:Peterborough,"74,023","43,877","19,134","24,743",689,"14,434","4,751","9,683","14,168","12,855",288,699,326,855
ualad09:Southend-on-Sea,"74,678","48,666","22,960","25,706",306,"8,597","5,079","3,518","16,439","15,472",100,754,113,670
ualad09:Thurrock,"62,353","41,278","15,899","25,379",302,"11,503","10,055","1,448","8,772","8,220",51,443,58,498
ualad09:Cambridge,"46,714","22,171","11,639","10,532",526,"11,023","7,109","3,914","12,258","11,170",281,394,413,736
ualad09:East Cambridgeshire,"34,614","23,719","11,145","12,574",506,"4,944",457,"4,487","4,576","4,144",100,273,59,869
ualad09:Fenland,"40,620","28,436","14,490","13,946",205,"5,054",895,"4,159","6,341","5,802",55,414,70,584
ualad09:Huntingdonshire,"69,333","49,398","22,171","27,227",508,"8,939","1,811","7,128","9,770","8,636",311,593,230,718
ualad09:South Cambridgeshire,"59,960","42,129","20,759","21,370","1,258","8,546","5,464","3,082","7,174","6,213",362,350,249,853
ualad09:Basildon,"72,746","47,972","21,037","26,935",720,"15,976","10,309","5,667","7,448","6,825",65,459,99,630
ualad09:Braintree,"61,043","41,872","18,609","23,263",362,"10,055","2,378","7,677","8,083","7,332",148,485,118,671
ualad09:Brentwood,"30,646","23,028","11,634","11,394",194,"3,586","2,703",883,"3,452","3,148",65,184,55,386
ualad09:Castle Point,"36,440","30,101","15,691","14,410",103,"1,949","1,453",496,"3,968","3,584",14,311,59,319
ualad09:Chelmsford,"69,667","50,978","23,696","27,282",450,"9,120","1,456","7,664","8,349","7,621",111,505,112,770
ualad09:Colchester,"71,634","47,507","22,840","24,667",325,"9,669","5,894","3,775","13,390","11,689",505,711,485,743
ualad09:Epping Forest,"51,991","37,565","18,070","19,495",206,"7,803","6,208","1,595","5,742","5,307",93,282,60,675
ualad09:Harlow,"34,620","19,429","7,351","12,078",326,"10,808","9,327","1,481","3,756","3,474",21,227,34,301
ualad09:Maldon,"25,817","20,251","10,314","9,937",97,"2,685",157,"2,528","2,493","2,208",45,206,34,291
ualad09:Rochford,"33,564","27,822","13,927","13,895",79,"2,547",406,"2,141","2,844","2,535",31,220,58,272
ualad09:Tendring,"62,105","45,752","27,696","18,056",238,"5,243","2,988","2,255","10,064","9,210",88,664,102,808
ualad09:Uttlesford,"31,316","22,425","10,668","11,757",321,"3,961","2,660","1,301","4,108","3,608",169,220,111,501
ualad09:Broxbourne,"37,658","27,460","12,262","15,198",418,"5,297","1,106","4,191","4,199","3,934",24,211,30,284
ualad09:Dacorum,"59,938","38,877","17,458","21,419",373,"13,045","10,407","2,638","7,107","6,516",129,386,76,536
ualad09:East Hertfordshire,"56,577","40,665","18,186","22,479",508,"7,185","1,129","6,056","7,446","6,906",131,322,87,773
ualad09:Hertsmere,"39,778","26,897","12,489","14,408",471,"6,932",756,"6,176","4,981","4,500",161,208,112,497
ualad09:North Hertfordshire,"53,426","35,072","16,201","18,871",472,"10,304","3,774","6,530","6,993","6,460",97,324,112,585
ualad09:St Albans,"56,140","40,831","19,409","21,422",261,"6,832","4,753","2,079","7,624","7,065",131,315,113,592
ualad09:Stevenage,"34,898","20,339","7,736","12,603",422,"9,902","7,964","1,938","3,980","3,630",16,309,25,255
ualad09:Three Rivers,"35,108","25,532","11,988","13,544",194,"5,318","1,680","3,638","3,708","3,253",167,210,78,356
ualad09:Watford,"36,681","22,608","8,954","13,654",426,"5,987","1,469","4,518","7,371","6,930",68,305,68,289
ualad09:Welwyn Hatfield,"43,613","24,995","11,561","13,434",395,"11,741","8,693","3,048","5,911","5,532",80,214,85,571
ualad09:Breckland,"54,519","37,427","20,167","17,260",310,"7,511","1,287","6,224","8,294","7,306",297,546,145,977
ualad09:Broadland,"53,336","42,343","23,080","19,263",304,"4,567",480,"4,087","5,519","4,860",117,466,76,603
ualad09:Great Yarmouth,"42,079","27,073","15,024","12,049",146,"7,255","5,824","1,431","6,926","6,280",117,427,102,679
ualad09:King`s Lynn and West Norfolk,"62,977","43,707","24,908","18,799",275,"8,393","1,946","6,447","9,278","7,832",535,581,330,"1,324"
ualad09:North Norfolk,"46,046","32,293","21,083","11,210",199,"5,904","1,123","4,781","6,664","5,997",151,433,83,986
ualad09:Norwich,"60,319","26,442","12,463","13,979",433,"19,702","15,222","4,480","13,089","12,122",69,784,114,653
ualad09:South Norfolk,"52,809","39,555","21,563","17,992",537,"5,965","1,440","4,525","5,916","5,278",106,468,64,836
ualad09:Babergh,"37,522","26,981","14,861","12,120",178,"4,912","3,343","1,569","4,714","4,022",249,320,123,737
ualad09:Forest Heath,"25,376","14,174","6,907","7,267",354,"3,739","1,357","2,382","6,195","5,532",268,246,149,914
ualad09:Ipswich,"57,298","32,467","14,723","17,744",368,"12,371","8,138","4,233","11,421","10,742",78,493,108,671
ualad09:Mid Suffolk,"40,306","30,262","15,876","14,386",343,"4,544","3,280","1,264","4,515","3,804",274,304,133,642
ualad09:St Edmundsbury,"45,802","30,626","15,437","15,189",376,"7,321","2,808","4,513","6,798","5,892",315,375,216,681
ualad09:Suffolk Coastal,"53,558","39,193","22,774","16,419",234,"6,066",521,"5,545","7,267","6,487",261,384,135,798
ualad09:Waveney,"50,883","35,290","20,503","14,787",215,"7,148","4,234","2,914","7,578","6,920",89,511,58,652
ualad09:Camden,"97,534","31,368","16,644","14,724",674,"32,295","22,473","9,822","31,434","29,706",282,981,465,"1,763"
ualad09:City of London,"4,385","1,855","1,093",762,13,725,458,267,"1,573","1,451",16,61,45,219
ualad09:Hackney,"101,690","24,179","8,597","15,582","2,374","44,430","24,163","20,267","29,449","28,112",79,947,311,"1,258"
ualad09:Hammersmith and Fulham,"80,590","27,397","12,777","14,620","1,257","25,133","12,683","12,450","25,555","24,215",132,949,259,"1,248"
ualad09:Haringey,"101,955","39,603","16,326","23,277","1,533","27,242","17,288","9,954","32,095","30,924",109,737,325,"1,482"
ualad09:Islington,"93,556","26,564","10,587","15,977","1,207","39,342","25,014","14,328","25,217","23,954",99,852,312,"1,226"
ualad09:Kensington and Chelsea,"78,536","28,007","17,933","10,074",700,"19,271","7,201","12,070","28,108","26,676",318,724,390,"2,450"
ualad09:Lambeth,"130,017","42,885","14,778","28,107","1,987","45,619","25,496","20,123","38,133","36,023",248,"1,389",473,"1,393"
ualad09:Lewisham,"116,091","49,228","17,273","31,955","1,436","36,052","18,084","17,968","28,216","26,665",89,"1,139",323,"1,159"
ualad09:Newham,"101,519","33,822","12,993","20,829","1,806","30,092","18,592","11,500","34,570","33,118",98,871,483,"1,229"
ualad09:Southwark,"120,422","35,330","11,805","23,525","2,453","52,644","37,628","15,016","28,493","26,752",212,"1,132",397,"1,502"
ualad09:Tower Hamlets,"101,257","24,552","8,648","15,904","2,383","40,106","17,548","22,558","32,964","31,227",151,965,621,"1,252"
ualad09:Wandsworth,"130,493","59,393","24,067","35,326","1,911","26,516","16,752","9,764","41,317","39,171",284,"1,536",326,"1,356"
ualad09:Westminster,"105,772","32,287","18,692","13,595",885,"27,348","12,543","14,805","41,949","39,732",474,"1,071",672,"3,303"
ualad09:Barking and Dagenham,"69,681","32,324","11,908","20,416",906,"23,459","19,782","3,677","12,328","11,559",39,555,175,664
ualad09:Barnet,"135,916","78,350","38,105","40,245","1,191","19,334","11,664","7,670","34,854","33,175",240,"1,073",366,"2,187"
ualad09:Bexley,"92,604","67,154","30,127","37,027",754,"13,377","1,693","11,684","10,556","9,721",42,688,105,763
ualad09:Brent,"110,286","47,324","22,416","24,908","1,636","26,591","10,686","15,905","33,181","31,784",126,855,416,"1,554"
ualad09:Bromley,"130,862","92,785","43,649","49,136","1,036","18,425","1,987","16,438","17,393","16,229",163,826,175,"1,223"
ualad09:Croydon,"145,010","85,230","34,882","50,348","1,855","25,887","14,362","11,525","30,472","28,762",181,"1,212",317,"1,566"
ualad09:Ealing,"124,082","63,420","28,414","35,006","2,174","22,472","13,007","9,465","34,182","32,696",143,989,354,"1,834"
ualad09:Enfield,"119,916","69,462","31,452","38,010","1,087","21,073","13,666","7,407","26,591","25,395",128,785,283,"1,703"
ualad09:Greenwich,"101,045","43,719","16,585","27,134","1,580","34,662","22,878","11,784","20,004","18,678",217,772,337,"1,080"
ualad09:Harrow,"84,268","55,001","26,246","28,755",821,"8,923","5,157","3,766","18,324","17,165",210,681,268,"1,199"
ualad09:Havering,"97,199","71,698","34,625","37,073",586,"13,799","10,464","3,335","10,337","9,601",60,586,90,779
ualad09:Hillingdon,"100,214","63,011","27,921","35,090","1,280","16,752","10,481","6,271","18,141","16,691",433,642,375,"1,030"
ualad09:Hounslow,"94,902","47,562","20,048","27,514","2,245","21,682","14,296","7,386","22,206","21,099",127,718,262,"1,207"
ualad09:Kingston upon Thames,"63,639","40,762","17,727","23,035",434,"7,502","5,252","2,250","14,312","13,391",172,525,224,629
ualad09:Merton,"78,757","46,689","20,160","26,529",671,"11,102","2,887","8,215","19,503","18,478",97,749,179,792
ualad09:Redbridge,"99,105","62,983","27,911","35,072","1,003","11,289","6,269","5,020","22,657","21,441",85,915,216,"1,173"
ualad09:Richmond upon Thames,"79,835","50,750","23,756","26,994",601,"10,051","2,451","7,600","17,440","16,410",176,643,211,993
ualad09:Sutton,"78,174","53,152","22,357","30,795",611,"11,422","6,421","5,001","12,429","11,671",76,589,93,560
ualad09:Waltham Forest,"96,861","48,361","19,396","28,965","1,018","21,376","10,401","10,975","25,102","23,919",104,780,299,"1,004"
ualad09:Bracknell Forest,"45,878","31,419","11,420","19,999",527,"7,678","2,600","5,078","5,734","4,874",298,384,178,520
ualad09:Brighton and Hove,"121,540","64,790","28,397","36,393","1,045","18,187","11,928","6,259","35,959","34,081",131,"1,521",226,"1,559"
ualad09:Isle of Wight,"61,085","42,817","25,091","17,726",362,"6,523",598,"5,925","10,639","9,663",94,782,100,744
ualad09:Medway,"106,209","71,853","30,697","41,156","1,114","13,996","4,155","9,841","18,153","16,627",287,913,326,"1,093"
ualad09:Milton Keynes,"98,584","56,913","21,157","35,756","5,985","17,763","10,801","6,962","17,066","15,930",101,875,160,857
ualad09:Portsmouth,"85,473","46,897","20,616","26,281",825,"15,611","10,001","5,610","21,098","19,044",509,"1,135",410,"1,042"
ualad09:Reading,"62,869","34,479","14,222","20,257","1,130","10,242","6,322","3,920","16,394","15,517",91,605,181,624
ualad09:Slough,"50,766","26,755","9,502","17,253",686,"10,476","6,656","3,820","12,348","11,713",73,445,117,501
ualad09:Southampton,"98,254","48,873","21,286","27,587","1,013","22,867","16,633","6,234","24,449","23,007",87,"1,050",305,"1,052"
ualad09:West Berkshire,"62,340","43,435","19,455","23,980",695,"8,628",575,"8,053","8,555","7,457",457,428,213,"1,027"
ualad09:Windsor and Maidenhead,"58,349","39,676","19,013","20,663",358,"7,748",711,"7,037","9,432","8,099",580,375,378,"1,135"
ualad09:Wokingham,"60,332","48,103","21,461","26,642",679,"4,236","2,845","1,391","6,755","6,001",248,363,143,559
ualad09:Aylesbury Vale,"69,406","49,702","21,607","28,095",600,"8,982","2,333","6,649","9,234","8,096",361,539,238,888
ualad09:Chiltern,"36,946","28,418","15,191","13,227",257,"4,573",657,"3,916","3,314","3,039",88,140,47,384
ualad09:South Bucks,"26,514","19,453","10,099","9,354",402,"3,266",261,"3,005","3,011","2,653",140,134,84,382
ualad09:Wycombe,"67,861","47,279","21,887","25,392",687,"8,650","5,792","2,858","10,316","8,900",567,480,369,929
ualad09:Eastbourne,"45,012","27,788","15,071","12,717",295,"5,953","3,348","2,605","10,494","9,747",160,465,122,482
ualad09:Hastings,"41,159","22,706","11,071","11,635",193,"5,988",763,"5,225","11,863","11,191",72,499,101,409
ualad09:Lewes,"42,181","30,648","16,797","13,851",285,"4,609","3,196","1,413","6,108","5,557",78,406,67,531
ualad09:Rother,"40,877","30,060","18,554","11,506",219,"4,242",712,"3,530","5,742","5,190",120,360,72,614
ualad09:Wealden,"62,676","49,355","26,483","22,872",503,"4,808","2,956","1,852","6,973","6,214",122,540,97,"1,037"
ualad09:Basingstoke and Deane,"69,315","46,936","19,517","27,419",958,"12,346",540,"11,806","8,172","7,473",165,460,74,903
ualad09:East Hampshire,"47,258","34,919","17,520","17,399",431,"5,681",742,"4,939","5,517","4,636",337,349,195,710
ualad09:Eastleigh,"52,177","38,362","17,228","21,134",552,"6,411",573,"5,838","6,438","5,864",42,479,53,414
ualad09:Fareham,"46,579","37,460","18,279","19,181",277,"3,785","2,370","1,415","4,645","3,906",228,368,143,412
ualad09:Gosport,"35,430","23,115","10,413","12,702",381,"5,815","3,297","2,518","5,777","4,506",568,382,321,342
ualad09:Hart,"35,510","27,747","12,610","15,137",406,"2,718",215,"2,503","4,286","3,380",446,202,258,353
ualad09:Havant,"51,311","35,387","18,169","17,218",281,"10,037","5,300","4,737","5,087","4,510",68,436,73,519
ualad09:New Forest,"76,839","57,603","33,430","24,173",484,"8,440","5,185","3,255","9,293","8,153",330,617,193,"1,019"
