2011 census qs405ew - tenure - households,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,
,,,,,,,,,,,,,,
population,All households,,,,,,,,,,,,,
units,Households,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Area,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household,Private rented: Other,Living rent free
uacounty09:Sheffield,"229,928","134,127","62,329","71,798",881,"56,917","40,725","16,192","35,760","32,605",213,"2,081",861,"2,243"
uacounty09:Bradford,"199,296","129,550","58,487","71,063","1,165","29,513","11,729","17,784","36,070","33,135",162,"2,273",500,"2,998"
uacounty09:Calderdale,"88,621","58,981","27,671","31,310",397,"13,494","4,753","8,741","14,545","13,114",98,"1,141",192,"1,204"
uacounty09:Kirklees,"173,525","116,361","55,569","60,792",612,"26,525","20,886","5,639","26,941","24,523",156,"1,971",291,"3,086"
uacounty09:Leeds,"320,596","186,467","83,385","103,082","1,442","70,377","54,122","16,255","57,456","53,599",265,"2,901",691,"4,854"
uacounty09:Wakefield,"140,414","89,291","40,766","48,525",650,"33,129","24,136","8,993","16,017","14,383",122,"1,281",231,"1,327"
uacounty09:Derby,"102,271","62,765","30,239","32,526",864,"20,250","12,458","7,792","17,193","15,943",75,982,193,"1,199"
uacounty09:Leicester,"123,125","61,170","28,018","33,152",774,"31,270","21,048","10,222","27,999","26,207",198,"1,173",421,"1,912"
uacounty09:Nottingham,"126,131","56,867","25,152","31,715",786,"37,486","26,176","11,310","29,098","27,300",136,"1,303",359,"1,894"
uacounty09:Rutland,"15,002","10,556","5,889","4,667",160,"1,685",369,"1,316","2,333","1,741",301,122,169,268
uacounty09:Derbyshire,"332,637","236,049","119,282","116,767","1,463","50,955","34,960","15,995","39,915","36,074",394,"2,920",527,"4,255"
uacounty09:Leicestershire,"267,434","202,431","99,100","103,331","2,128","28,017","16,888","11,129","31,932","28,915",390,"2,225",402,"2,926"
uacounty09:Lincolnshire,"306,971","210,389","110,454","99,935","2,280","41,768","25,038","16,730","47,730","42,277","1,620","2,941",892,"4,804"
uacounty09:Northamptonshire,"287,730","195,149","83,859","111,290","2,688","43,908","23,996","19,912","42,207","38,679",422,"2,672",434,"3,778"
uacounty09:Nottinghamshire,"334,303","239,289","119,231","120,058","1,601","45,084","31,116","13,968","44,036","39,881",486,"3,108",561,"4,293"
"uacounty09:Herefordshire, County of","78,319","53,014","30,867","22,147",770,"10,903","2,692","8,211","12,147","10,680",468,738,261,"1,485"
uacounty09:Shropshire,"129,674","89,688","49,998","39,690",830,"17,448","6,458","10,990","19,421","17,013",777,"1,203",428,"2,287"
uacounty09:Stoke-on-Trent,"107,575","63,928","30,628","33,300",419,"25,999","19,712","6,287","15,440","14,176",84,938,242,"1,789"
uacounty09:Telford and Wrekin,"66,608","42,417","18,106","24,311",292,"13,106","5,409","7,697","9,979","9,055",164,602,158,814
uacounty09:Staffordshire,"355,263","256,884","128,676","128,208","1,789","52,151","20,213","31,938","40,090","35,797",610,"2,890",793,"4,349"
uacounty09:Warwickshire,"231,005","161,804","79,796","82,008","1,920","31,924","18,263","13,661","32,608","29,628",585,"1,881",514,"2,749"
uacounty09:Birmingham,"410,736","226,616","106,416","120,200","3,940","99,592","63,458","36,134","73,405","68,647",366,"3,398",994,"7,183"
uacounty09:Coventry,"128,592","77,880","37,644","40,236",750,"21,914","6,988","14,926","26,503","24,461",118,"1,371",553,"1,545"
uacounty09:Dudley,"129,867","89,304","45,383","43,921",707,"25,719","21,874","3,845","12,004","10,938",105,818,143,"2,133"
uacounty09:Sandwell,"121,498","69,135","32,253","36,882",701,"33,439","27,587","5,852","15,674","14,583",88,822,181,"2,549"
uacounty09:Solihull,"86,056","63,559","32,227","31,332",527,"12,834","10,199","2,635","8,502","7,795",63,559,85,634
uacounty09:Walsall,"107,822","67,265","33,516","33,749",601,"25,967","10,774","15,193","12,569","11,533",65,770,201,"1,420"
uacounty09:Wolverhampton,"102,177","57,812","29,416","28,396",419,"28,648","22,796","5,852","13,455","12,517",79,666,193,"1,843"
uacounty09:Worcestershire,"239,717","169,788","85,973","83,815","1,565","35,526","13,412","22,114","29,873","27,165",380,"1,992",336,"2,965"
uacounty09:Bedford,"63,812","41,937","20,018","21,919",665,"10,252","1,155","9,097","10,110","9,310",114,514,172,848
uacounty09:Central Bedfordshire,"104,399","75,743","33,039","42,704",874,"13,981","5,464","8,517","12,612","10,973",459,756,424,"1,189"
uacounty09:Luton,"74,293","44,696","18,619","26,077",288,"11,715","7,973","3,742","16,816","15,802",70,726,218,778
uacounty09:Peterborough,"74,023","43,877","19,134","24,743",689,"14,434","4,751","9,683","14,168","12,855",288,699,326,855
uacounty09:Southend-on-Sea,"74,678","48,666","22,960","25,706",306,"8,597","5,079","3,518","16,439","15,472",100,754,113,670
uacounty09:Thurrock,"62,353","41,278","15,899","25,379",302,"11,503","10,055","1,448","8,772","8,220",51,443,58,498
uacounty09:Cambridgeshire,"251,241","165,853","80,204","85,649","3,003","38,506","15,736","22,770","40,119","35,965","1,109","2,024","1,021","3,760"
uacounty09:Essex,"581,589","414,702","201,533","213,169","3,421","83,402","45,939","37,463","73,697","66,541","1,355","4,474","1,327","6,367"
uacounty09:Hertfordshire,"453,817","303,276","136,244","167,032","3,940","82,543","41,731","40,812","59,320","54,726","1,004","2,804",786,"4,738"
uacounty09:Norfolk,"372,085","248,840","138,288","110,552","2,204","59,297","27,322","31,975","55,686","49,675","1,392","3,705",914,"6,058"
uacounty09:Suffolk,"310,745","208,993","111,081","97,912","2,068","46,101","23,681","22,420","48,488","43,399","1,534","2,633",922,"5,095"
uacounty09:Camden,"97,534","31,368","16,644","14,724",674,"32,295","22,473","9,822","31,434","29,706",282,981,465,"1,763"
uacounty09:City of London,"4,385","1,855","1,093",762,13,725,458,267,"1,573","1,451",16,61,45,219
uacounty09:Hackney,"101,690","24,179","8,597","15,582","2,374","44,430","24,163","20,267","29,449","28,112",79,947,311,"1,258"
uacounty09:Hammersmith and Fulham,"80,590","27,397","12,777","14,620","1,257","25,133","12,683","12,450","25,555","24,215",132,949,259,"1,248"
uacounty09:Haringey,"101,955","39,603","16,326","23,277","1,533","27,242","17,288","9,954","32,095","30,924",109,737,325,"1,482"
uacounty09:Islington,"93,556","26,564","10,587","15,977","1,207","39,342","25,014","14,328","25,217","23,954",99,852,312,"1,226"
uacounty09:Kensington and Chelsea,"78,536","28,007","17,933","10,074",700,"19,271","7,201","12,070","28,108","26,676",318,724,390,"2,450"
uacounty09:Lambeth,"130,017","42,885","14,778","28,107","1,987","45,619","25,496","20,123","38,133","36,023",248,"1,389",473,"1,393"
uacounty09:Lewisham,"116,091","49,228","17,273","31,955","1,436","36,052","18,084","17,968","28,216","26,665",89,"1,139",323,"1,159"
uacounty09:Newham,"101,519","33,822","12,993","20,829","1,806","30,092","18,592","11,500","34,570","33,118",98,871,483,"1,229"
uacounty09:Southwark,"120,422","35,330","11,805","23,525","2,453","52,644","37,628","15,016","28,493","26,752",212,"1,132",397,"1,502"
uacounty09:Tower Hamlets,"101,257","24,552","8,648","15,904","2,383","40,106","17,548","22,558","32,964","31,227",151,965,621,"1,252"
uacounty09:Wandsworth,"130,493","59,393","24,067","35,326","1,911","26,516","16,752","9,764","41,317","39,171",284,"1,536",326,"1,356"
uacounty09:Westminster,"105,772","32,287","18,692","13,595",885,"27,348","12,543","14,805","41,949","39,732",474,"1,071",672,"3,303"
uacounty09:Barking and Dagenham,"69,681","32,324","11,908","20,416",906,"23,459","19,782","3,677","12,328","11,559",39,555,175,664
uacounty09:Barnet,"135,916","78,350","38,105","40,245","1,191","19,334","11,664","7,670","34,854","33,175",240,"1,073",366,"2,187"
uacounty09:Bexley,"92,604","67,154","30,127","37,027",754,"13,377","1,693","11,684","10,556","9,721",42,688,105,763
uacounty09:Brent,"110,286","47,324","22,416","24,908","1,636","26,591","10,686","15,905","33,181","31,784",126,855,416,"1,554"
uacounty09:Bromley,"130,862","92,785","43,649","49,136","1,036","18,425","1,987","16,438","17,393","16,229",163,826,175,"1,223"
uacounty09:Croydon,"145,010","85,230","34,882","50,348","1,855","25,887","14,362","11,525","30,472","28,762",181,"1,212",317,"1,566"
uacounty09:Ealing,"124,082","63,420","28,414","35,006","2,174","22,472","13,007","9,465","34,182","32,696",143,989,354,"1,834"
uacounty09:Enfield,"119,916","69,462","31,452","38,010","1,087","21,073","13,666","7,407","26,591","25,395",128,785,283,"1,703"
uacounty09:Greenwich,"101,045","43,719","16,585","27,134","1,580","34,662","22,878","11,784","20,004","18,678",217,772,337,"1,080"
uacounty09:Harrow,"84,268","55,001","26,246","28,755",821,"8,923","5,157","3,766","18,324","17,165",210,681,268,"1,199"
uacounty09:Havering,"97,199","71,698","34,625","37,073",586,"13,799","10,464","3,335","10,337","9,601",60,586,90,779
uacounty09:Hillingdon,"100,214","63,011","27,921","35,090","1,280","16,752","10,481","6,271","18,141","16,691",433,642,375,"1,030"
uacounty09:Hounslow,"94,902","47,562","20,048","27,514","2,245","21,682","14,296","7,386","22,206","21,099",127,718,262,"1,207"
uacounty09:Kingston upon Thames,"63,639","40,762","17,727","23,035",434,"7,502","5,252","2,250","14,312","13,391",172,525,224,629
uacounty09:Merton,"78,757","46,689","20,160","26,529",671,"11,102","2,887","8,215","19,503","18,478",97,749,179,792
uacounty09:Redbridge,"99,105","62,983","27,911","35,072","1,003","11,289","6,269","5,020","22,657","21,441",85,915,216,"1,173"
uacounty09:Richmond upon Thames,"79,835","50,750","23,756","26,994",601,"10,051","2,451","7,600","17,440","16,410",176,643,211,993
uacounty09:Sutton,"78,174","53,152","22,357","30,795",611,"11,422","6,421","5,001","12,429","11,671",76,589,93,560
uacounty09:Waltham Forest,"96,861","48,361","19,396","28,965","1,018","21,376","10,401","10,975","25,102","23,919",104,780,299,"1,004"
uacounty09:Bracknell Forest,"45,878","31,419","11,420","19,999",527,"7,678","2,600","5,078","5,734","4,874",298,384,178,520
uacounty09:Brighton and Hove,"121,540","64,790","28,397","36,393","1,045","18,187","11,928","6,259","35,959","34,081",131,"1,521",226,"1,559"
uacounty09:Isle of Wight,"61,085","42,817","25,091","17,726",362,"6,523",598,"5,925","10,639","9,663",94,782,100,744
uacounty09:Medway,"106,209","71,853","30,697","41,156","1,114","13,996","4,155","9,841","18,153","16,627",287,913,326,"1,093"
uacounty09:Milton Keynes,"98,584","56,913","21,157","35,756","5,985","17,763","10,801","6,962","17,066","15,930",101,875,160,857
uacounty09:Portsmouth,"85,473","46,897","20,616","26,281",825,"15,611","10,001","5,610","21,098","19,044",509,"1,135",410,"1,042"
uacounty09:Reading,"62,869","34,479","14,222","20,257","1,130","10,242","6,322","3,920","16,394","15,517",91,605,181,624
uacounty09:Slough,"50,766","26,755","9,502","17,253",686,"10,476","6,656","3,820","12,348","11,713",73,445,117,501
uacounty09:Southampton,"98,254","48,873","21,286","27,587","1,013","22,867","16,633","6,234","24,449","23,007",87,"1,050",305,"1,052"
uacounty09:West Berkshire,"62,340","43,435","19,455","23,980",695,"8,628",575,"8,053","8,555","7,457",457,428,213,"1,027"
uacounty09:Windsor and Maidenhead,"58,349","39,676","19,013","20,663",358,"7,748",711,"7,037","9,432","8,099",580,375,378,"1,135"
uacounty09:Wokingham,"60,332","48,103","21,461","26,642",679,"4,236","2,845","1,391","6,755","6,001",248,363,143,559
uacounty09:Buckinghamshire,"200,727","144,852","68,784","76,068","1,946","25,471","9,043","16,428","25,875","22,688","1,156","1,293",738,"2,583"
uacounty09:East Sussex,"231,905","160,557","87,976","72,581","1,495","25,600","10,975","14,625","41,180","37,899",552,"2,270",459,"3,073"
