uacounty09:Kent,E10000016,
uacounty09:Oxfordshire,E10000025,
uacounty09:Surrey,E10000030,
uacounty09:West Sussex,E10000032,
uacounty09:Bath and North East,1 Somerset,E06000022,
uacounty09:Bournemouth,E06000028,
"uacounty09:Bristol, City of",E06000023,
uacounty09:Cornwall,E06000052,
uacounty09:Isles of Scilly,E06000053,
uacounty09:North Somerset,E06000024,
uacounty09:Plymouth,E06000026,
uacounty09:Poole,E06000029,
uacounty09:South Gloucestershire,E06000025,
uacounty09:Swindon,E06000030,
uacounty09:Torbay,E06000027,
uacounty09:Wiltshire,E06000054,
uacounty09:Devon,E10000008,
uacounty09:Dorset,E10000009,
uacounty09:Gloucestershire,E10000013,
uacounty09:Somerset,E10000027,
uacounty09:Anglesey,W06000001,
uacounty09:Gwynedd,W06000002,
uacounty09:Conwy,W06000003,
uacounty09:Denbighshire,W06000004,
uacounty09:Flintshire,W06000005,
uacounty09:Wrexham,W06000006,
uacounty09:Powys,W06000023,
uacounty09:Ceredigion,W06000008,
uacounty09:Pembrokeshire,W06000009,
uacounty09:Carmarthenshire,W06000010,
uacounty09:Swansea,W06000011,
uacounty09:Neath Port Talbot,W06000012,
uacounty09:Bridgend,W06000013,
uacounty09:The Vale of Glamorgan,W06000014,
uacounty09:Cardiff,W06000015,
"uacounty09:Rhondda, Cynon, Taff",W06000016,
uacounty09:Merthyr Tydfil,W06000024,
uacounty09:Caerphilly,W06000018,
uacounty09:Blaenau Gwent,W06000019,
uacounty09:Torfaen,W06000020,
uacounty09:Monmouthshire,W06000021,
uacounty09:Newport,W06000022,
uacounty09:Aberdeen City,S12000033,
uacounty09:Aberdeenshire,S12000034,
uacounty09:Angus,S12000041,
uacounty09:Argyll and Bute,S12000035,
uacounty09:Clackmannanshire,S12000005,
uacounty09:Dumfries and Galloway,S12000006,
uacounty09:Dundee City,S12000042,
uacounty09:East Ayrshire,S12000008,
uacounty09:East Dunbartonshire,S12000009,
uacounty09:East Lothian,S12000010,
uacounty09:East Renfrewshire,S12000011,
"uacounty09:Edinburgh, City of",S12000036,
uacounty09:Eilean Siar,S12000013,
uacounty09:Falkirk,S12000014,
uacounty09:Fife,S12000015,
uacounty09:Glasgow City,S12000043,
uacounty09:Highland,S12000017,
uacounty09:Inverclyde,S12000018,
uacounty09:Midlothian,S12000019,
uacounty09:Moray,S12000020,
uacounty09:North Ayrshire,S12000021,
uacounty09:North Lanarkshire,S12000044,
uacounty09:Orkney Islands,S12000023,
