2011 census qs402ew - accomodation type - households,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,
,,,,,,,,,,,,
population,All households,,,,,,,,,,,
units,Households,,,,,,,,,,,
date,2011,,,,,,,,,,,
,,,,,,,,,,,,
Area,All categories: Accommodation type,Unshared : Total,Unshared : Whole house or bungalow: Total,Unshared : Whole house or bungalow: Detached,Unshared : Whole house or bungalow: Semi-detached,Unshared : Whole house or bungalow: Terraced,"Unshared : Flat, maisonette or apartment: Total","Unshared : Flat, etc: Purpose-built flats or tenement","Unshared : Flat etc: Part of a converted or shared house","Unshared : Flat, etc: In commercial building",Unshared : Caravan etc,Shared 
ualad09:Wirral,"140,583","140,287","117,098","23,818","58,520","34,760","23,172","16,066","5,439","1,667",17,296
ualad09:East Riding of Yorkshire,"143,032","142,917","129,886","49,480","52,383","28,023","12,673","9,351","2,077","1,245",358,115
"ualad09:Kingston upon Hull, City of","112,596","112,398","94,208","8,043","30,853","55,312","18,114","13,882","3,073","1,159",76,198
ualad09:North East Lincolnshire,"69,707","69,656","60,663","14,529","23,234","22,900","8,917","6,660","1,600",657,76,51
ualad09:North Lincolnshire,"70,684","70,654","63,703","24,038","29,545","10,120","6,423","5,199",692,532,528,30
ualad09:York,"83,552","83,265","69,134","18,539","30,170","20,425","13,975","11,431","1,866",678,156,287
ualad09:Craven,"24,583","24,573","22,325","6,232","7,109","8,984","2,016","1,282",432,302,232,10
ualad09:Hambleton,"38,117","38,091","35,334","16,024","11,481","7,829","2,582","1,928",371,283,175,26
ualad09:Harrogate,"67,169","66,922","55,305","21,374","20,567","13,364","11,086","7,081","3,227",778,531,247
ualad09:Richmondshire,"20,207","20,200","18,615","7,159","7,239","4,217","1,493","1,048",296,149,92,7
ualad09:Ryedale,"22,524","22,524","20,870","9,330","7,341","4,199","1,566","1,089",245,232,88,0
ualad09:Scarborough,"49,435","49,181","38,211","11,300","16,108","10,803","10,902","6,908","3,154",840,68,254
ualad09:Selby,"34,559","34,548","32,077","13,910","12,267","5,900","2,390","1,983",229,178,81,11
ualad09:Barnsley,"100,734","100,602","93,150","22,554","45,973","24,623","7,407","6,272",587,548,45,132
ualad09:Doncaster,"126,487","126,291","116,034","29,400","57,178","29,456","9,505","7,671","1,037",797,752,196
ualad09:Rotherham,"108,293","108,241","97,278","23,100","53,410","20,768","10,952","9,687",635,630,11,52
ualad09:Sheffield,"229,928","229,273","180,580","33,219","84,575","62,786","48,635","42,647","4,017","1,971",58,655
ualad09:Bradford,"199,296","198,436","168,499","28,381","72,169","67,949","29,465","24,723","3,215","1,527",472,860
ualad09:Calderdale,"88,621","88,459","75,176","12,770","24,720","37,686","13,160","11,183","1,325",652,123,162
ualad09:Kirklees,"173,525","173,050","151,641","35,906","57,824","57,911","21,232","17,844","2,240","1,148",177,475
ualad09:Leeds,"320,596","319,603","252,391","47,237","120,091","85,063","66,873","56,242","8,337","2,294",339,993
ualad09:Wakefield,"140,414","140,283","124,397","29,606","62,543","32,248","15,640","13,705","1,197",738,246,131
ualad09:Derby,"102,271","102,082","87,635","23,969","40,097","23,569","14,212","11,984","1,598",630,235,189
ualad09:Leicester,"123,125","122,339","95,994","13,055","43,951","38,988","26,282","21,205","3,713","1,364",63,786
ualad09:Nottingham,"126,131","125,655","94,934","18,954","39,976","36,004","30,641","25,240","4,191","1,210",80,476
ualad09:Rutland,"15,002","14,998","13,834","7,097","4,109","2,628","1,066",807,143,116,98,4
ualad09:Amber Valley,"52,596","52,588","49,270","19,023","19,424","10,823","3,247","2,452",403,392,71,8
ualad09:Bolsover,"32,801","32,799","30,940","9,390","14,487","7,063","1,831","1,482",157,192,28,2
ualad09:Chesterfield,"46,796","46,758","40,884","11,320","21,115","8,449","5,781","5,027",473,281,93,38
ualad09:Derbyshire Dales,"30,744","30,734","27,957","12,678","9,470","5,809","2,737","1,958",407,372,40,10
ualad09:Erewash,"48,692","48,650","44,879","13,937","21,790","9,152","3,719","2,908",435,376,52,42
ualad09:High Peak,"38,946","38,892","34,204","9,290","11,574","13,340","4,598","3,172","1,010",416,90,54
ualad09:North East Derbyshire,"43,070","43,068","40,288","15,702","18,869","5,717","2,587","2,143",188,256,193,2
ualad09:South Derbyshire,"38,992","38,990","36,325","15,654","13,726","6,945","2,417","1,948",268,201,248,2
ualad09:Blaby,"38,686","38,683","36,270","14,042","18,289","3,939","2,298","1,932",157,209,115,3
ualad09:Charnwood,"66,516","66,433","58,756","20,420","26,007","12,329","7,386","6,182",713,491,291,83
ualad09:Harborough,"34,898","34,887","32,240","16,881","10,087","5,272","2,498","2,008",276,214,149,11
ualad09:Hinckley and Bosworth,"45,377","45,358","41,592","17,025","17,419","7,148","3,634","3,032",289,313,132,19
ualad09:Melton,"21,490","21,468","19,868","8,784","7,743","3,341","1,546","1,145",264,137,54,22
ualad09:North West Leicestershire,"39,128","39,118","36,253","15,362","13,891","7,000","2,532","1,947",320,265,333,10
ualad09:Oadby and Wigston,"21,339","21,337","19,791","6,404","10,225","3,162","1,544","1,294",131,119,2,2
ualad09:Boston,"27,291","27,275","24,194","11,824","8,425","3,945","2,954","2,408",381,165,127,16
ualad09:East Lindsey,"60,890","60,768","54,396","31,089","16,424","6,883","5,341","3,501","1,134",706,"1,031",122
ualad09:Lincoln,"39,825","39,764","32,123","7,836","11,777","12,510","7,615","6,560",800,255,26,61
ualad09:North Kesteven,"45,972","45,966","43,658","25,185","13,797","4,676","1,873","1,480",207,186,435,6
ualad09:South Holland,"37,264","37,226","35,363","20,674","11,101","3,588","1,683","1,182",302,199,180,38
ualad09:South Kesteven,"57,344","57,317","52,303","24,330","17,729","10,244","4,674","3,673",639,362,340,27
ualad09:West Lindsey,"38,385","38,383","36,128","19,566","10,368","6,194","1,801","1,394",198,209,454,2
ualad09:Corby,"25,215","25,215","22,273","5,373","9,427","7,473","2,901","2,624",183,94,41,0
ualad09:Daventry,"31,647","31,637","29,440","13,561","9,954","5,925","2,151","1,765",194,192,46,10
ualad09:East Northamptonshire,"35,662","35,648","32,707","12,951","11,931","7,825","2,802","2,308",269,225,139,14
ualad09:Kettering,"39,701","39,676","34,890","11,628","13,598","9,664","4,742","4,015",532,195,44,25
ualad09:Northampton,"88,731","88,465","72,952","19,293","25,673","27,986","15,447","13,444","1,491",512,66,266
ualad09:South Northamptonshire,"34,717","34,712","32,528","15,184","12,155","5,189","2,091","1,679",232,180,93,5
ualad09:Wellingborough,"32,057","32,051","28,225","8,397","11,069","8,759","3,639","3,101",364,174,187,6
ualad09:Ashfield,"50,931","50,892","46,829","14,808","21,753","10,268","4,017","3,236",427,354,46,39
ualad09:Bassetlaw,"47,667","47,643","44,242","16,224","20,192","7,826","3,218","2,600",341,277,183,24
ualad09:Broxtowe,"46,820","46,808","41,746","17,155","16,782","7,809","4,974","4,286",338,350,88,12
ualad09:Gedling,"49,349","49,332","43,788","18,919","17,156","7,713","5,307","4,576",404,327,237,17
ualad09:Mansfield,"44,928","44,890","40,783","13,135","19,468","8,180","4,016","3,408",388,220,91,38
ualad09:Newark and Sherwood,"48,773","48,754","44,717","18,510","18,313","7,894","3,777","3,053",459,265,260,19
ualad09:Rushcliffe,"45,835","45,790","40,863","21,309","14,372","5,182","4,601","3,432",903,266,326,45
"ualad09:Herefordshire, County of","78,319","78,186","68,598","33,106","21,789","13,703","8,888","6,595","1,548",745,700,133
ualad09:Shropshire,"129,674","129,585","117,100","51,489","43,922","21,689","11,599","8,347","2,033","1,219",886,89
ualad09:Stoke-on-Trent,"107,575","107,453","95,154","15,453","48,779","30,922","12,244","10,553","1,065",626,55,122
ualad09:Telford and Wrekin,"66,608","66,591","59,783","20,509","24,455","14,819","6,547","5,706",500,341,261,17
ualad09:Cannock Chase,"40,664","40,650","36,057","12,012","19,248","4,797","4,536","3,947",297,292,57,14
ualad09:East Staffordshire,"47,251","47,217","41,521","14,853","15,063","11,605","5,520","4,657",520,343,176,34
ualad09:Lichfield,"41,224","41,204","36,369","15,901","14,459","6,009","4,608","4,042",346,220,227,20
ualad09:Newcastle-under-Lyme,"52,574","52,525","46,693","12,987","23,192","10,514","5,785","5,034",478,273,47,49
ualad09:South Staffordshire,"44,458","44,452","39,708","17,355","17,600","4,753","3,962","3,337",318,307,782,6
ualad09:Stafford,"55,703","55,548","48,727","20,819","18,361","9,547","6,523","5,347",815,361,298,155
ualad09:Staffordshire Moorlands,"41,772","41,768","39,576","16,928","15,855","6,793","2,123","1,379",383,361,69,4
ualad09:Tamworth,"31,617","31,610","27,150","8,008","12,057","7,085","4,320","3,779",387,154,140,7
ualad09:North Warwickshire,"25,812","25,809","23,546","7,299","10,148","6,099","2,138","1,701",221,216,125,3
ualad09:Nuneaton and Bedworth,"52,711","52,609","46,101","12,532","19,848","13,721","6,296","5,493",470,333,212,102
ualad09:Rugby,"41,875","41,815","36,435","11,886","14,195","10,354","5,242","4,407",539,296,138,60
ualad09:Stratford-on-Avon,"51,928","51,894","45,389","19,319","16,028","10,042","5,814","4,715",678,421,691,34
ualad09:Warwick,"58,679","58,447","45,469","14,453","18,356","12,660","12,870","9,829","2,393",648,108,232
ualad09:Birmingham,"410,736","408,978","310,543","45,419","143,938","121,186","98,309","82,147","11,953","4,209",126,"1,758"
ualad09:Coventry,"128,592","127,779","104,555","13,436","35,732","55,387","23,015","20,068","1,890","1,057",209,813
ualad09:Dudley,"129,867","129,725","112,354","28,217","63,322","20,815","17,301","14,990","1,358",953,70,142
ualad09:Sandwell,"121,498","121,373","98,732","13,814","53,218","31,700","22,582","20,329","1,330",923,59,125
ualad09:Solihull,"86,056","86,026","70,691","24,534","32,498","13,659","15,216","14,112",541,563,119,30
ualad09:Walsall,"107,822","107,701","89,602","19,781","45,820","24,001","17,888","16,045",914,929,211,121
ualad09:Wolverhampton,"102,177","101,868","80,354","16,244","46,195","17,915","21,426","18,714","1,905",807,88,309
ualad09:Bromsgrove,"38,290","38,276","33,911","14,353","13,972","5,586","4,002","3,334",368,300,363,14
ualad09:Malvern Hills,"32,212","32,177","27,836","14,241","10,039","3,556","4,012","2,659","1,017",336,329,35
ualad09:Redditch,"34,722","34,636","29,255","9,357","10,440","9,458","5,365","4,741",489,135,16,86
ualad09:Worcester,"42,042","41,880","33,802","9,332","14,740","9,730","8,031","6,474","1,051",506,47,162
ualad09:Wychavon,"49,466","49,420","43,813","20,547","14,898","8,368","5,054","4,024",655,375,553,46
ualad09:Wyre Forest,"42,985","42,928","37,035","12,842","16,134","8,059","5,170","4,156",615,399,723,57
ualad09:Bedford,"63,812","63,521","52,775","17,736","20,982","14,057","10,183","7,724","1,970",489,563,291
ualad09:Central Bedfordshire,"104,399","104,372","91,958","29,800","35,944","26,214","11,483","9,848",960,675,931,27
ualad09:Luton,"74,293","73,969","58,219","9,601","30,029","18,589","15,633","13,140","1,895",598,117,324
ualad09:Peterborough,"74,023","73,958","62,110","20,443","23,294","18,373","11,411","10,005","1,036",370,437,65
ualad09:Southend-on-Sea,"74,678","74,217","49,808","12,202","23,812","13,794","24,376","13,647","9,451","1,278",33,461
ualad09:Thurrock,"62,353","62,324","48,405","7,442","20,687","20,276","13,751","12,752",536,463,168,29
ualad09:Cambridge,"46,714","46,202","31,612","4,890","12,681","14,041","14,510","12,518","1,562",430,80,512
ualad09:East Cambridgeshire,"34,614","34,602","31,860","14,696","11,079","6,085","2,421","1,914",325,182,321,12
ualad09:Fenland,"40,620","40,572","36,838","18,596","11,872","6,370","3,415","2,780",385,250,319,48
ualad09:Huntingdonshire,"69,333","69,313","62,036","28,013","20,929","13,094","6,846","5,763",706,377,431,20
ualad09:South Cambridgeshire,"59,960","59,937","55,729","24,932","20,220","10,577","3,585","2,901",430,254,623,23
ualad09:Basildon,"72,746","72,736","60,360","15,888","18,797","25,675","12,065","11,384",480,201,311,10
ualad09:Braintree,"61,043","61,000","53,119","17,467","20,926","14,726","7,716","6,706",662,348,165,43
ualad09:Brentwood,"30,646","30,620","24,342","9,562","9,925","4,855","6,197","5,292",636,269,81,26
ualad09:Castle Point,"36,440","36,427","32,428","15,406","14,028","2,994","2,990","2,438",290,262,"1,009",13
ualad09:Chelmsford,"69,667","69,638","57,232","20,907","22,008","14,317","11,993","10,929",681,383,413,29
ualad09:Colchester,"71,634","71,426","57,433","22,483","21,697","13,253","13,894","12,521","1,018",355,99,208
ualad09:Epping Forest,"51,991","51,978","40,661","11,997","16,758","11,906","10,616","9,575",574,467,701,13
ualad09:Harlow,"34,620","34,603","26,059","3,276","5,231","17,552","8,520","8,149",249,122,24,17
ualad09:Maldon,"25,817","25,817","23,390","11,577","7,754","4,059","2,184","1,721",239,224,243,0
ualad09:Rochford,"33,564","33,545","29,708","11,155","15,864","2,689","3,368","3,020",159,189,469,19
ualad09:Tendring,"62,105","61,982","51,820","24,886","19,660","7,274","9,602","7,580","1,363",659,560,123
ualad09:Uttlesford,"31,316","31,316","27,969","13,139","9,622","5,208","3,169","2,653",334,182,178,0
ualad09:Broxbourne,"37,658","37,636","28,410","5,725","10,857","11,828","9,109","8,295",429,385,117,22
ualad09:Dacorum,"59,938","59,908","46,793","12,934","14,720","19,139","12,844","11,482",857,505,271,30
ualad09:East Hertfordshire,"56,577","56,564","46,148","15,890","17,203","13,055","10,309","9,031",811,467,107,13
ualad09:Hertsmere,"39,778","39,731","29,813","7,727","13,177","8,909","9,712","8,732",519,461,206,47
ualad09:North Hertfordshire,"53,426","53,396","43,406","13,158","16,269","13,979","9,655","8,466",736,453,335,30
ualad09:St Albans,"56,140","56,025","44,034","15,054","17,087","11,893","11,745","9,873","1,309",563,246,115
ualad09:Stevenage,"34,898","34,879","27,987","4,059","6,397","17,531","6,873","6,311",320,242,19,19
ualad09:Three Rivers,"35,108","35,100","28,327","9,134","12,467","6,726","6,486","5,819",356,311,287,8
ualad09:Watford,"36,681","36,474","24,384","3,869","10,402","10,113","12,074","9,751","1,813",510,16,207
ualad09:Welwyn Hatfield,"43,613","43,594","34,049","8,732","10,238","15,079","9,450","8,790",349,311,95,19
ualad09:Breckland,"54,519","54,502","50,810","25,556","15,821","9,433","3,480","2,790",420,270,212,17
ualad09:Broadland,"53,336","53,317","50,777","25,042","20,321","5,414","2,242","1,774",268,200,298,19
ualad09:Great Yarmouth,"42,079","41,982","35,482","12,393","10,152","12,937","6,033","4,634",969,430,467,97
ualad09:King`s Lynn and West Norfolk,"62,977","62,926","57,129","28,085","19,652","9,392","5,349","4,314",684,351,448,51
ualad09:North Norfolk,"46,046","46,024","41,484","20,937","13,843","6,704","4,272","2,827",983,462,268,22
ualad09:Norwich,"60,319","60,092","40,260","6,358","13,381","20,521","19,779","17,442","1,759",578,53,227
ualad09:South Norfolk,"52,809","52,807","49,484","26,928","16,218","6,338","3,129","2,491",409,229,194,2
ualad09:Babergh,"37,522","37,514","34,877","15,624","11,125","8,128","2,552","2,047",267,238,85,8
ualad09:Forest Heath,"25,376","25,354","22,094","9,084","7,507","5,503","3,071","2,520",367,184,189,22
ualad09:Ipswich,"57,298","57,143","43,707","7,795","22,022","13,890","13,382","11,289","1,548",545,54,155
ualad09:Mid Suffolk,"40,306","40,293","37,915","19,136","13,250","5,529","2,129","1,676",267,186,249,13
ualad09:St Edmundsbury,"45,802","45,747","40,537","15,937","12,344","12,256","4,979","4,175",473,331,231,55
ualad09:Suffolk Coastal,"53,558","53,487","48,220","23,697","15,800","8,723","4,845","3,648",795,402,422,71
ualad09:Waveney,"50,883","50,807","45,704","17,567","14,190","13,947","4,821","3,303","1,065",453,282,76
ualad09:Camden,"97,534","94,208","14,433","1,804","3,984","8,645","79,729","50,453","26,550","2,726",46,"3,326"
ualad09:City of London,"4,385","4,368",98,15,12,71,"4,270","3,833",145,292,0,17
ualad09:Hackney,"101,690","99,219","21,720","1,856","4,335","15,529","77,421","58,393","16,637","2,391",78,"2,471"
ualad09:Hammersmith and Fulham,"80,590","78,455","21,768","1,133","3,990","16,645","56,653","34,072","20,874","1,707",34,"2,135"
ualad09:Haringey,"101,955","99,588","42,047","4,332","9,793","27,922","57,479","32,067","23,152","2,260",62,"2,367"
ualad09:Islington,"93,556","91,932","16,700","1,044","2,723","12,933","75,174","50,913","22,000","2,261",58,"1,624"
ualad09:Kensington and Chelsea,"78,536","75,328","13,215","1,007","2,528","9,680","62,025","40,287","20,195","1,543",88,"3,208"
ualad09:Lambeth,"130,017","127,461","35,129","3,160","10,699","21,270","92,295","62,681","27,854","1,760",37,"2,556"
ualad09:Lewisham,"116,091","114,856","51,879","3,771","15,328","32,780","62,925","41,459","19,692","1,774",52,"1,235"
ualad09:Newham,"101,519","100,934","54,281","6,871","10,771","36,639","46,579","36,813","8,189","1,577",74,585
ualad09:Southwark,"120,422","119,206","29,633","2,590","7,777","19,266","89,430","74,797","12,899","1,734",143,"1,216"
ualad09:Tower Hamlets,"101,257","100,234","14,501","1,199","2,560","10,742","85,635","80,099","3,947","1,589",98,"1,023"
ualad09:Wandsworth,"130,493","128,909","44,783","3,200","9,697","31,886","84,042","56,993","24,570","2,479",84,"1,584"
ualad09:Westminster,"105,772","103,715","11,296","1,229","1,992","8,075","92,384","69,192","20,131","3,061",35,"2,057"
ualad09:Barking and Dagenham,"69,681","69,498","48,714","2,788","13,634","32,292","20,761","18,263","1,661",837,23,183
ualad09:Barnet,"135,916","134,997","77,803","14,774","40,777","22,252","57,027","43,172","11,493","2,362",167,919
ualad09:Bexley,"92,604","92,502","71,203","6,759","41,361","23,083","21,280","18,571","1,539","1,170",19,102
ualad09:Brent,"110,286","108,815","52,533","7,217","26,520","18,796","56,226","35,737","18,537","1,952",56,"1,471"
ualad09:Bromley,"130,862","130,382","92,319","24,189","39,619","28,511","37,881","28,437","7,603","1,841",182,480
ualad09:Croydon,"145,010","144,089","92,992","18,231","36,740","38,021","51,054","36,701","12,132","2,221",43,921
ualad09:Ealing,"124,082","122,788","67,508","6,703","28,337","32,468","55,147","38,699","14,557","1,891",133,"1,294"
ualad09:Enfield,"119,916","119,395","74,270","8,357","28,392","37,521","45,063","35,918","7,483","1,662",62,521
ualad09:Greenwich,"101,045","100,240","54,611","4,297","18,988","31,326","45,583","37,848","6,796",939,46,805
ualad09:Harrow,"84,268","84,092","58,892","9,992","33,188","15,712","25,187","18,807","5,074","1,306",13,176
ualad09:Havering,"97,199","97,071","76,082","10,575","39,823","25,684","20,788","18,319","1,360","1,109",201,128
ualad09:Hillingdon,"100,214","100,118","73,831","14,605","36,540","22,686","26,131","22,342","2,461","1,328",156,96
ualad09:Hounslow,"94,902","94,411","54,323","4,450","28,005","21,868","39,939","32,918","5,846","1,175",149,491
ualad09:Kingston upon Thames,"63,639","63,086","39,784","8,069","20,217","11,498","23,240","17,922","4,195","1,123",62,553
ualad09:Merton,"78,757","78,463","49,259","4,536","14,485","30,238","29,176","20,762","7,272","1,142",28,294
ualad09:Redbridge,"99,105","98,787","67,736","6,774","26,384","34,578","30,986","23,462","6,122","1,402",65,318
ualad09:Richmond upon Thames,"79,835","79,401","47,879","6,669","19,527","21,683","31,335","21,921","7,623","1,791",187,434
ualad09:Sutton,"78,174","77,884","50,838","8,379","22,178","20,281","27,029","22,961","2,934","1,134",17,290
ualad09:Waltham Forest,"96,861","96,233","56,948","4,513","16,420","36,015","39,244","26,263","11,303","1,678",41,628
ualad09:Bracknell Forest,"45,878","45,817","36,726","12,606","9,516","14,604","8,286","7,710",350,226,805,61
ualad09:Brighton and Hove,"121,540","118,874","61,658","12,519","23,805","25,334","57,183","30,103","24,896","2,184",33,"2,666"
ualad09:Isle of Wight,"61,085","60,926","48,510","21,269","17,848","9,393","12,036","7,810","3,352",874,380,159
ualad09:Medway,"106,209","106,038","89,939","14,683","31,893","43,363","15,420","12,393","2,136",891,679,171
ualad09:Milton Keynes,"98,584","98,539","83,309","28,323","28,080","26,906","15,179","13,955",850,374,51,45
ualad09:Portsmouth,"85,473","84,845","55,745","3,572","13,542","38,631","28,964","21,928","5,873","1,163",136,628
ualad09:Reading,"62,869","62,452","43,149","7,758","16,221","19,170","19,169","15,477","3,127",565,134,417
ualad09:Slough,"50,766","50,568","33,772","5,089","14,270","14,413","16,753","14,906","1,491",356,43,198
ualad09:Southampton,"98,254","97,477","59,430","13,016","25,547","20,867","37,987","32,126","4,866",995,60,777
ualad09:West Berkshire,"62,340","62,278","53,064","21,163","20,722","11,179","8,549","7,076","1,072",401,665,62
ualad09:Windsor and Maidenhead,"58,349","58,300","44,360","18,268","15,101","10,991","13,340","10,871","1,775",694,600,49
ualad09:Wokingham,"60,332","60,312","53,555","27,055","17,674","8,826","6,252","5,366",612,274,505,20
ualad09:Aylesbury Vale,"69,406","69,240","61,303","22,623","22,342","16,338","7,810","6,613",827,370,127,166
ualad09:Chiltern,"36,946","36,918","31,579","16,240","9,215","6,124","5,096","4,161",545,390,243,28
ualad09:South Bucks,"26,514","26,498","21,149","10,862","6,589","3,698","4,932","4,209",388,335,417,16
ualad09:Wycombe,"67,861","67,715","54,799","21,278","22,570","10,951","12,611","10,555","1,505",551,305,146
ualad09:Eastbourne,"45,012","44,589","28,395","7,635","9,524","11,236","16,160","11,787","3,776",597,34,423
ualad09:Hastings,"41,159","40,808","25,528","7,558","8,471","9,499","15,187","8,312","6,230",645,93,351
ualad09:Lewes,"42,181","42,122","34,388","14,966","11,325","8,097","7,501","5,730","1,269",502,233,59
ualad09:Rother,"40,877","40,811","31,928","17,327","9,171","5,430","8,736","5,633","2,456",647,147,66
ualad09:Wealden,"62,676","62,631","54,986","27,984","19,042","7,960","6,949","5,248","1,109",592,696,45
ualad09:Basingstoke and Deane,"69,315","69,279","59,074","21,462","17,328","20,284","9,961","8,963",729,269,244,36
ualad09:East Hampshire,"47,258","47,236","40,283","20,151","11,726","8,406","6,644","5,468",792,384,309,22
ualad09:Eastleigh,"52,177","52,160","43,583","17,593","14,492","11,498","8,210","7,124",749,337,367,17
ualad09:Fareham,"46,579","46,569","40,698","16,968","14,950","8,780","5,715","5,068",349,298,156,10
ualad09:Gosport,"35,430","35,394","27,163","4,739","9,445","12,979","8,139","7,210",531,398,92,36
ualad09:Hart,"35,510","35,485","31,477","15,919","9,035","6,523","3,760","3,214",276,270,248,25
ualad09:Havant,"51,311","51,269","41,598","14,510","14,734","12,354","9,522","8,416",596,510,149,42
ualad09:New Forest,"76,839","76,782","65,493","35,037","18,281","12,175","10,049","8,193","1,010",846,"1,240",57
ualad09:Rushmoor,"36,344","36,272","27,113","6,205","11,872","9,036","8,972","7,713",917,342,187,72
ualad09:Test Valley,"47,626","47,603","41,524","18,413","12,327","10,784","5,713","4,839",562,312,366,23
ualad09:Winchester,"46,865","46,829","38,806","17,281","11,785","9,740","7,469","5,990","1,111",368,554,36
ualad09:Ashford,"47,787","47,731","42,111","15,898","14,652","11,561","5,186","4,315",647,224,434,56
ualad09:Canterbury,"60,771","60,583","49,305","19,236","18,750","11,319","10,740","7,923","2,117",700,538,188
ualad09:Dartford,"40,081","40,045","31,127","5,087","12,689","13,351","8,805","7,702",902,201,113,36
ualad09:Dover,"48,310","48,118","39,878","10,884","14,679","14,315","7,920","5,833","1,582",505,320,192
ualad09:Gravesham,"40,431","40,373","32,548","6,525","13,136","12,887","7,704","6,253","1,076",375,121,58
ualad09:Maidstone,"63,447","63,281","52,997","16,212","21,545","15,240","9,712","8,242","1,116",354,572,166
ualad09:Sevenoaks,"47,020","46,993","40,278","15,627","13,605","11,046","6,182","4,900",908,374,533,27
ualad09:Shepway,"47,379","47,017","35,210","12,887","11,742","10,581","11,584","7,192","3,662",730,223,362
ualad09:Swale,"55,585","55,515","49,036","13,088","18,467","17,481","6,138","4,749",926,463,341,70
ualad09:Thanet,"59,513","59,237","43,662","12,121","17,695","13,846","15,241","10,200","4,219",822,334,276
ualad09:Tonbridge and Malling,"48,140","48,121","42,268","13,107","18,323","10,838","5,688","4,760",552,376,165,19
ualad09:Tunbridge Wells,"47,174","46,988","35,303","12,746","14,091","8,466","11,546","7,452","3,458",636,139,186
ualad09:Cherwell,"56,728","56,672","50,589","17,234","20,202","13,153","5,926","4,728",824,374,157,56
ualad09:Oxford,"55,375","54,851","37,546","5,044","16,749","15,753","17,153","13,776","2,808",569,152,524
ualad09:South Oxfordshire,"54,104","54,088","47,532","19,420","17,766","10,346","5,696","4,536",717,443,860,16
ualad09:Vale of White Horse,"49,407","49,397","42,472","18,060","15,060","9,352","6,412","5,258",813,341,513,10
ualad09:West Oxfordshire,"43,241","43,221","38,701","14,745","14,152","9,804","4,231","3,356",518,357,289,20
ualad09:Elmbridge,"52,922","52,871","40,869","17,955","13,857","9,057","11,959","10,016","1,283",660,43,51
ualad09:Epsom and Ewell,"29,784","29,738","22,907","8,105","10,617","4,185","6,813","5,757",662,394,18,46
ualad09:Guildford,"53,973","53,875","43,610","18,399","17,682","7,529","9,856","7,585","1,842",429,409,98
ualad09:Mole Valley,"35,828","35,803","28,280","13,714","10,104","4,462","6,808","5,414",991,403,715,25
ualad09:Reigate and Banstead,"55,423","55,305","41,641","15,738","16,571","9,332","13,341","11,141","1,597",603,323,118
ualad09:Runnymede,"32,714","32,636","24,931","8,937","10,813","5,181","6,684","5,664",666,354,"1,021",78
ualad09:Spelthorne,"39,512","39,447","30,020","7,835","13,884","8,301","9,167","7,937",767,463,260,65
ualad09:Surrey Heath,"33,546","33,523","28,155","15,357","8,382","4,416","5,167","4,335",573,259,201,23
ualad09:Tandridge,"33,342","33,320","26,352","12,168","9,470","4,714","6,700","5,406",862,432,268,22
ualad09:Waverley,"49,280","49,227","41,135","20,455","13,517","7,163","7,908","6,128","1,305",475,184,53
ualad09:Woking,"39,467","39,422","29,916","12,449","9,698","7,769","9,385","8,191",821,373,121,45
ualad09:Adur,"26,957","26,934","20,936","4,967","10,221","5,748","5,763","4,841",598,324,235,23
ualad09:Arun,"66,706","66,397","51,683","22,628","15,832","13,223","13,880","10,574","2,637",669,834,309
ualad09:Chichester,"49,848","49,778","41,680","18,353","14,016","9,311","7,759","6,357",973,429,339,70
ualad09:Crawley,"42,727","42,700","32,732","5,981","8,901","17,850","9,960","9,392",361,207,8,27
ualad09:Horsham,"54,923","54,882","45,409","21,310","14,707","9,392","9,111","7,888",811,412,362,41
ualad09:Mid Sussex,"57,409","57,350","46,554","20,041","17,226","9,287","10,538","8,396","1,512",630,258,59
ualad09:Worthing,"47,044","46,613","30,823","10,130","10,880","9,813","15,786","10,876","4,145",765,4,431
ualad09:Bath and North East Somerset,"73,515","73,072","57,579","16,024","20,873","20,682","15,211","9,059","5,338",814,282,443
ualad09:Bournemouth,"82,374","80,584","42,857","26,324","11,253","5,280","37,313","24,594","10,913","1,806",414,"1,790"
"ualad09:Bristol, City of","182,747","180,983","120,840","10,915","48,762","61,163","59,991","38,200","19,077","2,714",152,"1,764"
ualad09:Cornwall,"230,389","229,971","199,095","88,107","58,892","52,096","27,701","18,933","6,320","2,448","3,175",418
ualad09:Isles of Scilly,989,987,736,319,233,184,251,103,110,38,0,2
ualad09:North Somerset,"88,227","87,933","70,291","29,547","26,694","14,050","16,755","10,595","5,449",711,887,294
ualad09:Plymouth,"109,307","108,743","81,179","11,961","32,573","36,645","27,291","18,451","8,059",781,273,564
ualad09:Poole,"63,530","63,348","46,621","25,368","13,313","7,940","16,681","13,937","2,108",636,46,182
ualad09:South Gloucestershire,"107,538","107,489","95,006","28,541","36,946","29,519","11,807","9,708","1,406",693,676,49
ualad09:Swindon,"88,360","88,242","73,269","18,974","26,184","28,111","14,782","12,998","1,334",450,191,118
ualad09:Torbay,"59,010","58,605","41,924","13,432","14,448","14,044","16,490","10,049","5,474",967,191,405
ualad09:Wiltshire,"194,194","194,009","171,644","68,253","60,961","42,430","20,986","16,576","3,009","1,401","1,379",185
