2011 census qs402ew - accomodation type - households,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,
,,,,,,,,,,,,
population,All households,,,,,,,,,,,
units,Households,,,,,,,,,,,
date,2011,,,,,,,,,,,
,,,,,,,,,,,,
Area,All categories: Accommodation type,Unshared : Total,Unshared : Whole house or bungalow: Total,Unshared : Whole house or bungalow: Detached,Unshared : Whole house or bungalow: Semi-detached,Unshared : Whole house or bungalow: Terraced,"Unshared : Flat, maisonette or apartment: Total","Unshared : Flat, etc: Purpose-built flats or tenement","Unshared : Flat etc: Part of a converted or shared house","Unshared : Flat, etc: In commercial building",Unshared : Caravan etc,Shared 
uacounty09:Leicester,"123,125","122,339","95,994","13,055","43,951","38,988","26,282","21,205","3,713","1,364",63,786
uacounty09:Nottingham,"126,131","125,655","94,934","18,954","39,976","36,004","30,641","25,240","4,191","1,210",80,476
uacounty09:Rutland,"15,002","14,998","13,834","7,097","4,109","2,628","1,066",807,143,116,98,4
uacounty09:Derbyshire,"332,637","332,479","304,747","106,994","130,455","67,298","26,917","21,090","3,341","2,486",815,158
uacounty09:Leicestershire,"267,434","267,284","244,770","98,918","103,661","42,191","21,438","17,540","2,150","1,748","1,076",150
uacounty09:Lincolnshire,"306,971","306,699","278,165","140,504","89,621","48,040","25,941","20,198","3,661","2,082","2,593",272
uacounty09:Northamptonshire,"287,730","287,404","253,015","86,387","93,807","72,821","33,773","28,936","3,265","1,572",616,326
uacounty09:Nottinghamshire,"334,303","334,109","302,968","120,060","128,036","54,872","29,910","24,591","3,260","2,059","1,231",194
"uacounty09:Herefordshire, County of","78,319","78,186","68,598","33,106","21,789","13,703","8,888","6,595","1,548",745,700,133
uacounty09:Shropshire,"129,674","129,585","117,100","51,489","43,922","21,689","11,599","8,347","2,033","1,219",886,89
uacounty09:Stoke-on-Trent,"107,575","107,453","95,154","15,453","48,779","30,922","12,244","10,553","1,065",626,55,122
uacounty09:Telford and Wrekin,"66,608","66,591","59,783","20,509","24,455","14,819","6,547","5,706",500,341,261,17
uacounty09:Staffordshire,"355,263","354,974","315,801","118,863","135,835","61,103","37,377","31,522","3,544","2,311","1,796",289
uacounty09:Warwickshire,"231,005","230,574","196,940","65,489","78,575","52,876","32,360","26,145","4,301","1,914","1,274",431
