2011 census ks209ew - religion,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 9 May 2013],,,,,,,,,,,
,,,,,,,,,,,
population,All usual residents,,,,,,,,,,
units,Persons,,,,,,,,,,
date,2011,,,,,,,,,,
,,,,,,,,,,,
Area,All categories: Religion,Has religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
uacounty09:Lincolnshire,"713,653","498,292","489,184","1,345","1,486",439,"2,780",453,"2,605","164,628","50,733"
uacounty09:Northamptonshire,"691,952","442,903","414,265","2,194","8,014",679,"12,104","2,765","2,882","202,379","46,670"
uacounty09:Nottinghamshire,"785,802","500,835","481,994","1,860","3,480",717,"6,963","3,132","2,689","230,138","54,829"
"uacounty09:Herefordshire, County of","183,477","126,661","124,403",562,228,131,364,80,893,"41,766","15,050"
uacounty09:Shropshire,"306,129","213,923","210,268",792,378,127,989,256,"1,113","69,725","22,481"
uacounty09:Stoke-on-Trent,"249,008","170,329","151,624",760,"1,384",66,"14,993",579,923,"62,737","15,942"
uacounty09:Telford and Wrekin,"166,641","110,069","102,892",398,872,78,"3,019","2,118",692,"45,599","10,973"
uacounty09:Staffordshire,"848,489","600,127","578,352","2,017","2,773",299,"10,817","3,086","2,783","193,662","54,700"
uacounty09:Warwickshire,"545,474","377,090","351,891","1,733","5,699",505,"5,820","9,434","2,008","131,408","36,976"
uacounty09:Birmingham,"1,073,045","796,138","494,358","4,780","22,362","2,205","234,411","32,376","5,646","206,821","70,086"
uacounty09:Coventry,"316,960","223,737","170,090","1,067","11,152",210,"23,665","15,912","1,641","72,896","20,327"
uacounty09:Dudley,"312,925","224,590","204,320",657,"1,908",77,"12,902","3,694","1,032","68,835","19,500"
uacounty09:Sandwell,"308,063","231,613","170,075",654,"6,810",73,"25,251","26,934","1,816","57,716","18,734"
uacounty09:Solihull,"206,674","149,359","135,572",430,"3,684",353,"5,247","3,504",569,"44,187","13,128"
uacounty09:Walsall,"269,323","199,273","158,971",516,"4,560",54,"22,146","11,606","1,420","53,876","16,174"
