2011 census ks209ew - religion,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 9 May 2013],,,,,,,,,,,
,,,,,,,,,,,
population,All usual residents,,,,,,,,,,
units,Persons,,,,,,,,,,
date,2011,,,,,,,,,,
,,,,,,,,,,,
Area,All categories: Religion,Has religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
ualad09:Calderdale,"203,826","131,994","114,667",593,616,153,"14,802",355,808,"57,193","14,639"
ualad09:Kirklees,"422,458","294,239","225,751",845,"1,544",189,"61,280","3,330","1,300","100,829","27,390"
ualad09:Leeds,"751,485","488,539","419,790","2,772","7,048","6,847","40,772","8,914","2,396","212,229","50,717"
ualad09:Wakefield,"325,837","225,583","216,215",573,831,117,"6,475",399,973,"79,497","20,757"
ualad09:Derby,"248,752","163,141","131,129",822,"2,198",110,"19,006","8,891",985,"68,668","16,943"
ualad09:Leicester,"329,839","236,214","106,872","1,224","50,087",295,"61,440","14,457","1,839","75,280","18,345"
ualad09:Nottingham,"305,680","175,548","135,216","2,051","4,498","1,069","26,919","4,312","1,483","106,954","23,178"
ualad09:Rutland,"37,369","26,021","25,481",100,75,54,131,31,149,"8,728","2,620"
ualad09:Amber Valley,"122,309","76,264","74,834",253,155,79,188,172,583,"37,085","8,960"
ualad09:Bolsover,"75,866","50,183","49,447",115,81,29,146,104,261,"20,507","5,176"
ualad09:Chesterfield,"103,788","67,908","66,175",213,257,31,699,158,375,"28,238","7,642"
ualad09:Derbyshire Dales,"71,116","49,545","48,869",164,39,56,142,34,241,"16,477","5,094"
ualad09:Erewash,"112,081","66,405","64,784",213,412,42,258,284,412,"37,995","7,681"
ualad09:High Peak,"90,892","59,272","58,264",296,77,35,178,33,389,"25,057","6,563"
ualad09:North East Derbyshire,"99,023","67,736","66,773",115,92,48,268,131,309,"24,465","6,822"
ualad09:South Derbyshire,"94,611","63,056","60,522",161,264,43,331,"1,400",335,"25,334","6,221"
ualad09:Blaby,"93,915","60,296","54,594",177,"2,550",61,728,"1,849",337,"27,367","6,252"
ualad09:Charnwood,"166,100","107,047","92,233",559,"8,344",125,"3,925","1,241",620,"48,525","10,528"
ualad09:Harborough,"85,382","58,522","55,899",171,"1,088",112,423,630,199,"20,995","5,865"
ualad09:Hinckley and Bosworth,"105,078","70,016","67,559",215,871,46,517,427,381,"28,247","6,815"
ualad09:Melton,"50,376","34,829","34,239",110,211,11,41,46,171,"12,269","3,278"
ualad09:North West Leicestershire,"93,468","61,914","60,641",182,332,37,206,121,395,"25,713","5,841"
ualad09:Oadby and Wigston,"56,170","39,776","27,198",132,"5,112",136,"3,256","3,664",278,"13,007","3,387"
ualad09:Boston,"64,637","46,966","45,941",126,191,30,434,47,197,"13,143","4,528"
ualad09:East Lindsey,"136,401","95,107","93,691",226,126,84,366,49,565,"31,196","10,098"
ualad09:Lincoln,"93,541","56,419","54,265",303,335,63,902,73,478,"30,456","6,666"
ualad09:North Kesteven,"107,766","76,548","75,495",153,168,61,250,53,368,"23,583","7,635"
ualad09:South Holland,"88,270","64,736","63,861",119,100,69,258,69,260,"17,146","6,388"
ualad09:South Kesteven,"133,788","94,830","93,192",277,394,101,358,74,434,"29,665","9,293"
ualad09:West Lindsey,"89,250","63,686","62,739",141,172,31,212,88,303,"19,439","6,125"
ualad09:Corby,"61,255","37,128","36,111",126,190,44,382,125,150,"20,376","3,751"
ualad09:Daventry,"77,843","51,864","50,346",291,293,71,439,153,271,"20,701","5,278"
ualad09:East Northamptonshire,"86,765","54,440","53,187",186,277,83,232,114,361,"26,354","5,971"
ualad09:Kettering,"93,475","58,401","55,196",263,759,66,723,977,417,"28,768","6,306"
ualad09:Northampton,"212,069","135,433","119,937",924,"3,393",273,"8,806","1,063","1,037","62,404","14,232"
ualad09:South Northamptonshire,"85,189","57,367","56,017",183,357,100,290,175,245,"21,758","6,064"
ualad09:Wellingborough,"75,356","48,270","43,471",221,"2,745",42,"1,232",158,401,"22,018","5,068"
ualad09:Ashfield,"119,497","70,924","69,496",211,218,16,375,178,430,"40,414","8,159"
ualad09:Bassetlaw,"112,863","81,601","79,935",189,248,48,701,119,361,"23,558","7,704"
ualad09:Broxtowe,"109,487","66,346","61,975",413,842,143,"1,636",921,416,"35,217","7,924"
ualad09:Gedling,"113,543","68,401","64,830",308,531,92,"1,535",724,381,"37,123","8,019"
ualad09:Mansfield,"104,466","65,958","64,399",193,271,34,563,165,333,"31,472","7,036"
ualad09:Newark and Sherwood,"114,817","77,299","75,869",226,194,62,456,123,369,"29,435","8,083"
ualad09:Rushcliffe,"111,129","70,306","65,490",320,"1,176",322,"1,697",902,399,"32,919","7,904"
"ualad09:Herefordshire, County of","183,477","126,661","124,403",562,228,131,364,80,893,"41,766","15,050"
ualad09:Shropshire,"306,129","213,923","210,268",792,378,127,989,256,"1,113","69,725","22,481"
ualad09:Stoke-on-Trent,"249,008","170,329","151,624",760,"1,384",66,"14,993",579,923,"62,737","15,942"
ualad09:Telford and Wrekin,"166,641","110,069","102,892",398,872,78,"3,019","2,118",692,"45,599","10,973"
ualad09:Cannock Chase,"97,462","68,471","67,392",166,128,9,219,274,283,"23,066","5,925"
ualad09:East Staffordshire,"113,583","81,053","72,890",284,318,42,"6,815",336,368,"25,037","7,493"
ualad09:Lichfield,"100,654","71,139","69,276",196,303,69,448,540,307,"23,113","6,402"
ualad09:Newcastle-under-Lyme,"123,871","84,416","81,353",455,519,71,"1,393",215,410,"31,124","8,331"
ualad09:South Staffordshire,"108,131","81,602","79,301",182,416,15,364,"1,027",297,"19,896","6,633"
ualad09:Stafford,"130,869","92,347","88,799",457,850,64,"1,151",495,531,"29,868","8,654"
ualad09:Staffordshire Moorlands,"97,106","71,513","70,709",149,72,20,192,47,324,"19,018","6,575"
ualad09:Tamworth,"76,813","49,586","48,632",128,167,9,235,152,263,"22,540","4,687"
ualad09:North Warwickshire,"62,014","44,426","43,591",93,151,12,110,239,230,"13,589","3,999"
ualad09:Nuneaton and Bedworth,"125,252","87,548","79,627",425,"1,374",12,"2,895","2,739",476,"30,123","7,581"
ualad09:Rugby,"100,075","68,941","63,791",369,"2,291",63,"1,236",840,351,"24,281","6,853"
ualad09:Stratford-on-Avon,"120,485","86,365","84,697",325,250,150,280,243,420,"25,556","8,564"
ualad09:Warwick,"137,648","89,810","80,185",521,"1,633",268,"1,299","5,373",531,"37,859","9,979"
ualad09:Birmingham,"1,073,045","796,138","494,358","4,780","22,362","2,205","234,411","32,376","5,646","206,821","70,086"
ualad09:Coventry,"316,960","223,737","170,090","1,067","11,152",210,"23,665","15,912","1,641","72,896","20,327"
ualad09:Dudley,"312,925","224,590","204,320",657,"1,908",77,"12,902","3,694","1,032","68,835","19,500"
ualad09:Sandwell,"308,063","231,613","170,075",654,"6,810",73,"25,251","26,934","1,816","57,716","18,734"
ualad09:Solihull,"206,674","149,359","135,572",430,"3,684",353,"5,247","3,504",569,"44,187","13,128"
ualad09:Walsall,"269,323","199,273","158,971",516,"4,560",54,"22,146","11,606","1,420","53,876","16,174"
ualad09:Wolverhampton,"249,470","183,597","138,394","1,015","9,292",88,"9,062","22,689","3,057","49,821","16,052"
ualad09:Bromsgrove,"93,637","66,506","64,508",191,323,91,502,609,282,"20,645","6,486"
ualad09:Malvern Hills,"74,631","51,411","50,399",189,111,59,197,75,381,"17,805","5,415"
ualad09:Redditch,"84,214","57,228","53,434",154,206,52,"2,870",228,284,"21,712","5,274"
ualad09:Worcester,"98,768","66,830","62,911",307,249,32,"2,847",139,345,"25,419","6,519"
ualad09:Wychavon,"116,944","85,209","83,728",230,145,83,369,226,428,"23,678","8,057"
ualad09:Wyre Forest,"97,975","68,764","67,260",197,111,38,681,136,341,"22,602","6,609"
ualad09:Bedford,"157,479","109,898","93,346",509,"2,420",171,"8,610","3,336","1,506","37,229","10,352"
ualad09:Central Bedfordshire,"254,381","164,741","158,236",779,"1,668",499,"1,931",746,882,"72,355","17,285"
ualad09:Luton,"203,201","157,234","96,271",652,"6,749",326,"49,991","2,347",898,"33,594","12,373"
ualad09:Peterborough,"183,631","126,155","104,202",463,"2,320",144,"17,251","1,184",591,"45,183","12,293"
ualad09:Southend-on-Sea,"173,658","105,233","96,755",801,"1,161","2,150","3,309",149,908,"54,880","13,545"
ualad09:Thurrock,"157,705","106,749","99,891",615,"1,178",221,"3,164","1,224",456,"41,061","9,895"
ualad09:Cambridge,"123,867","65,828","55,514","1,573","2,058",870,"4,897",213,703,"46,839","11,200"
ualad09:East Cambridgeshire,"83,818","53,622","52,243",285,149,122,369,117,337,"23,565","6,631"
ualad09:Fenland,"95,262","64,578","63,242",182,193,108,395,113,345,"23,846","6,838"
ualad09:Huntingdonshire,"169,508","107,217","103,070",524,619,190,"1,865",266,683,"50,025","12,266"
ualad09:South Cambridgeshire,"148,755","91,866","87,463",700,"1,123",362,"1,464",186,568,"44,741","12,148"
ualad09:Basildon,"174,497","109,699","105,158",526,"1,238",424,"1,622",148,583,"52,923","11,875"
ualad09:Braintree,"147,084","92,474","90,114",355,445,199,685,93,583,"44,111","10,499"
ualad09:Brentwood,"73,601","52,829","50,502",300,776,272,649,111,219,"15,556","5,216"
ualad09:Castle Point,"88,011","57,764","56,372",214,269,183,378,38,310,"23,967","6,280"
ualad09:Chelmsford,"168,310","109,092","104,256",550,"1,213",330,"2,012",160,571,"47,403","11,815"
ualad09:Colchester,"173,074","106,132","99,879",982,"1,274",264,"2,762",182,789,"54,354","12,588"
ualad09:Epping Forest,"124,659","87,248","77,053",416,"1,745","3,972","2,377","1,253",432,"28,061","9,350"
ualad09:Harlow,"81,944","48,733","45,365",333,635,237,"1,745",79,339,"27,789","5,422"
ualad09:Maldon,"61,629","40,755","40,046",152,60,99,171,28,199,"16,365","4,509"
ualad09:Rochford,"83,287","54,021","52,787",165,226,255,296,12,280,"23,228","6,038"
ualad09:Tendring,"138,048","89,978","88,216",319,223,200,400,44,576,"37,477","10,593"
ualad09:Uttlesford,"79,443","52,719","51,158",381,191,227,429,49,284,"20,813","5,911"
ualad09:Broxbourne,"93,609","64,808","60,856",277,710,316,"2,287",90,272,"22,293","6,508"
ualad09:Dacorum,"144,847","91,295","84,228",622,"1,905",678,"3,116",174,572,"42,758","10,794"
ualad09:East Hertfordshire,"137,687","89,488","86,393",435,616,454,989,161,440,"38,205","9,994"
ualad09:Hertsmere,"100,031","73,038","51,724",591,"3,172","14,293","2,402",164,692,"19,176","7,817"
ualad09:North Hertfordshire,"127,114","79,047","72,415",617,"1,246",270,"1,453","2,447",599,"38,661","9,406"
ualad09:St Albans,"140,664","93,949","83,988",615,"1,777","1,664","5,167",303,435,"36,278","10,437"
ualad09:Stevenage,"83,957","49,707","45,705",442,996,147,"1,654",303,460,"28,606","5,644"
ualad09:Three Rivers,"87,317","61,250","52,330",345,"3,963","1,611","1,947",464,590,"19,933","6,134"
ualad09:Watford,"90,301","64,881","48,891",659,"4,348","1,023","8,905",566,489,"19,330","6,090"
ualad09:Welwyn Hatfield,"110,535","71,871","63,599",899,"2,775",889,"2,810",376,523,"30,806","7,858"
ualad09:Breckland,"130,491","84,884","83,252",277,139,141,409,63,603,"35,977","9,630"
ualad09:Broadland,"124,646","80,606","78,938",342,252,117,377,72,508,"34,845","9,195"
ualad09:Great Yarmouth,"97,277","60,835","59,383",237,255,108,518,6,328,"29,430","7,012"
ualad09:King`s Lynn and West Norfolk,"147,451","99,949","97,868",417,346,127,544,82,565,"36,533","10,969"
ualad09:North Norfolk,"101,499","68,162","66,973",286,51,123,158,21,550,"25,586","7,751"
ualad09:Norwich,"132,512","65,417","59,515",978,"1,017",241,"2,612",168,886,"56,268","10,827"
ualad09:South Norfolk,"124,012","78,904","77,234",364,235,126,403,49,493,"35,601","9,507"
ualad09:Babergh,"87,740","56,398","55,465",214,85,116,196,11,311,"24,914","6,428"
ualad09:Forest Heath,"59,748","39,334","38,228",190,157,81,364,40,274,"15,897","4,517"
ualad09:Ipswich,"133,384","77,048","70,797",495,"1,102",83,"3,577",343,651,"46,687","9,649"
ualad09:Mid Suffolk,"96,731","62,564","61,670",209,105,78,152,17,333,"26,652","7,515"
ualad09:St Edmundsbury,"111,008","70,839","69,136",313,259,118,602,61,350,"32,111","8,058"
ualad09:Suffolk Coastal,"124,298","80,502","78,400",367,437,138,539,121,500,"34,348","9,448"
ualad09:Waveney,"115,254","71,370","69,936",306,129,63,388,33,515,"35,312","8,572"
ualad09:Camden,"220,338","118,949","74,821","2,789","3,141","9,823","26,643",465,"1,267","56,113","45,276"
ualad09:City of London,"7,375","4,202","3,344",92,145,166,409,18,28,"2,522",651
ualad09:Hackney,"246,270","153,170","95,131","3,075","1,577","15,477","34,727","1,872","1,311","69,454","23,646"
ualad09:Hammersmith and Fulham,"182,493","123,667","98,808","2,060","2,097","1,161","18,242",442,857,"43,487","15,339"
ualad09:Haringey,"254,926","167,911","114,659","2,829","4,539","7,643","36,130",808,"1,303","64,202","22,813"
ualad09:Islington,"206,125","110,076","82,879","2,117","2,108","1,915","19,521",569,967,"61,911","34,138"
ualad09:Kensington and Chelsea,"158,649","110,011","86,005","2,447","1,386","3,320","15,812",263,778,"32,669","15,969"
ualad09:Lambeth,"303,086","191,782","160,944","2,963","3,119","1,134","21,500",440,"1,682","84,803","26,501"
ualad09:Lewisham,"275,885","176,225","145,588","3,664","6,562",643,"17,759",531,"1,478","75,155","24,505"
ualad09:Newham,"307,984","258,836","123,119","2,446","26,962",342,"98,456","6,421","1,090","29,373","19,775"
ualad09:Southwark,"288,283","186,574","151,462","3,884","3,668","1,006","24,551",653,"1,350","77,098","24,611"
ualad09:Tower Hamlets,"254,096","166,359","68,808","2,726","4,200","1,283","87,696",821,825,"48,648","39,089"
ualad09:Wandsworth,"306,995","200,138","162,590","2,574","6,496","1,617","24,746",832,"1,283","82,740","24,117"
ualad09:Westminster,"219,396","154,335","97,877","3,194","4,178","7,237","40,073",496,"1,280","44,542","20,519"
ualad09:Barking and Dagenham,"185,911","138,837","104,101",842,"4,464",425,"25,520","2,952",533,"35,106","11,968"
ualad09:Barnet,"356,386","269,172","146,866","4,521","21,924","54,084","36,744","1,269","3,764","57,297","29,917"
ualad09:Bexley,"231,997","159,776","144,093","1,377","3,547",234,"5,645","4,156",724,"55,995","16,226"
ualad09:Brent,"311,215","256,699","129,080","4,300","55,449","4,357","58,036","1,709","3,768","33,054","21,462"
ualad09:Bromley,"309,392","204,895","187,656","1,580","4,987",957,"7,841",736,"1,138","80,303","24,194"
ualad09:Croydon,"363,378","262,967","205,022","2,381","21,739",709,"29,513","1,450","2,153","72,654","27,757"
ualad09:Ealing,"338,449","264,292","148,055","4,228","28,915","1,131","53,198","26,778","1,987","50,848","23,309"
ualad09:Enfield,"312,466","239,749","167,417","1,824","10,927","4,412","52,141","1,078","1,950","48,522","24,195"
ualad09:Greenwich,"254,557","170,286","134,632","4,223","9,087",492,"17,349","3,490","1,013","65,034","19,237"
ualad09:Harrow,"239,056","201,404","89,181","2,700","60,407","10,538","29,881","2,752","5,945","22,871","14,781"
ualad09:Havering,"237,232","167,884","155,597",760,"2,963","1,159","4,829","1,928",648,"53,549","15,799"
ualad09:Hillingdon,"273,936","209,949","134,813","2,386","22,033","1,753","29,065","18,230","1,669","46,492","17,495"
ualad09:Hounslow,"253,957","197,144","106,660","3,617","26,261",651,"35,666","22,749","1,540","40,351","16,462"
ualad09:Kingston upon Thames,"160,060","106,244","84,684","1,771","7,502",775,"9,474","1,236",802,"41,183","12,633"
ualad09:Merton,"199,693","144,441","111,993","1,884","12,203",791,"16,262",498,810,"41,231","14,021"
ualad09:Redbridge,"278,970","230,231","102,755","1,840","31,699","10,213","64,999","17,377","1,348","30,691","18,048"
ualad09:Richmond upon Thames,"186,990","117,955","103,319","1,577","3,051","1,409","6,128","1,581",890,"53,195","15,840"
ualad09:Sutton,"190,146","129,825","111,086","1,368","8,038",486,"7,726",325,796,"46,817","13,504"
ualad09:Waltham Forest,"258,249","192,845","124,939","1,987","5,917","1,259","56,541","1,209",993,"46,462","18,942"
ualad09:Bracknell Forest,"113,205","73,570","68,524",825,"1,824",176,"1,276",455,490,"32,184","7,451"
ualad09:Brighton and Hove,"273,369","133,326","117,276","2,742","1,792","2,670","6,095",342,"2,409","115,954","24,089"
ualad09:Isle of Wight,"138,265","86,040","83,671",459,312,124,524,45,905,"40,950","11,275"
ualad09:Medway,"263,925","166,945","152,637",937,"2,756",208,"5,169","3,846","1,392","78,995","17,985"
ualad09:Milton Keynes,"248,821","154,444","131,352","1,246","6,918",427,"11,913","1,372","1,216","77,939","16,438"
ualad09:Portsmouth,"205,056","118,358","106,999","1,162","1,282",235,"7,162",468,"1,050","71,826","14,872"
ualad09:Reading,"155,698","98,395","77,848","1,876","5,661",355,"11,007",947,701,"45,931","11,372"
ualad09:Slough,"140,205","115,225","57,726",743,"8,643",87,"32,655","14,889",482,"17,024","7,956"
ualad09:Southampton,"236,882","140,793","122,018","1,331","2,482",254,"9,903","3,476","1,329","79,379","16,710"
ualad09:West Berkshire,"153,822","101,770","97,896",495,"1,106",212,"1,218",236,607,"41,042","11,010"
ualad09:Windsor and Maidenhead,"144,560","103,104","90,051",780,"2,660",475,"5,684","2,941",513,"31,353","10,103"
ualad09:Wokingham,"154,380","103,017","91,905",572,"3,183",508,"4,352","2,043",454,"40,143","11,220"
ualad09:Aylesbury Vale,"174,137","117,369","107,432",657,"1,350",321,"6,783",238,588,"44,520","12,248"
ualad09:Chiltern,"92,635","63,736","58,553",327,"1,206",507,"2,311",489,343,"21,818","7,081"
ualad09:South Bucks,"66,867","48,977","41,637",310,"1,685",289,"1,665","3,163",228,"13,270","4,620"
ualad09:Wycombe,"171,644","117,925","98,182",913,"2,003",394,"15,022",767,644,"41,582","12,137"
ualad09:Eastbourne,"99,412","62,451","59,232",482,429,211,"1,458",53,586,"28,995","7,966"
ualad09:Hastings,"90,254","49,737","46,832",475,423,142,"1,159",38,668,"33,066","7,451"
ualad09:Lewes,"97,502","57,841","55,572",489,257,320,558,42,603,"31,641","8,020"
ualad09:Rother,"90,588","60,334","58,706",290,171,170,460,12,525,"22,864","7,390"
ualad09:Wealden,"148,915","97,948","95,317",454,221,231,566,33,"1,126","39,157","11,810"
ualad09:Basingstoke and Deane,"167,799","105,951","100,482",872,"1,994",172,"1,464",329,638,"49,770","12,078"
ualad09:East Hampshire,"115,608","76,558","74,744",393,278,166,421,50,506,"30,380","8,670"
ualad09:Eastleigh,"125,199","81,080","77,485",356,820,92,975,854,498,"35,639","8,480"
ualad09:Fareham,"111,581","72,919","71,158",274,299,63,538,79,508,"30,578","8,084"
ualad09:Gosport,"82,622","49,957","48,616",198,189,37,452,38,427,"27,114","5,551"
ualad09:Hart,"91,033","61,104","58,817",466,720,101,509,199,292,"23,504","6,425"
ualad09:Havant,"120,684","73,249","71,475",267,233,81,570,60,563,"38,925","8,510"
ualad09:New Forest,"176,462","117,362","115,021",429,217,220,485,79,911,"45,374","13,726"
ualad09:Rushmoor,"93,807","62,491","54,206","3,092","3,222",65,"1,356",183,367,"24,773","6,543"
ualad09:Test Valley,"116,398","78,951","76,446",333,496,114,671,395,496,"29,195","8,252"
ualad09:Winchester,"116,595","76,099","73,729",566,460,175,558,123,488,"31,808","8,688"
ualad09:Ashford,"117,956","78,000","74,253",803,"1,282",116,"1,019",95,432,"30,984","8,972"
ualad09:Canterbury,"151,145","96,167","91,122",880,"1,055",267,"1,838",245,760,"43,117","11,861"
ualad09:Dartford,"97,365","64,488","59,045",382,"1,547",86,"1,566","1,543",319,"26,486","6,391"
ualad09:Dover,"111,674","73,939","71,541",523,682,97,521,50,525,"29,047","8,688"
ualad09:Gravesham,"101,720","73,463","61,891",333,942,54,"1,894","7,743",606,"21,862","6,395"
ualad09:Maidstone,"155,143","102,607","97,578",901,"1,492",163,"1,685",176,612,"41,493","11,043"
ualad09:Sevenoaks,"114,893","77,245","75,169",367,385,196,600,180,348,"28,939","8,709"
ualad09:Shepway,"107,969","71,223","67,296",962,"1,551",78,796,34,506,"28,575","8,171"
ualad09:Swale,"135,835","87,720","85,535",275,368,93,792,158,499,"39,087","9,028"
ualad09:Thanet,"134,186","85,864","82,447",491,639,273,"1,230",94,690,"38,383","9,939"
ualad09:Tonbridge and Malling,"120,805","79,353","76,920",441,539,122,750,169,412,"32,996","8,456"
ualad09:Tunbridge Wells,"115,049","75,275","72,403",444,461,232,"1,241",58,436,"30,622","9,152"
ualad09:Cherwell,"141,868","96,063","90,564",563,575,164,"3,196",438,563,"36,066","9,739"
ualad09:Oxford,"151,906","89,021","72,924","1,431","2,044","1,072","10,320",434,796,"50,274","12,611"
ualad09:South Oxfordshire,"134,257","87,833","85,292",467,472,281,710,106,505,"36,398","10,026"
ualad09:Vale of White Horse,"120,988","79,496","76,589",462,566,196,"1,073",177,433,"32,505","8,987"
ualad09:West Oxfordshire,"104,779","70,163","68,537",334,221,180,435,37,419,"27,101","7,515"
ualad09:Elmbridge,"130,875","90,419","83,973",685,"1,593",795,"2,406",523,444,"30,606","9,850"
ualad09:Epsom and Ewell,"75,102","51,521","46,222",480,"1,913",239,"2,277",125,265,"18,254","5,327"
ualad09:Guildford,"137,183","88,474","82,621",842,"1,301",322,"2,713",206,469,"38,108","10,601"
ualad09:Mole Valley,"85,375","57,119","54,926",330,564,212,669,85,333,"21,514","6,742"
ualad09:Reigate and Banstead,"137,835","91,439","85,325",618,"1,880",294,"2,637",205,480,"36,262","10,134"
ualad09:Runnymede,"80,510","55,402","51,037",505,"1,181",251,"1,556",551,321,"19,297","5,811"
ualad09:Spelthorne,"95,598","67,392","60,954",420,"2,332",206,"1,808","1,325",347,"21,511","6,695"
ualad09:Surrey Heath,"86,144","59,355","54,646",736,"1,369",162,"1,607",483,352,"20,610","6,179"
ualad09:Tandridge,"82,998","55,799","53,841",295,612,132,596,60,263,"20,976","6,223"
ualad09:Waverley,"121,572","81,581","79,220",432,321,228,786,69,525,"30,745","9,246"
ualad09:Woking,"99,198","68,999","58,345",676,"1,952",214,"7,323",151,338,"22,931","7,268"
ualad09:Adur,"61,182","37,386","35,829",211,138,221,611,30,346,"19,162","4,634"
ualad09:Arun,"149,518","100,132","97,618",425,306,243,806,45,689,"37,829","11,557"
ualad09:Chichester,"113,794","77,145","75,248",492,276,163,419,31,516,"27,947","8,702"
ualad09:Crawley,"106,597","72,031","57,782",401,"4,892",98,"7,681",729,448,"27,756","6,810"
ualad09:Horsham,"131,301","85,587","83,316",420,355,199,673,92,532,"35,355","10,359"
ualad09:Mid Sussex,"139,860","91,545","87,757",508,855,283,"1,130",88,924,"37,218","11,097"
ualad09:Worthing,"104,640","64,326","60,817",600,546,227,"1,348",122,666,"31,577","8,737"
ualad09:Bath and North East Somerset,"176,016","103,452","99,468",941,535,254,"1,179",140,935,"57,626","14,938"
ualad09:Bournemouth,"183,491","113,314","104,828","1,215","1,292","1,343","3,264",156,"1,216","55,911","14,266"
"ualad09:Bristol, City of","428,234","233,234","200,254","2,549","2,712",777,"22,016","2,133","2,793","160,218","34,782"
ualad09:Cornwall,"532,273","325,597","318,357","1,726",556,389,855,105,"3,609","161,320","45,356"
ualad09:Isles of Scilly,"2,203","1,247","1,218",9,1,4,3,0,12,742,214
ualad09:North Somerset,"202,566","126,499","123,545",554,340,157,869,95,939,"60,867","15,200"
ualad09:Plymouth,"256,384","153,898","148,917",881,567,168,"2,078",89,"1,198","84,295","18,191"
ualad09:Poole,"147,645","92,527","89,243",538,511,404,"1,035",79,717,"43,922","11,196"
ualad09:South Gloucestershire,"262,767","162,725","156,504",708,"1,681",145,"2,176",623,888,"80,607","19,435"
ualad09:Swindon,"209,156","130,071","120,287","1,209","2,597",151,"3,538","1,228","1,061","64,780","14,305"
ualad09:Torbay,"130,959","84,814","82,924",389,128,109,521,41,702,"36,035","10,110"
ualad09:Wiltshire,"470,981","309,758","301,651","1,621","1,308",384,"2,074",303,"2,417","125,045","36,178"
ualad09:East Devon,"132,457","88,381","86,934",351,55,142,229,13,657,"33,280","10,796"
ualad09:Exeter,"117,773","67,382","63,486",683,372,155,"1,855",160,671,"40,862","9,529"
ualad09:Mid Devon,"77,750","49,122","48,273",224,96,46,112,5,366,"22,122","6,506"
ualad09:North Devon,"93,667","58,673","57,426",283,101,52,281,57,473,"26,983","8,011"
ualad09:South Hams,"83,140","52,654","51,181",468,56,109,201,5,634,"23,068","7,418"
ualad09:Teignbridge,"124,220","78,841","77,289",414,74,95,231,11,727,"34,939","10,440"
ualad09:Torridge,"63,839","40,845","40,110",151,30,37,92,5,420,"17,537","5,457"
ualad09:West Devon,"53,553","34,724","34,079",152,34,49,90,7,313,"14,254","4,575"
ualad09:Christchurch,"47,752","32,776","32,057",157,51,96,146,5,264,"11,291","3,685"
ualad09:East Dorset,"87,166","59,381","58,251",156,103,148,352,12,359,"21,103","6,682"
ualad09:North Dorset,"68,583","46,743","45,631",262,221,92,186,10,341,"16,323","5,517"
ualad09:Purbeck,"44,973","29,679","29,239",111,5,36,69,2,217,"11,642","3,652"
ualad09:West Dorset,"99,264","66,198","64,793",334,121,86,257,13,594,"24,783","8,283"
ualad09:Weymouth and Portland,"65,167","40,945","39,766",260,49,61,308,46,455,"19,079","5,143"
ualad09:Cheltenham,"115,732","71,306","67,955",505,938,160,"1,087",147,514,"35,593","8,833"
ualad09:Cotswold,"82,881","57,862","56,923",217,114,123,164,7,314,"18,979","6,040"
ualad09:Forest of Dean,"81,961","54,807","53,912",200,57,46,94,57,441,"20,646","6,508"
ualad09:Gloucester,"121,688","81,488","75,881",311,728,50,"3,885",134,499,"31,851","8,349"
ualad09:Stroud,"112,779","71,682","69,921",366,122,107,238,40,888,"31,968","9,129"
ualad09:Tewkesbury,"81,943","55,662","54,552",173,263,53,273,64,284,"20,459","5,822"
ualad09:Mendip,"109,279","69,895","67,683",510,113,81,270,14,"1,224","29,913","9,471"
ualad09:Sedgemoor,"114,588","75,410","74,069",256,74,45,341,48,577,"30,399","8,779"
ualad09:South Somerset,"161,243","108,211","106,336",376,135,124,417,15,808,"40,637","12,395"
ualad09:Taunton Deane,"110,187","69,994","68,419",357,179,69,399,14,557,"31,436","8,757"
ualad09:West Somerset,"34,675","23,087","22,704",113,5,18,43,9,195,"8,686","2,902"
ualad09:Anglesey,"69,751","46,200","45,400",165,45,40,250,43,257,"17,797","5,754"
ualad09:Gwynedd,"121,874","75,276","72,503",426,238,55,"1,378",39,637,"36,163","10,435"
ualad09:Conwy,"115,228","76,199","74,506",347,206,62,583,17,478,"30,017","9,012"
ualad09:Denbighshire,"93,734","61,416","60,129",266,167,32,469,8,345,"25,132","7,186"
ualad09:Flintshire,"152,506","102,743","101,298",344,158,70,482,29,362,"38,726","11,037"
ualad09:Wrexham,"134,844","87,746","85,576",351,504,58,860,87,310,"36,927","10,171"
ualad09:Powys,"132,976","84,173","82,120",567,324,80,235,49,798,"37,050","11,753"
ualad09:Ceredigion,"75,922","45,890","43,981",355,197,64,521,30,742,"23,329","6,703"
ualad09:Pembrokeshire,"122,439","78,973","77,162",422,230,50,425,36,648,"33,442","10,024"
ualad09:Carmarthenshire,"183,777","116,082","113,534",420,351,82,625,125,945,"53,036","14,659"
ualad09:Swansea,"239,023","139,981","131,451",856,780,159,"5,415",278,"1,042","81,219","17,823"
ualad09:Neath Port Talbot,"139,812","82,360","80,646",312,144,39,573,113,533,"47,265","10,187"
ualad09:Bridgend,"139,178","78,355","76,625",357,270,33,529,46,495,"51,062","9,761"
ualad09:The Vale of Glamorgan,"126,336","75,487","73,384",356,269,90,785,75,528,"41,556","9,293"
ualad09:Cardiff,"346,090","211,350","177,743","1,690","4,736",802,"23,656","1,317","1,406","109,960","24,780"
