2011 census qs113ew - household composition - households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
population,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
units,Households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All categories: Household composition,One person household: Total,One person household: Aged 65 and over,One person household: Other,One family only: Total,One family only: All aged 65 and over,One family only: Married cple: Total,One family only: Married cple: No kids,One family only: Married cple: One dep child,One family only: Married cple: Two or more dep kids,One family only: Married cple: All kids non-dep,One family only: Same-sex civ part cple: Total,One family only: Same-sex civ part cple: No kids,Same-sex civ part cple: One dep child,Same-sex civ part cple: Two plus dep kids,One family only: Same-sex civ part cple: All kids non-dep,One family only: Cohabiting cple: Total,One family only: Cohabiting cple: No kids,One family only: Cohabiting cple: One dep child,One family only: Cohabiting cple: Two or more dep kids,One family only: Cohabiting cple: All kids non-dep,One family only: Lone parent: Total,One family only: Lone parent: One dep child,One family only: Lone parent: Two or more dep kids,One family only: Lone parent: All kids non-dep,Other: Total,Other: With one dep child,Other: With two or more dep kids,Other: All full-time students,Other: All aged 65 and over,Other: Other
uacounty09:Bury,"78,113","24,263","9,658","14,605","49,797","5,997","26,655","9,507","4,835","7,567","4,746",77,69,2,5,1,"7,962","3,875","1,840","1,821",426,"9,106","3,414","2,688","3,004","4,053",863,781,24,180,"2,205"
uacounty09:Manchester,"204,969","72,255","18,891","53,364","100,320","6,292","42,554","12,951","8,478","14,261","6,864",432,389,18,12,13,"22,341","13,633","3,843","3,904",961,"28,701","10,988","9,284","8,429","32,394","3,530","3,988","6,532",484,"17,860"
uacounty09:Oldham,"89,703","26,790","11,466","15,324","56,511","6,110","29,430","9,916","5,235","8,958","5,321",51,43,2,2,4,"9,158","3,881","2,275","2,338",664,"11,762","4,592","3,556","3,614","6,402","1,399","1,989",39,145,"2,830"
uacounty09:Rochdale,"87,552","28,183","10,773","17,410","53,685","5,671","27,237","9,587","4,838","7,962","4,850",82,69,5,3,5,"9,284","4,106","2,287","2,310",581,"11,411","4,619","3,312","3,480","5,684","1,283","1,613",25,161,"2,602"
uacounty09:Salford,"103,556","37,751","12,569","25,182","57,807","5,879","26,119","9,391","4,959","6,850","4,919",183,163,10,9,1,"11,668","6,417","2,303","2,387",561,"13,958","5,776","4,159","4,023","7,998","1,216","1,061",636,253,"4,832"
uacounty09:Stockport,"121,979","38,535","16,878","21,657","77,407","10,746","41,284","14,339","7,471","11,731","7,743",131,113,12,6,0,"11,496","5,998","2,468","2,442",588,"13,750","5,477","3,573","4,700","6,037","1,329","1,215",12,299,"3,182"
uacounty09:Tameside,"94,953","31,037","12,138","18,899","58,778","6,455","29,139","10,809","5,304","7,154","5,872",93,79,6,8,0,"10,906","4,871","2,760","2,600",675,"12,185","4,917","3,437","3,831","5,138","1,232","1,145",10,195,"2,556"
uacounty09:Trafford,"94,484","28,179","12,081","16,098","60,249","7,419","33,209","10,584","6,378","10,583","5,664",128,109,10,6,3,"9,064","4,926","1,868","1,812",458,"10,429","3,841","2,950","3,638","6,056","1,089","1,209",38,247,"3,473"
uacounty09:Wigan,"136,386","40,053","15,927","24,126","90,171","11,056","46,943","17,396","8,684","11,197","9,666",126,106,9,7,4,"15,558","6,976","3,880","3,820",882,"16,488","6,622","4,361","5,505","6,162","1,493","1,188",22,272,"3,187"
uacounty09:Lancashire,"496,299","154,167","65,880","88,287","313,162","45,198","167,080","65,443","28,378","43,775","29,484",481,412,31,25,13,"48,264","23,958","10,768","10,805","2,733","52,139","20,520","14,785","16,834","28,970","5,547","5,361","2,159","1,409","14,494"
uacounty09:Knowsley,"61,323","19,041","7,932","11,109","38,290","4,009","17,641","5,453","3,256","4,264","4,668",38,32,1,2,3,"5,595","2,277","1,341","1,531",446,"11,007","4,125","3,202","3,680","3,992","1,095",793,1,231,"1,872"
uacounty09:Liverpool,"206,515","80,973","24,610","56,363","106,432","10,151","46,533","14,735","8,606","11,745","11,447",171,134,14,13,10,"17,397","9,257","3,512","3,616","1,012","32,180","12,526","8,638","11,016","19,110","2,724","2,256","3,531",757,"9,842"
