2011 census qs113ew - household composition - households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
population,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
units,Households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All categories: Household composition,One person household: Total,One person household: Aged 65 and over,One person household: Other,One family only: Total,One family only: All aged 65 and over,One family only: Married cple: Total,One family only: Married cple: No kids,One family only: Married cple: One dep child,One family only: Married cple: Two or more dep kids,One family only: Married cple: All kids non-dep,One family only: Same-sex civ part cple: Total,One family only: Same-sex civ part cple: No kids,Same-sex civ part cple: One dep child,Same-sex civ part cple: Two plus dep kids,One family only: Same-sex civ part cple: All kids non-dep,One family only: Cohabiting cple: Total,One family only: Cohabiting cple: No kids,One family only: Cohabiting cple: One dep child,One family only: Cohabiting cple: Two or more dep kids,One family only: Cohabiting cple: All kids non-dep,One family only: Lone parent: Total,One family only: Lone parent: One dep child,One family only: Lone parent: Two or more dep kids,One family only: Lone parent: All kids non-dep,Other: Total,Other: With one dep child,Other: With two or more dep kids,Other: All full-time students,Other: All aged 65 and over,Other: Other
uacounty09:Cambridgeshire,"251,241","68,780","29,408","39,372","163,861","22,546","94,675","37,084","16,206","27,973","13,412",363,312,23,23,5,"27,344","15,625","5,112","5,376","1,231","18,933","6,780","5,478","6,675","18,600","2,838","2,517","1,147",661,"11,437"
uacounty09:Essex,"581,589","165,217","76,477","88,740","383,935","56,817","213,323","78,494","35,798","61,130","37,901",560,473,38,38,11,"56,897","29,354","11,614","12,816","3,113","56,338","19,966","16,783","19,589","32,437","5,781","5,360","1,125","1,704","18,467"
uacounty09:Hertfordshire,"453,817","128,815","53,926","74,889","295,270","37,255","168,517","53,951","30,980","55,945","27,641",430,379,15,25,11,"44,836","24,242","8,892","9,431","2,271","44,232","16,043","13,001","15,188","29,732","5,142","4,968","1,467","1,001","17,154"
uacounty09:Norfolk,"372,085","109,134","53,297","55,837","240,297","43,050","125,083","55,395","19,612","30,470","19,606",524,462,30,19,13,"40,015","21,491","7,929","8,647","1,948","31,625","11,734","9,243","10,648","22,654","3,529","2,963","1,488","1,429","13,245"
uacounty09:Suffolk,"310,745","90,013","42,599","47,414","204,457","33,508","111,009","46,404","17,526","30,341","16,738",364,313,24,20,7,"32,142","17,097","6,505","6,996","1,544","27,434","10,297","8,012","9,125","16,275","2,908","2,541",72,"1,004","9,750"
uacounty09:Camden,"97,534","39,531","10,113","29,418","41,503","2,593","19,192","6,622","3,733","6,528","2,309",469,444,10,6,9,"9,534","7,295","1,019",918,302,"9,715","3,522","2,768","3,425","16,500","1,399","1,645","2,322",339,"10,795"
uacounty09:City of London,"4,385","2,472",526,"1,946","1,523",137,767,466,130,113,58,47,47,0,0,0,419,351,44,19,5,153,73,18,62,390,20,14,30,16,310
uacounty09:Hackney,"101,690","35,635","7,421","28,214","46,272","1,469","18,695","4,959","3,795","7,434","2,507",360,314,26,16,4,"10,551","7,399","1,494","1,364",294,"15,197","5,995","4,775","4,427","19,783","1,933","2,262",669,232,"14,687"
uacounty09:Hammersmith and Fulham,"80,590","30,148","7,058","23,090","34,880","1,621","16,661","5,808","3,483","5,426","1,944",247,240,1,4,2,"7,433","5,838",770,611,214,"8,918","3,305","2,486","3,127","15,562","1,158","1,221","1,166",225,"11,792"
uacounty09:Haringey,"101,955","32,524","7,974","24,550","52,069","2,538","23,722","6,810","5,018","8,287","3,607",369,334,15,16,4,"10,098","6,604","1,622","1,552",320,"15,342","6,250","4,494","4,598","17,362","2,322","2,407",551,220,"11,862"
uacounty09:Islington,"93,556","36,240","7,597","28,643","41,415","1,797","15,886","5,993","3,110","4,582","2,201",544,515,19,9,1,"10,767","8,422","1,143",915,287,"12,421","4,943","3,666","3,812","15,901","1,263","1,290","1,290",204,"11,854"
uacounty09:Kensington and Chelsea,"78,536","36,524","8,240","28,284","32,269","2,200","17,033","6,814","3,239","5,104","1,876",340,321,9,2,8,"6,247","5,020",579,457,191,"6,449","2,280","1,536","2,633","9,743",928,"1,148",826,204,"6,637"
uacounty09:Lambeth,"130,017","44,691","9,208","35,483","58,657","2,270","22,780","7,350","5,134","7,244","3,052",633,591,19,5,18,"13,913","9,944","1,907","1,675",387,"19,061","7,510","6,049","5,502","26,669","2,750","2,554",859,227,"20,279"
uacounty09:Lewisham,"116,091","39,680","9,994","29,686","59,590","3,134","25,872","7,652","5,546","8,571","4,103",370,333,22,13,2,"11,419","6,755","2,039","2,161",464,"18,795","7,864","5,437","5,494","16,821","2,583","2,674",718,307,"10,539"
uacounty09:Newham,"101,519","26,536","7,001","19,535","49,217","1,975","26,323","5,500","5,577","10,882","4,364",143,133,4,5,1,"5,789","3,028","1,155","1,259",347,"14,987","5,213","5,087","4,687","25,766","4,837","5,796","1,791",219,"13,123"
uacounty09:Southwark,"120,422","40,307","9,008","31,299","56,510","2,291","23,131","7,783","5,231","7,026","3,091",616,586,17,8,5,"13,368","8,825","2,178","1,917",448,"17,104","6,621","5,395","5,088","23,605","2,895","2,757","1,747",245,"15,961"
uacounty09:Tower Hamlets,"101,257","35,047","6,038","29,009","44,341","1,295","22,263","6,908","4,145","9,062","2,148",411,395,10,2,4,"9,613","7,606",932,850,225,"10,759","4,059","3,268","3,432","21,869","1,799","2,789","1,974",162,"15,145"
uacounty09:Wandsworth,"130,493","42,106","10,385","31,721","63,016","3,045","31,686","11,009","6,882","10,265","3,530",529,509,9,10,1,"15,418","12,391","1,430","1,300",297,"12,338","4,646","3,263","4,429","25,371","1,944","1,903",965,299,"20,260"
uacounty09:Westminster,"105,772","47,893","11,035","36,858","42,784","2,712","21,612","8,776","4,221","6,176","2,439",499,492,2,2,3,"8,452","7,033",673,523,223,"9,509","3,357","2,645","3,507","15,095","1,232","1,268","1,297",258,"11,040"
uacounty09:Barking and Dagenham,"69,681","19,215","7,347","11,868","41,787","2,884","20,162","4,967","4,238","7,271","3,686",45,36,4,2,3,"5,426","2,022","1,231","1,805",368,"13,270","5,204","4,805","3,261","8,679","1,992","2,385",235,181,"3,886"
uacounty09:Barnet,"135,916","37,957","14,407","23,550","79,382","7,784","46,627","12,046","9,439","16,856","8,286",174,162,2,8,2,"9,043","5,552","1,593","1,434",464,"15,754","5,613","4,456","5,685","18,577","2,923","3,177",645,443,"11,389"
uacounty09:Bexley,"92,604","25,789","11,992","13,797","60,019","7,605","32,219","9,487","5,982","9,846","6,904",72,63,7,2,0,"8,434","3,776","1,906","2,185",567,"11,689","3,999","3,708","3,982","6,796","1,385","1,664",205,316,"3,226"
uacounty09:Brent,"110,286","30,616","8,808","21,808","56,451","3,816","30,650","6,652","6,416","10,602","6,980",126,117,5,0,4,"6,503","3,863","1,192","1,098",350,"15,356","5,138","4,655","5,563","23,219","4,141","4,660",595,437,"13,386"
uacounty09:Bromley,"130,862","40,815","16,856","23,959","81,743","10,661","44,852","14,244","8,630","13,883","8,095",204,189,5,9,1,"11,584","6,389","2,320","2,283",592,"14,442","5,177","4,454","4,811","8,304","1,443","1,545",56,426,"4,834"
uacounty09:Croydon,"145,010","43,043","14,107","28,936","85,662","7,394","43,245","12,510","8,888","13,564","8,283",235,209,8,9,9,"11,628","5,870","2,470","2,564",724,"23,160","9,684","7,137","6,339","16,305","3,146","3,583",319,387,"8,870"
uacounty09:Ealing,"124,082","35,329","11,328","24,001","66,901","4,570","38,302","9,440","8,098","13,615","7,149",277,260,9,5,3,"8,614","5,368","1,538","1,290",418,"15,138","5,043","4,585","5,510","21,852","3,628","4,205",575,346,"13,098"
uacounty09:Enfield,"119,916","33,359","12,108","21,251","73,335","6,563","38,454","9,408","7,722","13,150","8,174",140,125,5,8,2,"8,200","4,127","1,746","1,816",511,"19,978","7,549","6,580","5,849","13,222","2,674","2,797",310,294,"7,147"
uacounty09:Greenwich,"101,045","32,370","9,418","22,952","55,070","3,866","26,660","8,007","5,509","8,616","4,528",217,202,9,4,2,"9,683","5,193","1,801","2,204",485,"14,644","5,696","4,763","4,185","13,605","2,470","2,911",693,236,"7,295"
uacounty09:Harrow,"84,268","19,008","8,985","10,023","52,399","5,817","33,264","8,079","6,884","10,910","7,391",74,71,2,1,0,"3,950","2,191",753,719,287,"9,294","3,082","2,478","3,734","12,861","2,684","3,147",255,281,"6,494"
uacounty09:Havering,"97,199","28,215","13,499","14,716","62,856","8,850","34,080","10,503","6,061","9,555","7,961",54,45,3,6,0,"8,431","4,012","1,842","2,007",570,"11,441","3,768","3,456","4,217","6,128","1,260","1,283",53,337,"3,195"
uacounty09:Hillingdon,"100,214","25,290","10,953","14,337","62,745","6,215","35,650","9,774","7,112","11,723","7,041",115,105,7,2,1,"7,936","4,040","1,635","1,732",529,"12,829","4,614","3,928","4,287","12,179","2,382","2,748",870,242,"5,937"
uacounty09:Hounslow,"94,902","25,985","8,651","17,334","53,645","3,659","30,576","8,284","6,855","9,730","5,707",196,183,6,5,2,"7,326","4,197","1,388","1,293",448,"11,888","4,226","3,444","4,218","15,272","2,860","2,945",491,219,"8,757"
uacounty09:Kingston upon Thames,"63,639","18,198","6,762","11,436","37,942","3,562","22,609","6,736","4,744","7,554","3,575",127,115,6,5,1,"6,045","3,907","1,003",898,237,"5,599","2,062","1,488","2,049","7,499",931,993,"1,267",177,"4,131"
uacounty09:Merton,"78,757","22,294","7,695","14,599","45,323","3,626","26,105","7,918","5,542","8,567","4,078",183,172,3,6,2,"7,287","4,801","1,105","1,094",287,"8,122","2,792","2,301","3,029","11,140","1,675","1,803",248,207,"7,207"
uacounty09:Redbridge,"99,105","25,228","9,992","15,236","59,846","5,361","36,363","8,471","7,543","13,178","7,171",148,141,2,3,2,"5,871","3,192","1,127","1,202",350,"12,103","4,357","3,860","3,886","14,031","2,830","4,055",435,275,"6,436"
uacounty09:Richmond upon Thames,"79,835","26,008","9,434","16,574","47,292","4,238","28,266","8,999","5,883","9,853","3,531",236,224,9,2,1,"8,288","5,649","1,284","1,125",230,"6,264","2,333","1,549","2,382","6,535",773,837,285,223,"4,417"
uacounty09:Sutton,"78,174","23,749","9,203","14,546","48,503","4,981","27,547","8,260","5,668","8,727","4,892",83,76,5,1,1,"7,390","3,902","1,598","1,483",407,"8,502","3,086","2,473","2,943","5,922","1,165","1,157",25,212,"3,363"
uacounty09:Waltham Forest,"96,861","28,756","8,879","19,877","51,894","3,534","26,657","6,536","5,761","9,467","4,893",213,189,12,6,6,"8,247","4,283","1,824","1,680",460,"13,243","4,587","4,331","4,325","16,211","3,043","2,952",617,264,"9,335"
uacounty09:Bracknell Forest,"45,878","12,707","4,448","8,259","30,227","2,994","17,710","6,135","3,453","5,519","2,603",70,62,5,3,0,"4,983","2,943",901,935,204,"4,470","1,676","1,370","1,424","2,944",578,499,24,89,"1,754"
uacounty09:Brighton and Hove,"121,540","44,294","14,468","29,826","61,608","5,854","27,400","9,732","5,431","8,346","3,891",937,845,45,40,7,"15,428","9,918","2,652","2,399",459,"11,989","5,518","3,119","3,352","15,638","1,267",992,"2,873",348,"10,158"
uacounty09:Isle of Wight,"61,085","19,957","10,055","9,902","37,649","6,944","18,762","8,625","2,963","4,403","2,771",65,55,4,3,3,"5,699","2,884","1,256","1,270",289,"6,179","2,456","1,708","2,015","3,479",625,564,19,285,"1,986"
uacounty09:Medway,"106,209","29,434","11,868","17,566","69,146","7,436","37,279","13,080","6,686","10,744","6,769",120,95,12,5,8,"11,888","5,547","2,770","2,925",646,"12,423","4,325","4,081","4,017","7,629","1,354","1,421",497,249,"4,108"
uacounty09:Milton Keynes,"98,584","25,546","8,602","16,944","64,729","5,429","36,406","12,863","6,941","11,317","5,285",123,103,8,8,4,"11,349","6,017","2,391","2,448",493,"11,422","4,312","3,854","3,256","8,309","1,552","1,635",51,146,"4,925"
uacounty09:Portsmouth,"85,473","27,471","10,334","17,137","47,664","4,881","23,102","8,205","4,425","6,773","3,699",155,134,11,8,2,"9,451","5,229","1,873","1,929",420,"10,075","4,349","2,986","2,740","10,338","1,180",943,"2,910",279,"5,026"
uacounty09:Reading,"62,869","19,237","5,954","13,283","35,995","3,288","19,117","6,598","3,969","5,918","2,632",92,81,4,3,4,"6,722","4,227","1,125","1,127",243,"6,776","2,707","2,020","2,049","7,637","1,010","1,020",951,144,"4,512"
uacounty09:Slough,"50,766","14,447","4,013","10,434","29,328","1,812","17,206","4,172","3,837","6,333","2,864",29,27,2,0,0,"3,790","1,951",899,751,189,"6,491","2,251","2,252","1,988","6,991","1,557","1,991",105,87,"3,251"
uacounty09:Southampton,"98,254","33,241","11,283","21,958","53,070","5,647","26,459","9,893","4,972","7,465","4,129",136,117,7,7,5,"10,780","6,308","1,895","2,092",485,"10,048","3,742","3,176","3,130","11,943","1,343","1,286","2,955",252,"6,107"
uacounty09:West Berkshire,"62,340","16,123","6,820","9,303","42,638","5,302","25,888","9,701","4,508","7,828","3,851",61,50,6,2,3,"6,289","3,636","1,101","1,278",274,"5,098","1,757","1,583","1,758","3,579",627,560,15,146,"2,231"
uacounty09:Windsor and Maidenhead,"58,349","16,554","6,926","9,628","37,618","5,052","22,489","7,630","4,040","7,383","3,436",101,94,4,3,0,"5,306","3,140",963,963,240,"4,670","1,609","1,289","1,772","4,177",690,750,16,135,"2,586"
uacounty09:Wokingham,"60,332","14,084","6,164","7,920","42,808","5,670","27,359","9,150","5,005","9,158","4,046",78,73,3,1,1,"5,339","3,228",934,968,209,"4,362","1,422","1,257","1,683","3,440",645,625,30,109,"2,031"
uacounty09:Buckinghamshire,"200,727","52,065","23,652","28,413","134,807","18,806","81,162","27,782","14,105","27,069","12,206",234,203,15,8,8,"18,003","10,196","3,430","3,505",872,"16,602","5,954","4,596","6,052","13,855","2,356","2,587",462,493,"7,957"
uacounty09:East Sussex,"231,905","75,991","37,635","38,356","141,826","25,678","72,703","30,284","11,754","19,386","11,279",538,476,38,18,6,"21,379","11,337","4,318","4,667","1,057","21,528","8,072","6,271","7,185","14,088","2,344","2,128",351,"1,058","8,207"
uacounty09:Hampshire,"545,254","145,623","68,934","76,689","366,563","55,964","210,602","81,681","35,898","60,936","32,087",652,549,57,35,11,"51,873","28,952","10,000","10,393","2,528","47,472","17,523","13,884","16,065","33,068","5,830","5,237",615,"1,619","19,767"
uacounty09:Kent,"605,638","174,331","79,310","95,021","391,641","56,575","210,671","79,502","35,331","61,624","34,214",771,683,44,25,19,"62,979","32,221","13,220","14,341","3,197","60,645","21,796","19,272","19,577","39,666","7,034","6,846","2,483","1,949","21,354"
uacounty09:Oxfordshire,"258,855","70,834","29,852","40,982","166,834","22,969","96,116","34,961","17,002","29,741","14,412",426,380,17,21,8,"25,549","15,160","4,433","4,835","1,121","21,774","7,556","6,701","7,517","21,187","2,902","2,712","1,970",666,"12,937"
uacounty09:Surrey,"455,791","124,431","57,543","66,888","299,932","42,034","180,349","60,504","32,511","59,853","27,481",528,481,26,15,6,"41,752","24,303","7,748","7,666","2,035","35,269","11,735","9,492","14,042","31,428","4,793","4,844","1,971","1,247","18,573"
uacounty09:West Sussex,"345,614","106,784","52,108","54,676","216,785","36,261","119,415","45,943","20,389","34,669","18,414",533,470,31,22,10,"31,315","17,547","6,068","6,182","1,518","29,261","10,156","8,539","10,566","22,045","3,639","3,403",460,"1,366","13,177"
uacounty09:Bath and North East Somerset,"73,515","22,535","9,992","12,543","44,593","6,958","24,452","9,293","3,903","7,306","3,950",107,95,4,4,4,"6,803","3,979","1,198","1,344",282,"6,273","2,439","1,771","2,063","6,387",602,540,"1,822",230,"3,193"
uacounty09:Bournemouth,"82,374","30,390","11,164","19,226","42,644","6,102","20,818","8,326","3,879","5,616","2,997",196,182,6,7,1,"8,460","5,258","1,568","1,331",303,"7,068","2,884","1,800","2,384","9,340",997,817,"1,835",343,"5,348"
"uacounty09:Bristol, City of","182,747","61,607","20,272","41,335","99,663","10,147","47,084","17,474","8,302","14,032","7,276",343,298,22,17,6,"21,556","13,627","3,516","3,654",759,"20,533","8,256","6,663","5,614","21,477","2,023","1,979","3,623",525,"13,327"
uacounty09:Cornwall,"230,389","69,269","34,137","35,132","146,511","24,939","77,878","34,338","11,616","19,564","12,360",294,248,24,17,5,"23,158","12,304","4,748","5,052","1,054","20,242","7,217","5,869","7,156","14,609","2,396","2,255",730,948,"8,280"
uacounty09:Isles of Scilly,989,336,150,186,581,107,339,174,39,86,40,0,0,0,0,0,101,62,11,21,7,34,10,12,12,72,9,8,1,10,44
uacounty09:North Somerset,"88,227","27,115","12,523","14,592","56,871","9,727","31,271","12,847","5,007","8,802","4,615",103,86,8,7,2,"8,034","4,430","1,633","1,654",317,"7,736","3,016","2,361","2,359","4,241",752,672,104,284,"2,429"
uacounty09:Plymouth,"109,307","34,317","13,403","20,914","66,184","8,625","33,782","13,639","5,720","8,771","5,652",129,111,5,9,4,"12,097","6,568","2,511","2,502",516,"11,551","4,502","3,392","3,657","8,806","1,171",921,"1,793",364,"4,557"
uacounty09:Poole,"63,530","19,134","9,395","9,739","39,713","6,631","21,176","8,446","3,680","5,642","3,408",124,111,3,4,6,"6,075","3,416","1,180","1,145",334,"5,707","1,957","1,639","2,111","4,683",756,678,82,210,"2,957"
uacounty09:South Gloucestershire,"107,538","28,554","12,301","16,253","72,913","10,518","41,495","14,812","7,196","12,570","6,917",103,91,6,6,0,"10,731","5,912","2,101","2,197",521,"10,066","3,889","2,986","3,191","6,071","1,066",907,243,279,"3,576"
uacounty09:Swindon,"88,360","26,143","9,039","17,104","56,127","6,303","31,122","11,605","5,955","8,979","4,583",115,98,9,5,3,"10,291","5,620","2,125","2,098",448,"8,296","3,295","2,521","2,480","6,090",993,"1,059",38,173,"3,827"
uacounty09:Torbay,"59,010","20,192","9,679","10,513","35,024","6,402","17,008","7,568","2,578","4,193","2,669",108,98,4,2,4,"5,373","2,914","1,114","1,111",234,"6,133","2,508","1,682","1,943","3,794",676,550,17,298,"2,253"
uacounty09:Wiltshire,"194,194","51,845","24,608","27,237","132,246","19,564","76,653","30,824","12,779","22,338","10,712",208,188,7,9,4,"18,370","10,301","3,482","3,829",758,"17,451","6,638","5,384","5,429","10,103","1,724","1,552",36,580,"6,211"
uacounty09:Devon,"322,644","97,945","49,479","48,466","204,535","37,923","109,938","48,499","16,315","28,542","16,582",424,388,18,15,3,"29,983","16,690","5,692","6,189","1,412","26,267","9,477","7,590","9,200","20,164","3,107","2,811","1,471","1,294","11,481"
uacounty09:Dorset,"180,213","53,769","30,049","23,720","117,056","25,066","62,984","27,901","9,127","15,940","10,016",197,175,10,11,1,"15,124","8,053","3,030","3,257",784,"13,685","4,769","3,757","5,159","9,388","1,596","1,420",19,708,"5,645"
uacounty09:Gloucestershire,"254,615","75,945","33,799","42,146","162,941","24,881","90,451","36,740","14,583","25,601","13,527",356,328,14,9,5,"26,658","15,123","4,911","5,459","1,165","20,595","7,249","5,881","7,465","15,729","2,542","2,208",866,670,"9,443"
uacounty09:Somerset,"226,989","67,537","33,500","34,037","147,011","25,223","80,133","34,395","12,297","21,367","12,074",215,182,13,16,4,"22,390","11,939","4,453","4,971","1,027","19,050","6,741","5,968","6,341","12,441","2,102","1,819",67,836,"7,617"
uacounty09:Anglesey,"30,594","9,888","4,802","5,086","18,952","3,253","9,887","4,105","1,442","2,462","1,878",20,14,6,0,0,"2,783","1,249",629,758,147,"3,009","1,055",771,"1,183","1,754",364,276,47,122,945
uacounty09:Gwynedd,"52,473","18,548","8,701","9,847","30,410","4,951","15,402","6,203","2,252","4,150","2,797",37,37,0,0,0,"5,131","2,302","1,109","1,465",255,"4,889","1,643","1,411","1,835","3,515",514,470,689,192,"1,650"
uacounty09:Conwy,"51,177","17,297","8,748","8,549","31,033","5,952","15,459","6,602","2,329","3,804","2,724",49,46,1,1,1,"4,598","2,236",980,"1,153",229,"4,975","1,792","1,402","1,781","2,847",583,468,4,253,"1,539"
uacounty09:Denbighshire,"40,546","12,714","6,147","6,567","25,711","4,247","13,095","5,293","1,996","3,421","2,385",35,32,3,0,0,"3,942","1,829",885,"1,030",198,"4,392","1,617","1,219","1,556","2,121",406,443,14,151,"1,107"
uacounty09:Flintshire,"63,781","17,477","8,200","9,277","42,821","5,826","23,554","8,974","3,862","6,251","4,467",52,44,5,1,2,"6,409","3,117","1,401","1,537",354,"6,980","2,527","1,966","2,487","3,483",751,616,7,165,"1,944"
uacounty09:Wrexham,"57,029","16,817","7,334","9,483","36,957","4,675","19,752","7,512","3,464","5,082","3,694",44,36,5,1,2,"6,066","2,779","1,468","1,537",282,"6,420","2,473","1,772","2,175","3,255",721,507,171,129,"1,727"
uacounty09:Powys,"58,345","18,359","9,201","9,158","36,943","6,441","19,715","8,543","2,722","5,159","3,291",55,50,2,1,2,"5,487","2,822","1,049","1,363",253,"5,245","2,075","1,295","1,875","3,043",569,475,4,276,"1,719"
uacounty09:Ceredigion,"31,562","10,456","4,878","5,578","18,144","3,199","9,541","4,112","1,305","2,478","1,646",41,32,4,3,2,"2,860","1,504",579,654,123,"2,503",899,630,974,"2,962",364,287,883,184,"1,244"
uacounty09:Pembrokeshire,"53,122","16,392","7,978","8,414","33,848","5,777","17,534","7,473","2,656","4,401","3,004",44,40,2,1,1,"4,637","2,189",957,"1,266",225,"5,856","2,439","1,588","1,829","2,882",567,512,8,227,"1,568"
uacounty09:Carmarthenshire,"78,829","23,770","11,652","12,118","50,374","7,729","26,768","10,768","4,125","6,709","5,166",51,43,4,4,0,"6,904","3,346","1,545","1,676",337,"8,922","3,561","2,409","2,952","4,685",995,805,81,352,"2,452"
uacounty09:Swansea,"103,497","34,485","13,867","20,618","61,419","8,966","31,382","11,563","5,286","8,331","6,202",78,64,10,2,2,"8,901","4,510","1,985","1,971",435,"12,092","4,852","3,272","3,968","7,593","1,102",874,"1,762",306,"3,549"
uacounty09:Neath Port Talbot,"60,393","18,259","8,396","9,863","38,829","5,230","20,438","7,520","3,519","4,744","4,655",58,45,4,4,5,"5,708","2,599","1,381","1,382",346,"7,395","2,743","1,881","2,771","3,305",752,618,6,201,"1,728"
uacounty09:Bridgend,"58,515","16,472","7,659","8,813","38,645","5,221","20,651","7,785","3,547","5,110","4,209",52,44,5,2,1,"5,771","2,703","1,445","1,284",339,"6,950","2,569","1,940","2,441","3,398",727,593,10,165,"1,903"
uacounty09:The Vale of Glamorgan,"53,505","15,851","7,057","8,794","34,717","5,005","18,596","6,992","3,224","5,034","3,346",75,61,8,6,0,"5,032","2,392","1,168","1,248",224,"6,009","2,248","1,783","1,978","2,937",619,515,6,154,"1,643"
uacounty09:Cardiff,"142,557","47,141","15,436","31,705","79,593","8,550","40,427","13,857","7,365","12,272","6,933",208,189,8,6,5,"14,569","8,714","2,522","2,716",617,"15,839","6,063","4,873","4,903","15,823","1,813","1,838","3,298",426,"8,448"
"uacounty09:Rhondda, Cynon, Taff","99,663","29,875","13,173","16,702","64,104","7,890","33,180","12,219","5,690","8,030","7,241",100,92,4,2,2,"9,883","4,088","2,498","2,681",616,"13,051","5,227","3,717","4,107","5,684","1,179",929,740,315,"2,521"
uacounty09:Merthyr Tydfil,"24,264","6,559","3,026","3,533","16,015","1,844","8,009","2,773","1,408","1,763","2,065",22,21,0,1,0,"2,554","1,038",643,683,190,"3,586","1,504",880,"1,202","1,690",435,336,3,96,820
uacounty09:Caerphilly,"74,479","20,196","9,143","11,053","50,496","6,161","26,402","9,698","4,535","6,483","5,686",47,39,6,1,1,"8,212","3,435","2,054","2,228",495,"9,674","3,890","2,643","3,141","3,787",955,752,9,195,"1,876"
uacounty09:Blaenau Gwent,"30,416","9,608","4,310","5,298","19,361","2,400","9,581","3,442","1,780","2,032","2,327",18,16,1,0,1,"3,154","1,266",846,813,229,"4,208","1,695","1,075","1,438","1,447",359,252,3,91,742
uacounty09:Torfaen,"38,524","11,163","5,249","5,914","25,343","3,409","13,154","4,928","2,365","3,185","2,676",28,23,1,3,1,"4,021","1,714","1,000","1,087",220,"4,731","1,758","1,308","1,665","2,018",533,392,0,101,992
uacounty09:Monmouthshire,"38,233","10,592","5,515","5,077","25,711","4,312","14,686","5,780","2,423","3,989","2,494",36,33,1,2,0,"3,409","1,823",667,757,162,"3,268","1,151",910,"1,207","1,930",397,344,1,145,"1,043"
uacounty09:Newport,"61,172","18,849","7,862","10,987","38,038","4,890","19,374","6,740","3,451","5,576","3,607",63,52,4,3,4,"5,765","2,744","1,268","1,416",337,"7,946","3,231","2,384","2,331","4,285",844,758,321,206,"2,156"
ualad09:Darlington,"46,670","15,101","6,124","8,977","29,370","3,877","15,053","6,120","2,674","3,785","2,474",43,36,4,1,2,"4,796","2,457","1,034","1,098",207,"5,601","2,392","1,652","1,557","2,199",439,366,11,101,"1,282"
ualad09:County Durham,"223,803","70,007","30,493","39,514","142,738","19,385","76,057","31,603","13,432","16,537","14,485",195,163,19,11,2,"22,038","10,555","5,347","4,893","1,243","25,063","10,443","6,702","7,918","11,058","2,141","1,573","1,517",592,"5,235"
ualad09:Hartlepool,"40,434","13,392","5,544","7,848","25,251","3,069","12,544","4,873","2,310","2,935","2,426",33,29,1,2,1,"4,210","1,831","1,025","1,115",239,"5,395","2,189","1,729","1,477","1,791",429,356,14,113,879
ualad09:Middlesbrough,"57,203","17,708","7,290","10,418","34,875","3,928","16,751","5,899","2,801","4,572","3,479",46,37,6,3,0,"5,617","2,456","1,150","1,596",415,"8,533","3,408","2,552","2,573","4,620",913,831,684,198,"1,994"
ualad09:Northumberland,"138,534","41,406","19,407","21,999","91,809","14,239","50,769","22,263","8,226","11,771","8,509",121,104,9,7,1,"13,293","6,769","3,002","2,876",646,"13,387","5,189","3,421","4,777","5,319","1,111",966,22,384,"2,836"
ualad09:Redcar and Cleveland,"59,605","18,735","8,791","9,944","38,456","5,655","19,510","7,984","3,314","4,282","3,930",40,30,4,4,2,"5,927","2,537","1,534","1,492",364,"7,324","2,945","2,196","2,183","2,414",613,423,11,126,"1,241"
ualad09:Stockton-on-Tees,"79,159","21,986","9,416","12,570","52,784","6,374","27,910","10,397","5,208","7,148","5,157",55,42,9,3,1,"8,690","4,251","1,963","1,957",519,"9,755","3,935","2,875","2,945","4,389","1,070",892,204,171,"2,052"
ualad09:Gateshead,"89,154","29,313","12,138","17,175","54,914","7,170","27,276","10,525","4,924","6,344","5,483",131,108,9,9,5,"9,741","5,119","2,064","2,014",544,"10,596","4,359","2,622","3,615","4,927",995,727,88,234,"2,883"
ualad09:Newcastle upon Tyne,"117,153","40,337","14,705","25,632","62,547","6,910","31,099","10,953","5,796","8,778","5,572",174,153,10,7,4,"11,336","6,172","2,103","2,450",611,"13,028","5,109","3,834","4,085","14,269","1,386","1,331","4,706",294,"6,552"
ualad09:North Tyneside,"91,295","30,960","12,641","18,319","56,303","7,245","29,277","11,559","5,407","7,090","5,221",102,94,2,4,2,"9,240","4,968","2,014","1,745",513,"10,439","4,443","2,790","3,206","4,032",805,672,27,207,"2,321"
ualad09:South Tyneside,"67,167","23,459","9,973","13,486","40,664","5,132","20,050","7,510","3,654","4,465","4,421",36,31,2,3,0,"5,879","2,740","1,451","1,249",439,"9,567","4,079","2,349","3,139","3,044",721,511,86,191,"1,535"
ualad09:Sunderland,"119,758","38,096","16,075","22,021","75,350","9,498","38,711","14,505","7,059","8,286","8,861",77,65,4,7,1,"11,810","5,183","2,998","2,786",843,"15,254","5,974","3,933","5,347","6,312","1,472","1,103",677,288,"2,772"
